cpu-bind=MASK - bp1-compute159, task 4294967295 4294967295 [0]: mask 0xf3f9f0f0f3f9f0f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.296795 secs
Exciton, frame 44319 ran in:  14.26769495010376
Exciton, frame 44320 ran in:  14.689982175827026
Exciton, frame 44321 ran in:  14.523157596588135
Exciton, frame 44322 ran in:  13.946043491363525
Exciton, frame 44323 ran in:  14.767829179763794
Exciton, frame 44324 ran in:  14.177300930023193
Exciton, frame 44325 ran in:  14.168031215667725
Exciton, frame 44326 ran in:  14.353554487228394
Exciton, frame 44327 ran in:  14.019498109817505
Exciton, frame 44328 ran in:  14.256688356399536
Exciton, frame 44329 ran in:  14.53747820854187
Exciton, frame 44330 ran in:  14.111023664474487
Exciton, frame 44331 ran in:  14.19497013092041
Exciton, frame 44332 ran in:  14.537335634231567
Exciton, frame 44333 ran in:  14.396031618118286
Exciton, frame 44334 ran in:  14.49817681312561
Exciton, frame 44335 ran in:  14.6746985912323
Exciton, frame 44336 ran in:  14.744397163391113
Exciton, frame 44337 ran in:  14.47426438331604
Exciton, frame 44338 ran in:  14.657032251358032
Exciton, frame 44339 ran in:  14.619457244873047
Exciton, frame 44340 ran in:  14.838106870651245
Exciton, frame 44341 ran in:  14.762756824493408
Exciton, frame 44342 ran in:  14.383399963378906
Exciton, frame 44343 ran in:  14.757999658584595
Exciton, frame 44344 ran in:  14.798988580703735
Exciton, frame 44345 ran in:  14.270309209823608
Exciton, frame 44346 ran in:  14.812964677810669
Exciton, frame 44347 ran in:  14.904439926147461
Exciton, frame 44348 ran in:  14.589690208435059
Exciton, frame 44349 ran in:  14.638910055160522
Exciton, frame 44350 ran in:  14.480338096618652
Exciton, frame 44351 ran in:  14.346168279647827
Exciton, frame 44352 ran in:  14.58222508430481
Exciton, frame 44353 ran in:  14.405225276947021
Exciton, frame 44354 ran in:  14.408574342727661
Exciton, frame 44355 ran in:  14.30965542793274
Exciton, frame 44356 ran in:  14.791691541671753
Exciton, frame 44357 ran in:  14.402757406234741
Exciton, frame 44358 ran in:  14.017362833023071
Exciton, frame 44359 ran in:  14.975739240646362
Exciton, frame 44360 ran in:  14.173671007156372
Exciton, frame 44361 ran in:  14.712574243545532
Exciton, frame 44362 ran in:  14.374876260757446
Exciton, frame 44363 ran in:  14.618866682052612
Exciton, frame 44364 ran in:  14.45260214805603
Exciton, frame 44365 ran in:  14.455979824066162
Exciton, frame 44366 ran in:  14.523663997650146
Exciton, frame 44367 ran in:  14.467011451721191
Exciton, frame 44368 ran in:  14.440436840057373
Exciton, frame 44369 ran in:  14.897789001464844
Exciton, frame 44370 ran in:  14.450650215148926
Exciton, frame 44371 ran in:  14.876375436782837
Exciton, frame 44372 ran in:  14.609209060668945
Exciton, frame 44373 ran in:  14.588403463363647
Exciton, frame 44374 ran in:  14.303532361984253
Exciton, frame 44375 ran in:  14.46050214767456
Exciton, frame 44376 ran in:  14.443280458450317
Exciton, frame 44377 ran in:  14.369114875793457
Exciton, frame 44378 ran in:  14.636734247207642
Exciton, frame 44379 ran in:  15.00109076499939
Exciton, frame 44380 ran in:  14.355639219284058
Exciton, frame 44381 ran in:  14.470010042190552
Exciton, frame 44382 ran in:  14.1849946975708
Exciton, frame 44383 ran in:  14.139941215515137
Exciton, frame 44384 ran in:  14.665676832199097
Exciton, frame 44385 ran in:  14.481704950332642
Exciton, frame 44386 ran in:  14.327496767044067
