cpu-bind=MASK - bp1-compute215, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.168294 secs
Exciton, frame 80184 ran in:  11.873020648956299
Exciton, frame 80185 ran in:  12.204584836959839
Exciton, frame 80186 ran in:  11.896918535232544
Exciton, frame 80187 ran in:  11.742539644241333
Exciton, frame 80188 ran in:  11.974692821502686
Exciton, frame 80189 ran in:  12.142759084701538
Exciton, frame 80190 ran in:  11.364571571350098
Exciton, frame 80191 ran in:  11.204330682754517
Exciton, frame 80192 ran in:  11.505419492721558
Exciton, frame 80193 ran in:  11.867761373519897
Exciton, frame 80194 ran in:  12.570523500442505
Exciton, frame 80195 ran in:  12.170711994171143
Exciton, frame 80196 ran in:  11.708821773529053
Exciton, frame 80197 ran in:  11.82837438583374
Exciton, frame 80198 ran in:  11.824511051177979
Exciton, frame 80199 ran in:  11.731357336044312
Exciton, frame 80200 ran in:  11.987134456634521
Exciton, frame 80201 ran in:  11.793562173843384
Exciton, frame 80202 ran in:  11.90036654472351
Exciton, frame 80203 ran in:  11.566143035888672
Exciton, frame 80204 ran in:  12.104957818984985
Exciton, frame 80205 ran in:  11.681525468826294
Exciton, frame 80206 ran in:  12.192294120788574
Exciton, frame 80207 ran in:  12.158276081085205
Exciton, frame 80208 ran in:  11.856037855148315
Exciton, frame 80209 ran in:  12.326186418533325
Exciton, frame 80210 ran in:  11.902984142303467
Exciton, frame 80211 ran in:  11.79434609413147
Exciton, frame 80212 ran in:  11.782543420791626
Exciton, frame 80213 ran in:  11.92347502708435
Exciton, frame 80214 ran in:  11.573023080825806
Exciton, frame 80215 ran in:  12.056424617767334
Exciton, frame 80216 ran in:  11.978571653366089
Exciton, frame 80217 ran in:  12.129959344863892
Exciton, frame 80218 ran in:  11.417931079864502
Exciton, frame 80219 ran in:  11.618871212005615
Exciton, frame 80220 ran in:  12.115501165390015
Exciton, frame 80221 ran in:  12.011965274810791
Exciton, frame 80222 ran in:  11.2795729637146
Exciton, frame 80223 ran in:  12.068402767181396
Exciton, frame 80224 ran in:  12.093399286270142
Exciton, frame 80225 ran in:  11.969278812408447
Exciton, frame 80226 ran in:  12.021281719207764
Exciton, frame 80227 ran in:  11.884405374526978
Exciton, frame 80228 ran in:  12.078770637512207
Exciton, frame 80229 ran in:  12.015938520431519
Exciton, frame 80230 ran in:  11.980648517608643
Exciton, frame 80231 ran in:  12.065843343734741
Exciton, frame 80232 ran in:  12.049697875976562
Exciton, frame 80233 ran in:  12.105140447616577
Exciton, frame 80234 ran in:  11.980854749679565
Exciton, frame 80235 ran in:  12.075063943862915
Exciton, frame 80236 ran in:  11.842854261398315
Exciton, frame 80237 ran in:  11.828498601913452
Exciton, frame 80238 ran in:  11.937561988830566
Exciton, frame 80239 ran in:  12.178425312042236
Exciton, frame 80240 ran in:  12.141076564788818
Exciton, frame 80241 ran in:  11.954475164413452
Exciton, frame 80242 ran in:  11.75630259513855
Exciton, frame 80243 ran in:  12.049959421157837
Exciton, frame 80244 ran in:  11.893971920013428
Exciton, frame 80245 ran in:  12.184430360794067
Exciton, frame 80246 ran in:  11.888766527175903
Exciton, frame 80247 ran in:  11.694780588150024
Exciton, frame 80248 ran in:  12.00811243057251
Exciton, frame 80249 ran in:  11.551223516464233
Exciton, frame 80250 ran in:  12.13059949874878
Exciton, frame 80251 ran in:  12.061051368713379
Exciton, frame 80252 ran in:  12.670485973358154
Exciton, frame 80253 ran in:  12.001819849014282
Exciton, frame 80254 ran in:  12.87911057472229
Exciton, frame 80255 ran in:  12.020097255706787
Exciton, frame 80256 ran in:  11.837704420089722
Exciton, frame 80257 ran in:  12.036239385604858
Exciton, frame 80258 ran in:  12.37761116027832
Exciton, frame 80259 ran in:  11.991095542907715
Exciton, frame 80260 ran in:  12.11355972290039
Exciton, frame 80261 ran in:  11.901706218719482
Exciton, frame 80262 ran in:  11.961002111434937
