cpu-bind=MASK - bp1-compute213, task 4294967295 4294967295 [0]: mask 0x1e01feff1e01feff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.447200 secs
Exciton, frame 4282 ran in:  11.477718353271484
Exciton, frame 4283 ran in:  11.557713270187378
Exciton, frame 4284 ran in:  11.734243392944336
Exciton, frame 4285 ran in:  11.45804214477539
Exciton, frame 4286 ran in:  11.452703714370728
Exciton, frame 4287 ran in:  10.776414155960083
Exciton, frame 4288 ran in:  11.600394487380981
Exciton, frame 4289 ran in:  11.419426679611206
Exciton, frame 4290 ran in:  11.611132621765137
Exciton, frame 4291 ran in:  11.427995443344116
Exciton, frame 4292 ran in:  11.49368405342102
Exciton, frame 4293 ran in:  11.631036520004272
Exciton, frame 4294 ran in:  11.149696350097656
Exciton, frame 4295 ran in:  11.249828338623047
Exciton, frame 4296 ran in:  11.12171745300293
Exciton, frame 4297 ran in:  11.472783327102661
Exciton, frame 4298 ran in:  11.159728765487671
Exciton, frame 4299 ran in:  11.452881097793579
Exciton, frame 4300 ran in:  11.406088590621948
Exciton, frame 4301 ran in:  11.598306655883789
Exciton, frame 4302 ran in:  11.503231763839722
Exciton, frame 4303 ran in:  11.526919841766357
Exciton, frame 4304 ran in:  11.48839545249939
Exciton, frame 4305 ran in:  11.635327100753784
Exciton, frame 4306 ran in:  11.338279247283936
Exciton, frame 4307 ran in:  11.507405519485474
Exciton, frame 4308 ran in:  11.528486251831055
Exciton, frame 4309 ran in:  11.51863980293274
Exciton, frame 4310 ran in:  11.481672763824463
Exciton, frame 4311 ran in:  11.683223724365234
Exciton, frame 4312 ran in:  11.353332996368408
Exciton, frame 4313 ran in:  11.49334168434143
Exciton, frame 4314 ran in:  11.336397886276245
Exciton, frame 4315 ran in:  11.486573696136475
Exciton, frame 4316 ran in:  11.390142917633057
Exciton, frame 4317 ran in:  11.409425258636475
Exciton, frame 4318 ran in:  11.009713172912598
Exciton, frame 4319 ran in:  11.293931484222412
Exciton, frame 4320 ran in:  11.74259352684021
Exciton, frame 4321 ran in:  11.476974964141846
Exciton, frame 4322 ran in:  11.598844289779663
Exciton, frame 4323 ran in:  11.464105367660522
Exciton, frame 4324 ran in:  11.450550317764282
Exciton, frame 4325 ran in:  11.471533060073853
Exciton, frame 4326 ran in:  11.644262313842773
Exciton, frame 4327 ran in:  11.261526107788086
Exciton, frame 4328 ran in:  11.51453685760498
Exciton, frame 4329 ran in:  11.561054229736328
Exciton, frame 4330 ran in:  11.562620401382446
Exciton, frame 4331 ran in:  11.155834674835205
Exciton, frame 4332 ran in:  11.56636643409729
Exciton, frame 4333 ran in:  11.597968101501465
Exciton, frame 4334 ran in:  11.81810998916626
Exciton, frame 4335 ran in:  11.046619176864624
Exciton, frame 4336 ran in:  11.463451623916626
Exciton, frame 4337 ran in:  11.655647993087769
Exciton, frame 4338 ran in:  11.739352226257324
Exciton, frame 4339 ran in:  11.512945652008057
Exciton, frame 4340 ran in:  11.678101778030396
Exciton, frame 4341 ran in:  11.39016079902649
Exciton, frame 4342 ran in:  11.520172595977783
Exciton, frame 4343 ran in:  11.292577743530273
Exciton, frame 4344 ran in:  11.51015567779541
Exciton, frame 4345 ran in:  11.388283967971802
Exciton, frame 4346 ran in:  11.614344835281372
Exciton, frame 4347 ran in:  11.582991361618042
Exciton, frame 4348 ran in:  11.349281072616577
Exciton, frame 4349 ran in:  11.198638677597046
Exciton, frame 4350 ran in:  11.603585243225098
Exciton, frame 4351 ran in:  11.338277816772461
Exciton, frame 4352 ran in:  11.360191106796265
Exciton, frame 4353 ran in:  11.288174390792847
Exciton, frame 4354 ran in:  11.470453262329102
Exciton, frame 4355 ran in:  11.467215061187744
Exciton, frame 4356 ran in:  11.4883394241333
Exciton, frame 4357 ran in:  11.464054584503174
Exciton, frame 4358 ran in:  11.416544198989868
Exciton, frame 4359 ran in:  11.286849737167358
Exciton, frame 4360 ran in:  11.580705165863037
Exciton, frame 4361 ran in:  11.560197591781616
Exciton, frame 4362 ran in:  11.762986183166504
Exciton, frame 4363 ran in:  11.311700105667114
Exciton, frame 4364 ran in:  11.423405170440674
Exciton, frame 4365 ran in:  11.70798134803772
Exciton, frame 4366 ran in:  11.541670083999634
Exciton, frame 4367 ran in:  11.341765642166138
Exciton, frame 4368 ran in:  11.38722825050354
Exciton, frame 4369 ran in:  11.419149398803711
Exciton, frame 4370 ran in:  11.485317468643188
Exciton, frame 4371 ran in:  11.48901081085205
Exciton, frame 4372 ran in:  11.415257215499878
Exciton, frame 4373 ran in:  11.229096174240112
Exciton, frame 4374 ran in:  11.301606893539429
Exciton, frame 4375 ran in:  11.476317644119263
Exciton, frame 4376 ran in:  11.599945068359375
Exciton, frame 4377 ran in:  11.396666049957275
Exciton, frame 4378 ran in:  11.526779174804688
Exciton, frame 4379 ran in:  11.48347544670105
Exciton, frame 4380 ran in:  11.566409826278687
Exciton, frame 4381 ran in:  11.410673141479492
Exciton, frame 4382 ran in:  11.495629072189331
Exciton, frame 4383 ran in:  11.477425813674927
Exciton, frame 4384 ran in:  11.374001741409302
Exciton, frame 4385 ran in:  11.55761432647705
Exciton, frame 4386 ran in:  11.017664670944214
Exciton, frame 4387 ran in:  11.499284505844116
Exciton, frame 4388 ran in:  11.422137260437012
Exciton, frame 4389 ran in:  11.304998397827148
Exciton, frame 4390 ran in:  11.474623680114746
Exciton, frame 4391 ran in:  11.070732593536377
Exciton, frame 4392 ran in:  11.570649147033691
Exciton, frame 4393 ran in:  11.58206033706665
Exciton, frame 4394 ran in:  11.430575370788574
Exciton, frame 4395 ran in:  11.38371229171753
Exciton, frame 4396 ran in:  11.46934962272644
Exciton, frame 4397 ran in:  11.572662591934204
Exciton, frame 4398 ran in:  11.394534826278687
Exciton, frame 4399 ran in:  11.535103797912598
Exciton, frame 4400 ran in:  11.504045486450195
Exciton, frame 4401 ran in:  11.449409008026123
Exciton, frame 4402 ran in:  11.529297113418579
Exciton, frame 4403 ran in:  11.682215452194214
Exciton, frame 4404 ran in:  11.48058032989502
Exciton, frame 4405 ran in:  11.477420091629028
Exciton, frame 4406 ran in:  11.437685012817383
Exciton, frame 4407 ran in:  11.320421934127808
Exciton, frame 4408 ran in:  11.491926908493042
Exciton, frame 4409 ran in:  11.589099407196045
Exciton, frame 4410 ran in:  11.621217250823975
Exciton, frame 4411 ran in:  11.348982810974121
Exciton, frame 4412 ran in:  11.825949907302856
Exciton, frame 4413 ran in:  11.235150337219238
Exciton, frame 4414 ran in:  11.557822942733765
Exciton, frame 4415 ran in:  11.50358247756958
Exciton, frame 4416 ran in:  11.487137794494629
Exciton, frame 4417 ran in:  11.439447164535522
Exciton, frame 4418 ran in:  11.431382417678833
Exciton, frame 4419 ran in:  11.484754800796509
Exciton, frame 4420 ran in:  11.303672552108765
