cpu-bind=MASK - bp1-compute212, task 4294967295 4294967295 [0]: mask 0xffff3210ffff3210 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 53.755255 secs
Exciton, frame 32283 ran in:  11.213407039642334
Exciton, frame 32284 ran in:  11.240310907363892
Exciton, frame 32285 ran in:  14.568263292312622
Exciton, frame 32286 ran in:  14.624215602874756
Exciton, frame 32287 ran in:  13.167917013168335
Exciton, frame 32288 ran in:  14.936866998672485
Exciton, frame 32289 ran in:  15.389121532440186
Exciton, frame 32290 ran in:  10.982369899749756
Exciton, frame 32291 ran in:  11.551129817962646
Exciton, frame 32292 ran in:  11.165992736816406
Exciton, frame 32293 ran in:  10.680776596069336
Exciton, frame 32294 ran in:  10.494155883789062
Exciton, frame 32295 ran in:  10.88048243522644
Exciton, frame 32296 ran in:  11.024218559265137
Exciton, frame 32297 ran in:  10.74958848953247
Exciton, frame 32298 ran in:  10.802953481674194
Exciton, frame 32299 ran in:  13.87223744392395
Exciton, frame 32300 ran in:  11.75947642326355
Exciton, frame 32301 ran in:  10.723288297653198
Exciton, frame 32302 ran in:  11.000792741775513
Exciton, frame 32303 ran in:  15.165820360183716
Exciton, frame 32304 ran in:  11.260501384735107
Exciton, frame 32305 ran in:  13.549179315567017
Exciton, frame 32306 ran in:  10.44733214378357
Exciton, frame 32307 ran in:  11.765591621398926
Exciton, frame 32308 ran in:  14.401968479156494
Exciton, frame 32309 ran in:  10.679681301116943
Exciton, frame 32310 ran in:  10.689167976379395
Exciton, frame 32311 ran in:  13.992359399795532
Exciton, frame 32312 ran in:  15.006919384002686
Exciton, frame 32313 ran in:  15.56003212928772
Exciton, frame 32314 ran in:  10.615340232849121
Exciton, frame 32315 ran in:  10.83083462715149
Exciton, frame 32316 ran in:  11.393453598022461
Exciton, frame 32317 ran in:  14.254112243652344
Exciton, frame 32318 ran in:  12.13230013847351
Exciton, frame 32319 ran in:  14.160522699356079
Exciton, frame 32320 ran in:  15.1100172996521
Exciton, frame 32321 ran in:  11.18666386604309
Exciton, frame 32322 ran in:  11.183433771133423
Exciton, frame 32323 ran in:  14.240387201309204
Exciton, frame 32324 ran in:  11.065094232559204
Exciton, frame 32325 ran in:  12.603065013885498
Exciton, frame 32326 ran in:  14.369219541549683
Exciton, frame 32327 ran in:  13.265905141830444
Exciton, frame 32328 ran in:  12.547926902770996
Exciton, frame 32329 ran in:  12.040185928344727
Exciton, frame 32330 ran in:  10.61601734161377
Exciton, frame 32331 ran in:  10.681741714477539
Exciton, frame 32332 ran in:  11.039984226226807
Exciton, frame 32333 ran in:  11.225576162338257
Exciton, frame 32334 ran in:  10.919687032699585
Exciton, frame 32335 ran in:  14.789464712142944
Exciton, frame 32336 ran in:  10.641395807266235
Exciton, frame 32337 ran in:  10.454491376876831
Exciton, frame 32338 ran in:  10.964491605758667
Exciton, frame 32339 ran in:  12.366234302520752
Exciton, frame 32340 ran in:  10.784545421600342
Exciton, frame 32341 ran in:  10.52534294128418
Exciton, frame 32342 ran in:  10.478795766830444
Exciton, frame 32343 ran in:  10.60977816581726
Exciton, frame 32344 ran in:  12.14862608909607
Exciton, frame 32345 ran in:  10.538529634475708
Exciton, frame 32346 ran in:  14.498800992965698
Exciton, frame 32347 ran in:  12.03192138671875
Exciton, frame 32348 ran in:  15.720099925994873
Exciton, frame 32349 ran in:  14.056224584579468
Exciton, frame 32350 ran in:  10.69603943824768
Exciton, frame 32351 ran in:  12.228129863739014
Exciton, frame 32352 ran in:  11.40983271598816
Exciton, frame 32353 ran in:  14.234819412231445
Exciton, frame 32354 ran in:  10.442564725875854
Exciton, frame 32355 ran in:  11.236198425292969
Exciton, frame 32356 ran in:  10.844202756881714
Exciton, frame 32357 ran in:  10.90351152420044
Exciton, frame 32358 ran in:  13.1801278591156
Exciton, frame 32359 ran in:  14.04542589187622
Exciton, frame 32360 ran in:  13.409577131271362
Exciton, frame 32361 ran in:  11.068339347839355
Exciton, frame 32362 ran in:  10.535003662109375
Exciton, frame 32363 ran in:  11.750177383422852
Exciton, frame 32364 ran in:  14.9334557056427
Exciton, frame 32365 ran in:  10.532667875289917
Exciton, frame 32366 ran in:  10.684712648391724
Exciton, frame 32367 ran in:  11.130307912826538
Exciton, frame 32368 ran in:  11.456542015075684
Exciton, frame 32369 ran in:  10.570607900619507
Exciton, frame 32370 ran in:  13.946379661560059
Exciton, frame 32371 ran in:  12.058221817016602
Exciton, frame 32372 ran in:  10.581984996795654
Exciton, frame 32373 ran in:  14.591601371765137
Exciton, frame 32374 ran in:  10.98954701423645
Exciton, frame 32375 ran in:  10.720499515533447
Exciton, frame 32376 ran in:  15.487486362457275
Exciton, frame 32377 ran in:  12.351058959960938
Exciton, frame 32378 ran in:  14.668776273727417
Exciton, frame 32379 ran in:  12.871760368347168
Exciton, frame 32380 ran in:  11.74333930015564
Exciton, frame 32381 ran in:  10.619231224060059
Exciton, frame 32382 ran in:  10.477799892425537
Exciton, frame 32383 ran in:  14.20031213760376
Exciton, frame 32384 ran in:  10.641993999481201
Exciton, frame 32385 ran in:  11.494943141937256
Exciton, frame 32386 ran in:  10.795171976089478
Exciton, frame 32387 ran in:  10.888738870620728
Exciton, frame 32388 ran in:  12.889987230300903
Exciton, frame 32389 ran in:  12.87427043914795
Exciton, frame 32390 ran in:  10.62330675125122
Exciton, frame 32391 ran in:  14.015766859054565
Exciton, frame 32392 ran in:  13.754743576049805
Exciton, frame 32393 ran in:  10.478501796722412
Exciton, frame 32394 ran in:  10.637219667434692
Exciton, frame 32395 ran in:  10.502098083496094
Exciton, frame 32396 ran in:  13.449977397918701
Exciton, frame 32397 ran in:  10.691444158554077
Exciton, frame 32398 ran in:  10.849900484085083
Exciton, frame 32399 ran in:  11.125556707382202
Exciton, frame 32400 ran in:  11.731839656829834
Exciton, frame 32401 ran in:  11.652191638946533
