cpu-bind=MASK - bp1-compute172, task 4294967295 4294967295 [0]: mask 0xfff00ff0fff00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.102647 secs
Exciton, frame 24372 ran in:  13.223662853240967
Exciton, frame 24373 ran in:  12.554823160171509
Exciton, frame 24374 ran in:  12.57170581817627
Exciton, frame 24375 ran in:  12.39941930770874
Exciton, frame 24376 ran in:  12.905566453933716
Exciton, frame 24377 ran in:  12.75048017501831
Exciton, frame 24378 ran in:  12.529184579849243
Exciton, frame 24379 ran in:  12.505500078201294
Exciton, frame 24380 ran in:  12.656709432601929
Exciton, frame 24381 ran in:  13.270746231079102
Exciton, frame 24382 ran in:  12.836487531661987
Exciton, frame 24383 ran in:  12.557098865509033
Exciton, frame 24384 ran in:  12.642351388931274
Exciton, frame 24385 ran in:  12.543503522872925
Exciton, frame 24386 ran in:  12.956175565719604
Exciton, frame 24387 ran in:  12.430946350097656
Exciton, frame 24388 ran in:  12.613544940948486
Exciton, frame 24389 ran in:  12.835628271102905
Exciton, frame 24390 ran in:  13.948774337768555
Exciton, frame 24391 ran in:  12.847752571105957
Exciton, frame 24392 ran in:  12.511385917663574
Exciton, frame 24393 ran in:  12.590819835662842
Exciton, frame 24394 ran in:  12.583895444869995
Exciton, frame 24395 ran in:  12.753965616226196
Exciton, frame 24396 ran in:  12.589366436004639
Exciton, frame 24397 ran in:  12.68640422821045
Exciton, frame 24398 ran in:  12.687251567840576
Exciton, frame 24399 ran in:  12.793537378311157
Exciton, frame 24400 ran in:  13.978569507598877
Exciton, frame 24401 ran in:  12.629934787750244
Exciton, frame 24402 ran in:  12.819704294204712
Exciton, frame 24403 ran in:  12.405477523803711
Exciton, frame 24404 ran in:  13.538953065872192
Exciton, frame 24405 ran in:  12.57096004486084
Exciton, frame 24406 ran in:  12.666472673416138
Exciton, frame 24407 ran in:  12.522706747055054
Exciton, frame 24408 ran in:  12.569247245788574
Exciton, frame 24409 ran in:  12.545116901397705
Exciton, frame 24410 ran in:  12.43571925163269
Exciton, frame 24411 ran in:  12.617477178573608
Exciton, frame 24412 ran in:  12.388829946517944
Exciton, frame 24413 ran in:  13.638055801391602
Exciton, frame 24414 ran in:  12.556368350982666
Exciton, frame 24415 ran in:  12.622973680496216
Exciton, frame 24416 ran in:  12.616568803787231
Exciton, frame 24417 ran in:  13.602754354476929
Exciton, frame 24418 ran in:  13.236746072769165
Exciton, frame 24419 ran in:  12.607219219207764
Exciton, frame 24420 ran in:  12.453433990478516
Exciton, frame 24421 ran in:  13.293701648712158
Exciton, frame 24422 ran in:  12.598021745681763
Exciton, frame 24423 ran in:  12.48610806465149
Exciton, frame 24424 ran in:  12.63932752609253
Exciton, frame 24425 ran in:  12.510203838348389
Exciton, frame 24426 ran in:  12.455984830856323
Exciton, frame 24427 ran in:  12.676483869552612
Exciton, frame 24428 ran in:  12.613325357437134
Exciton, frame 24429 ran in:  12.498434782028198
Exciton, frame 24430 ran in:  12.523882389068604
Exciton, frame 24431 ran in:  12.635648250579834
Exciton, frame 24432 ran in:  12.74991226196289
Exciton, frame 24433 ran in:  12.614347457885742
Exciton, frame 24434 ran in:  12.49092173576355
Exciton, frame 24435 ran in:  12.404893636703491
Exciton, frame 24436 ran in:  12.943467140197754
Exciton, frame 24437 ran in:  13.945259094238281
Exciton, frame 24438 ran in:  12.45799994468689
Exciton, frame 24439 ran in:  12.55832839012146
Exciton, frame 24440 ran in:  12.719051122665405
Exciton, frame 24441 ran in:  12.637676477432251
Exciton, frame 24442 ran in:  12.735405921936035
Exciton, frame 24443 ran in:  13.05603575706482
Exciton, frame 24444 ran in:  12.793148279190063
Exciton, frame 24445 ran in:  12.797314405441284
Exciton, frame 24446 ran in:  12.498601198196411
Exciton, frame 24447 ran in:  12.73125696182251
Exciton, frame 24448 ran in:  13.593968152999878
Exciton, frame 24449 ran in:  13.488470792770386
Exciton, frame 24450 ran in:  12.774527788162231
Exciton, frame 24451 ran in:  12.582958221435547
Exciton, frame 24452 ran in:  12.892469644546509
Exciton, frame 24453 ran in:  12.744252443313599
Exciton, frame 24454 ran in:  12.536299467086792
Exciton, frame 24455 ran in:  12.537086486816406
Exciton, frame 24456 ran in:  12.75913953781128
Exciton, frame 24457 ran in:  12.430058479309082
Exciton, frame 24458 ran in:  12.772017478942871
Exciton, frame 24459 ran in:  12.83544373512268
Exciton, frame 24460 ran in:  12.434897899627686
Exciton, frame 24461 ran in:  12.587442398071289
Exciton, frame 24462 ran in:  12.583730936050415
Exciton, frame 24463 ran in:  12.578914165496826
Exciton, frame 24464 ran in:  12.674785614013672
Exciton, frame 24465 ran in:  12.611511468887329
Exciton, frame 24466 ran in:  12.533669233322144
Exciton, frame 24467 ran in:  12.37342619895935
Exciton, frame 24468 ran in:  12.73151969909668
Exciton, frame 24469 ran in:  12.49951457977295
Exciton, frame 24470 ran in:  12.695305585861206
Exciton, frame 24471 ran in:  12.61879277229309
Exciton, frame 24472 ran in:  12.663456916809082
Exciton, frame 24473 ran in:  12.929033279418945
Exciton, frame 24474 ran in:  12.941298484802246
Exciton, frame 24475 ran in:  12.823639631271362
Exciton, frame 24476 ran in:  12.687639236450195
Exciton, frame 24477 ran in:  12.729757070541382
Exciton, frame 24478 ran in:  12.543874263763428
Exciton, frame 24479 ran in:  12.689223766326904
Exciton, frame 24480 ran in:  12.722155809402466
Exciton, frame 24481 ran in:  13.597265005111694
Exciton, frame 24482 ran in:  13.971665143966675
Exciton, frame 24483 ran in:  13.513592720031738
Exciton, frame 24484 ran in:  12.661547422409058
Exciton, frame 24485 ran in:  12.897718667984009
Exciton, frame 24486 ran in:  12.621229648590088
Exciton, frame 24487 ran in:  12.749528169631958
Exciton, frame 24488 ran in:  12.708461999893188
Exciton, frame 24489 ran in:  12.679031372070312
Exciton, frame 24490 ran in:  12.53182315826416
Exciton, frame 24491 ran in:  12.564914464950562
Exciton, frame 24492 ran in:  13.66322946548462
Exciton, frame 24493 ran in:  12.966239213943481
Exciton, frame 24494 ran in:  13.003410816192627
Exciton, frame 24495 ran in:  12.467160701751709
Exciton, frame 24496 ran in:  12.517751216888428
Exciton, frame 24497 ran in:  12.492169618606567
Exciton, frame 24498 ran in:  12.7129967212677
Exciton, frame 24499 ran in:  12.500401496887207
Exciton, frame 24500 ran in:  12.558843612670898
Exciton, frame 24501 ran in:  12.551974773406982
Exciton, frame 24502 ran in:  12.912740468978882
Exciton, frame 24503 ran in:  12.406569719314575
Exciton, frame 24504 ran in:  12.54977297782898
Exciton, frame 24505 ran in:  13.010542392730713
Exciton, frame 24506 ran in:  12.531012773513794
Exciton, frame 24507 ran in:  12.63396954536438
Exciton, frame 24508 ran in:  12.671037673950195
Exciton, frame 24509 ran in:  12.579507112503052
Exciton, frame 24510 ran in:  12.611924171447754
Exciton, frame 24511 ran in:  12.552760124206543
Exciton, frame 24512 ran in:  12.534510374069214
Exciton, frame 24513 ran in:  12.5614173412323
Exciton, frame 24514 ran in:  12.76524543762207
Exciton, frame 24515 ran in:  12.647950649261475
Exciton, frame 24516 ran in:  12.877676486968994
Exciton, frame 24517 ran in:  12.743363618850708
Exciton, frame 24518 ran in:  12.732398986816406
Exciton, frame 24519 ran in:  12.46032190322876
Exciton, frame 24520 ran in:  12.702035665512085
Exciton, frame 24521 ran in:  13.372214794158936
Exciton, frame 24522 ran in:  12.180824279785156
Exciton, frame 24523 ran in:  13.393347024917603
Exciton, frame 24524 ran in:  13.909914255142212
Exciton, frame 24525 ran in:  12.745935916900635
Exciton, frame 24526 ran in:  12.57777714729309
Exciton, frame 24527 ran in:  12.429156303405762
Exciton, frame 24528 ran in:  12.557900667190552
Exciton, frame 24529 ran in:  12.805213212966919
Exciton, frame 24530 ran in:  12.457451343536377
Exciton, frame 24531 ran in:  12.712340354919434
Exciton, frame 24532 ran in:  12.614545106887817
Exciton, frame 24533 ran in:  12.82866644859314
Exciton, frame 24534 ran in:  12.809297800064087
Exciton, frame 24535 ran in:  12.461458444595337
Exciton, frame 24536 ran in:  12.619077205657959
Exciton, frame 24537 ran in:  12.586264610290527
Exciton, frame 24538 ran in:  13.016521692276001
Exciton, frame 24539 ran in:  13.687552690505981
Exciton, frame 24540 ran in:  12.709353685379028
Exciton, frame 24541 ran in:  13.241986751556396
Exciton, frame 24542 ran in:  12.430780410766602
Exciton, frame 24543 ran in:  12.473626613616943
Exciton, frame 24544 ran in:  13.168271780014038
Exciton, frame 24545 ran in:  12.551361322402954
Exciton, frame 24546 ran in:  12.57785701751709
Exciton, frame 24547 ran in:  12.686045169830322
Exciton, frame 24548 ran in:  12.538509130477905
Exciton, frame 24549 ran in:  12.782043218612671
Exciton, frame 24550 ran in:  12.619949102401733
Exciton, frame 24551 ran in:  13.675406455993652
Exciton, frame 24552 ran in:  13.713082790374756
Exciton, frame 24553 ran in:  12.531165838241577
Exciton, frame 24554 ran in:  13.756498336791992
Exciton, frame 24555 ran in:  12.40907907485962
Exciton, frame 24556 ran in:  13.84135627746582
Exciton, frame 24557 ran in:  12.555670022964478
Exciton, frame 24558 ran in:  12.426801443099976
Exciton, frame 24559 ran in:  12.8470938205719
Exciton, frame 24560 ran in:  12.608211278915405
Exciton, frame 24561 ran in:  12.794046401977539
Exciton, frame 24562 ran in:  12.434688568115234
Exciton, frame 24563 ran in:  12.674495935440063
Exciton, frame 24564 ran in:  12.602770328521729
Exciton, frame 24565 ran in:  14.024723768234253
Exciton, frame 24566 ran in:  12.991530179977417
Exciton, frame 24567 ran in:  13.489928722381592
Exciton, frame 24568 ran in:  12.564627885818481
Exciton, frame 24569 ran in:  12.927254438400269
