cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfe01fe3bfe01fe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.550530 secs
Exciton, frame 76193 ran in:  13.271288394927979
Exciton, frame 76194 ran in:  13.33636474609375
Exciton, frame 76195 ran in:  13.42779803276062
Exciton, frame 76196 ran in:  13.751270532608032
Exciton, frame 76197 ran in:  13.775390625
Exciton, frame 76198 ran in:  13.578524112701416
Exciton, frame 76199 ran in:  13.009127378463745
Exciton, frame 76200 ran in:  14.059742212295532
Exciton, frame 76201 ran in:  13.436368227005005
Exciton, frame 76202 ran in:  13.269294500350952
Exciton, frame 76203 ran in:  13.176618814468384
Exciton, frame 76204 ran in:  13.913361310958862
Exciton, frame 76205 ran in:  13.295752763748169
Exciton, frame 76206 ran in:  13.21577763557434
Exciton, frame 76207 ran in:  13.156201839447021
Exciton, frame 76208 ran in:  13.748199701309204
Exciton, frame 76209 ran in:  13.270414590835571
Exciton, frame 76210 ran in:  13.457490921020508
Exciton, frame 76211 ran in:  13.553707599639893
Exciton, frame 76212 ran in:  13.397985458374023
Exciton, frame 76213 ran in:  13.79488468170166
Exciton, frame 76214 ran in:  13.208781242370605
Exciton, frame 76215 ran in:  13.31539273262024
Exciton, frame 76216 ran in:  13.784543991088867
Exciton, frame 76217 ran in:  13.14040732383728
Exciton, frame 76218 ran in:  13.15409255027771
Exciton, frame 76219 ran in:  13.273110151290894
Exciton, frame 76220 ran in:  13.803956270217896
Exciton, frame 76221 ran in:  13.398027896881104
Exciton, frame 76222 ran in:  13.30207896232605
Exciton, frame 76223 ran in:  13.427328824996948
Exciton, frame 76224 ran in:  12.948390245437622
Exciton, frame 76225 ran in:  13.268687009811401
Exciton, frame 76226 ran in:  13.323968648910522
Exciton, frame 76227 ran in:  13.05114197731018
Exciton, frame 76228 ran in:  13.420355558395386
Exciton, frame 76229 ran in:  13.40427303314209
Exciton, frame 76230 ran in:  13.608487844467163
Exciton, frame 76231 ran in:  13.603263854980469
Exciton, frame 76232 ran in:  13.466973543167114
Exciton, frame 76233 ran in:  13.799767017364502
Exciton, frame 76234 ran in:  13.21405577659607
Exciton, frame 76235 ran in:  13.030652523040771
Exciton, frame 76236 ran in:  13.065562009811401
Exciton, frame 76237 ran in:  13.19169020652771
Exciton, frame 76238 ran in:  13.535017490386963
Exciton, frame 76239 ran in:  13.317089557647705
Exciton, frame 76240 ran in:  13.366596460342407
Exciton, frame 76241 ran in:  13.405819416046143
Exciton, frame 76242 ran in:  13.050822257995605
Exciton, frame 76243 ran in:  13.28974461555481
Exciton, frame 76244 ran in:  13.403379678726196
Exciton, frame 76245 ran in:  13.262592554092407
Exciton, frame 76246 ran in:  14.394033432006836
Exciton, frame 76247 ran in:  13.330846309661865
Exciton, frame 76248 ran in:  13.188958168029785
Exciton, frame 76249 ran in:  13.310020685195923
Exciton, frame 76250 ran in:  13.424015998840332
Exciton, frame 76251 ran in:  13.38161587715149
Exciton, frame 76252 ran in:  13.281296253204346
Exciton, frame 76253 ran in:  13.331063747406006
Exciton, frame 76254 ran in:  13.441206455230713
Exciton, frame 76255 ran in:  13.230299234390259
Exciton, frame 76256 ran in:  13.172293424606323
Exciton, frame 76257 ran in:  13.252543687820435
Exciton, frame 76258 ran in:  13.826691389083862
Exciton, frame 76259 ran in:  13.439831018447876
Exciton, frame 76260 ran in:  13.099846839904785
Exciton, frame 76261 ran in:  13.554083108901978
Exciton, frame 76262 ran in:  13.388420581817627
Exciton, frame 76263 ran in:  13.258820533752441
Exciton, frame 76264 ran in:  13.474660158157349
Exciton, frame 76265 ran in:  13.378022909164429
Exciton, frame 76266 ran in:  13.595999956130981
Exciton, frame 76267 ran in:  13.345750331878662
Exciton, frame 76268 ran in:  13.572449684143066
Exciton, frame 76269 ran in:  13.607681035995483
Exciton, frame 76270 ran in:  13.343779563903809
Exciton, frame 76271 ran in:  13.077514410018921
Exciton, frame 76272 ran in:  13.93476915359497
Exciton, frame 76273 ran in:  13.393268585205078
Exciton, frame 76274 ran in:  13.23599100112915
Exciton, frame 76275 ran in:  13.177669286727905
Exciton, frame 76276 ran in:  12.952143430709839
Exciton, frame 76277 ran in:  13.757859230041504
Exciton, frame 76278 ran in:  13.866557836532593
Exciton, frame 76279 ran in:  13.658256530761719
Exciton, frame 76280 ran in:  13.456276655197144
Exciton, frame 76281 ran in:  13.428464889526367
Exciton, frame 76282 ran in:  13.579107761383057
Exciton, frame 76283 ran in:  13.524325847625732
Exciton, frame 76284 ran in:  13.726263999938965
Exciton, frame 76285 ran in:  13.361210346221924
Exciton, frame 76286 ran in:  13.249255180358887
Exciton, frame 76287 ran in:  13.46504831314087
Exciton, frame 76288 ran in:  13.44579792022705
Exciton, frame 76289 ran in:  13.249537467956543
Exciton, frame 76290 ran in:  13.13892126083374
Exciton, frame 76291 ran in:  13.336135625839233
Exciton, frame 76292 ran in:  13.805215120315552
Exciton, frame 76293 ran in:  13.140546798706055
Exciton, frame 76294 ran in:  13.001103162765503
Exciton, frame 76295 ran in:  13.487494230270386
Exciton, frame 76296 ran in:  13.360826015472412
Exciton, frame 76297 ran in:  13.893575191497803
Exciton, frame 76298 ran in:  13.801932334899902
Exciton, frame 76299 ran in:  13.324650049209595
Exciton, frame 76300 ran in:  13.967527627944946
Exciton, frame 76301 ran in:  13.840269327163696
Exciton, frame 76302 ran in:  13.650551557540894
Exciton, frame 76303 ran in:  13.951011657714844
Exciton, frame 76304 ran in:  13.153929471969604
Exciton, frame 76305 ran in:  13.489488363265991
Exciton, frame 76306 ran in:  13.177445888519287
Exciton, frame 76307 ran in:  13.778857469558716
Exciton, frame 76308 ran in:  13.11536455154419
Exciton, frame 76309 ran in:  13.123662233352661
Exciton, frame 76310 ran in:  13.71428656578064
Exciton, frame 76311 ran in:  13.201955318450928
