cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xa7fb00ffa7fb00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 45.056077 secs
Exciton, frame 88207 ran in:  13.567058801651001
Exciton, frame 88208 ran in:  13.637117862701416
Exciton, frame 88209 ran in:  13.467162609100342
Exciton, frame 88210 ran in:  13.109281063079834
Exciton, frame 88211 ran in:  13.287641525268555
Exciton, frame 88212 ran in:  13.454665184020996
Exciton, frame 88213 ran in:  13.45220947265625
Exciton, frame 88214 ran in:  13.49324655532837
Exciton, frame 88215 ran in:  13.271606922149658
Exciton, frame 88216 ran in:  13.580302476882935
Exciton, frame 88217 ran in:  13.641002655029297
Exciton, frame 88218 ran in:  13.58950161933899
Exciton, frame 88219 ran in:  13.35306429862976
Exciton, frame 88220 ran in:  12.952782154083252
Exciton, frame 88221 ran in:  13.689902305603027
Exciton, frame 88222 ran in:  13.661251306533813
Exciton, frame 88223 ran in:  13.567417860031128
Exciton, frame 88224 ran in:  13.56684947013855
Exciton, frame 88225 ran in:  13.251281976699829
Exciton, frame 88226 ran in:  13.408167123794556
Exciton, frame 88227 ran in:  13.078866481781006
Exciton, frame 88228 ran in:  13.46669340133667
Exciton, frame 88229 ran in:  13.410228490829468
Exciton, frame 88230 ran in:  13.327343463897705
Exciton, frame 88231 ran in:  13.525482177734375
Exciton, frame 88232 ran in:  13.337167978286743
Exciton, frame 88233 ran in:  13.455739498138428
Exciton, frame 88234 ran in:  13.60664415359497
Exciton, frame 88235 ran in:  13.670845985412598
Exciton, frame 88236 ran in:  13.418832302093506
Exciton, frame 88237 ran in:  13.764863729476929
Exciton, frame 88238 ran in:  13.97864818572998
Exciton, frame 88239 ran in:  13.257927179336548
Exciton, frame 88240 ran in:  13.239552021026611
Exciton, frame 88241 ran in:  13.433761358261108
Exciton, frame 88242 ran in:  13.600184440612793
Exciton, frame 88243 ran in:  13.353016376495361
Exciton, frame 88244 ran in:  13.442714929580688
Exciton, frame 88245 ran in:  13.31665825843811
Exciton, frame 88246 ran in:  13.242154359817505
Exciton, frame 88247 ran in:  13.566173791885376
Exciton, frame 88248 ran in:  13.598357200622559
Exciton, frame 88249 ran in:  13.550126552581787
Exciton, frame 88250 ran in:  13.74915862083435
Exciton, frame 88251 ran in:  13.795417070388794
Exciton, frame 88252 ran in:  13.816259622573853
Exciton, frame 88253 ran in:  13.642214059829712
Exciton, frame 88254 ran in:  13.188934326171875
Exciton, frame 88255 ran in:  13.624529838562012
Exciton, frame 88256 ran in:  13.068190336227417
Exciton, frame 88257 ran in:  13.293897151947021
Exciton, frame 88258 ran in:  13.359368085861206
Exciton, frame 88259 ran in:  13.440621137619019
Exciton, frame 88260 ran in:  13.166184425354004
Exciton, frame 88261 ran in:  12.920303583145142
Exciton, frame 88262 ran in:  13.519521713256836
Exciton, frame 88263 ran in:  13.359817028045654
Exciton, frame 88264 ran in:  13.679419040679932
Exciton, frame 88265 ran in:  13.905633926391602
Exciton, frame 88266 ran in:  13.765653371810913
Exciton, frame 88267 ran in:  13.944630146026611
Exciton, frame 88268 ran in:  13.413334369659424
Exciton, frame 88269 ran in:  13.34348750114441
Exciton, frame 88270 ran in:  13.386842250823975
Exciton, frame 88271 ran in:  13.412476301193237
Exciton, frame 88272 ran in:  13.366676330566406
Exciton, frame 88273 ran in:  14.358502864837646
Exciton, frame 88274 ran in:  13.423737049102783
Exciton, frame 88275 ran in:  13.47780990600586
Exciton, frame 88276 ran in:  12.880420446395874
Exciton, frame 88277 ran in:  13.526881456375122
Exciton, frame 88278 ran in:  13.702860832214355
Exciton, frame 88279 ran in:  13.497430801391602
Exciton, frame 88280 ran in:  13.479078531265259
Exciton, frame 88281 ran in:  13.683293104171753
Exciton, frame 88282 ran in:  13.31019377708435
Exciton, frame 88283 ran in:  13.315723419189453
Exciton, frame 88284 ran in:  13.377563953399658
Exciton, frame 88285 ran in:  13.363942384719849
Exciton, frame 88286 ran in:  13.243548393249512
Exciton, frame 88287 ran in:  13.571065187454224
Exciton, frame 88288 ran in:  13.461868286132812
Exciton, frame 88289 ran in:  13.663449764251709
Exciton, frame 88290 ran in:  13.505514860153198
Exciton, frame 88291 ran in:  13.339744091033936
Exciton, frame 88292 ran in:  13.607041835784912
Exciton, frame 88293 ran in:  13.53903865814209
Exciton, frame 88294 ran in:  13.860093832015991
Exciton, frame 88295 ran in:  13.682791709899902
Exciton, frame 88296 ran in:  13.373995542526245
Exciton, frame 88297 ran in:  13.288989067077637
Exciton, frame 88298 ran in:  13.302056074142456
Exciton, frame 88299 ran in:  13.395434141159058
Exciton, frame 88300 ran in:  13.566907405853271
Exciton, frame 88301 ran in:  13.321890830993652
Exciton, frame 88302 ran in:  13.009998559951782
Exciton, frame 88303 ran in:  13.113624811172485
Exciton, frame 88304 ran in:  13.512773275375366
Exciton, frame 88305 ran in:  13.602008581161499
Exciton, frame 88306 ran in:  13.617461442947388
Exciton, frame 88307 ran in:  13.890865087509155
Exciton, frame 88308 ran in:  13.849443197250366
Exciton, frame 88309 ran in:  13.627203226089478
Exciton, frame 88310 ran in:  13.582675218582153
Exciton, frame 88311 ran in:  13.290258169174194
Exciton, frame 88312 ran in:  13.53306794166565
Exciton, frame 88313 ran in:  13.611654281616211
Exciton, frame 88314 ran in:  13.450416326522827
Exciton, frame 88315 ran in:  13.270349502563477
Exciton, frame 88316 ran in:  13.413013458251953
Exciton, frame 88317 ran in:  13.928119421005249
Exciton, frame 88318 ran in:  13.505013465881348
Exciton, frame 88319 ran in:  14.017977952957153
Exciton, frame 88320 ran in:  13.905632734298706
Exciton, frame 88321 ran in:  14.180343866348267
Exciton, frame 88322 ran in:  13.823325157165527
Exciton, frame 88323 ran in:  13.177119970321655
Exciton, frame 88324 ran in:  13.213990926742554
Exciton, frame 88325 ran in:  13.526261568069458
Exciton, frame 88326 ran in:  13.619245529174805
Exciton, frame 88327 ran in:  13.351171731948853
Exciton, frame 88328 ran in:  13.621025800704956
Exciton, frame 88329 ran in:  13.401559591293335
Exciton, frame 88330 ran in:  13.971222639083862
Exciton, frame 88331 ran in:  13.380027770996094
Exciton, frame 88332 ran in:  13.805805921554565
Exciton, frame 88333 ran in:  13.709046125411987
Exciton, frame 88334 ran in:  13.336431503295898
Exciton, frame 88335 ran in:  13.898484945297241
Exciton, frame 88336 ran in:  13.12579083442688
Exciton, frame 88337 ran in:  13.151892900466919
Exciton, frame 88338 ran in:  13.531587600708008
Exciton, frame 88339 ran in:  13.522934198379517
Exciton, frame 88340 ran in:  13.281012773513794
Exciton, frame 88341 ran in:  13.561084508895874
Exciton, frame 88342 ran in:  13.445202112197876
Exciton, frame 88343 ran in:  13.380558729171753
Exciton, frame 88344 ran in:  13.614670038223267
Exciton, frame 88345 ran in:  13.905613422393799
