cpu-bind=MASK - bp1-compute175, task 4294967295 4294967295 [0]: mask 0x1ffeff001ffeff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 36.232964 secs
Exciton, frame 36474 ran in:  11.46294093132019
Exciton, frame 36475 ran in:  11.564022779464722
Exciton, frame 36476 ran in:  11.22967004776001
Exciton, frame 36477 ran in:  11.503192663192749
Exciton, frame 36478 ran in:  11.619693517684937
Exciton, frame 36479 ran in:  11.65864872932434
Exciton, frame 36480 ran in:  11.639448881149292
Exciton, frame 36481 ran in:  12.863087177276611
Exciton, frame 36482 ran in:  11.454135179519653
Exciton, frame 36483 ran in:  11.65560269355774
Exciton, frame 36484 ran in:  11.48621153831482
Exciton, frame 36485 ran in:  11.646531105041504
Exciton, frame 36486 ran in:  11.460163116455078
Exciton, frame 36487 ran in:  12.563629150390625
Exciton, frame 36488 ran in:  11.459779262542725
Exciton, frame 36489 ran in:  11.522022485733032
Exciton, frame 36490 ran in:  11.320283889770508
Exciton, frame 36491 ran in:  12.536824464797974
Exciton, frame 36492 ran in:  11.434043169021606
Exciton, frame 36493 ran in:  11.430497407913208
Exciton, frame 36494 ran in:  12.274047136306763
Exciton, frame 36495 ran in:  11.682653903961182
Exciton, frame 36496 ran in:  11.613495111465454
Exciton, frame 36497 ran in:  11.480112075805664
Exciton, frame 36498 ran in:  11.804983377456665
Exciton, frame 36499 ran in:  11.497870445251465
Exciton, frame 36500 ran in:  11.568493127822876
Exciton, frame 36501 ran in:  11.586010932922363
Exciton, frame 36502 ran in:  12.525930166244507
Exciton, frame 36503 ran in:  13.178888320922852
Exciton, frame 36504 ran in:  11.559056282043457
Exciton, frame 36505 ran in:  11.845949172973633
Exciton, frame 36506 ran in:  11.516637325286865
Exciton, frame 36507 ran in:  11.5466628074646
Exciton, frame 36508 ran in:  11.642625570297241
Exciton, frame 36509 ran in:  11.656004428863525
Exciton, frame 36510 ran in:  11.431541919708252
Exciton, frame 36511 ran in:  11.71760082244873
Exciton, frame 36512 ran in:  12.57465410232544
Exciton, frame 36513 ran in:  12.357187986373901
Exciton, frame 36514 ran in:  11.50255823135376
Exciton, frame 36515 ran in:  11.603203773498535
Exciton, frame 36516 ran in:  11.691841840744019
Exciton, frame 36517 ran in:  11.649140119552612
Exciton, frame 36518 ran in:  11.591957092285156
Exciton, frame 36519 ran in:  11.65312147140503
Exciton, frame 36520 ran in:  11.953813552856445
Exciton, frame 36521 ran in:  11.618915557861328
Exciton, frame 36522 ran in:  11.443947553634644
Exciton, frame 36523 ran in:  11.267220735549927
Exciton, frame 36524 ran in:  11.431557655334473
Exciton, frame 36525 ran in:  11.508930444717407
Exciton, frame 36526 ran in:  11.682851314544678
Exciton, frame 36527 ran in:  12.304356813430786
Exciton, frame 36528 ran in:  11.63028335571289
Exciton, frame 36529 ran in:  13.226639986038208
Exciton, frame 36530 ran in:  12.696792840957642
Exciton, frame 36531 ran in:  11.330352306365967
Exciton, frame 36532 ran in:  11.36465859413147
Exciton, frame 36533 ran in:  11.446868896484375
Exciton, frame 36534 ran in:  11.520250797271729
Exciton, frame 36535 ran in:  11.651901721954346
Exciton, frame 36536 ran in:  11.679523229598999
Exciton, frame 36537 ran in:  12.323270082473755
Exciton, frame 36538 ran in:  11.667585849761963
Exciton, frame 36539 ran in:  12.171657800674438
Exciton, frame 36540 ran in:  11.551753997802734
Exciton, frame 36541 ran in:  11.594627380371094
Exciton, frame 36542 ran in:  11.4072265625
Exciton, frame 36543 ran in:  13.260194540023804
Exciton, frame 36544 ran in:  12.452666997909546
Exciton, frame 36545 ran in:  11.51136040687561
Exciton, frame 36546 ran in:  11.472070455551147
Exciton, frame 36547 ran in:  11.325209140777588
Exciton, frame 36548 ran in:  11.61987853050232
Exciton, frame 36549 ran in:  11.572439432144165
Exciton, frame 36550 ran in:  11.398741960525513
Exciton, frame 36551 ran in:  11.417201042175293
Exciton, frame 36552 ran in:  13.059171915054321
Exciton, frame 36553 ran in:  11.707935571670532
Exciton, frame 36554 ran in:  11.614796161651611
Exciton, frame 36555 ran in:  11.524901866912842
Exciton, frame 36556 ran in:  11.485454320907593
Exciton, frame 36557 ran in:  11.553663969039917
Exciton, frame 36558 ran in:  11.495200634002686
Exciton, frame 36559 ran in:  11.435251712799072
Exciton, frame 36560 ran in:  11.465786457061768
Exciton, frame 36561 ran in:  11.75791621208191
Exciton, frame 36562 ran in:  12.949311256408691
Exciton, frame 36563 ran in:  11.727688074111938
Exciton, frame 36564 ran in:  11.633800983428955
Exciton, frame 36565 ran in:  13.341997385025024
Exciton, frame 36566 ran in:  11.63557481765747
Exciton, frame 36567 ran in:  11.501326084136963
Exciton, frame 36568 ran in:  13.26097059249878
Exciton, frame 36569 ran in:  11.495261192321777
