cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16182 ran in:  13.863652467727661
Exciton, frame 16183 ran in:  13.194099187850952
Exciton, frame 16184 ran in:  14.058899402618408
Exciton, frame 16185 ran in:  13.298795223236084
Exciton, frame 16186 ran in:  14.139327049255371
Exciton, frame 16187 ran in:  13.843793153762817
Exciton, frame 16188 ran in:  14.055170774459839
Exciton, frame 16189 ran in:  13.621655225753784
Exciton, frame 16190 ran in:  12.730816125869751
Exciton, frame 16191 ran in:  14.092911720275879
Exciton, frame 16192 ran in:  13.527241230010986
Exciton, frame 16193 ran in:  14.010115146636963
Exciton, frame 16194 ran in:  13.851383924484253
Exciton, frame 16195 ran in:  13.795777797698975
Exciton, frame 16196 ran in:  13.843103170394897
Exciton, frame 16197 ran in:  12.901806116104126
Exciton, frame 16198 ran in:  12.8149573802948
Exciton, frame 16199 ran in:  13.894199848175049
Exciton, frame 16200 ran in:  14.07668399810791
Exciton, frame 16201 ran in:  12.74691104888916
Exciton, frame 16202 ran in:  14.134998798370361
Exciton, frame 16203 ran in:  13.920937538146973
Exciton, frame 16204 ran in:  13.739410161972046
Exciton, frame 16205 ran in:  14.266209125518799
Exciton, frame 16206 ran in:  14.044935464859009
Exciton, frame 16207 ran in:  14.159369707107544
Exciton, frame 16208 ran in:  14.094528436660767
Exciton, frame 16209 ran in:  13.713311672210693
Exciton, frame 16210 ran in:  12.968655824661255
Exciton, frame 16211 ran in:  14.19435977935791
Exciton, frame 16212 ran in:  14.005500555038452
Exciton, frame 16213 ran in:  14.05998182296753
Exciton, frame 16214 ran in:  14.043139457702637
Exciton, frame 16215 ran in:  13.973910093307495
Exciton, frame 16216 ran in:  13.801344156265259
Exciton, frame 16217 ran in:  13.610740661621094
Exciton, frame 16218 ran in:  13.87166166305542
Exciton, frame 16219 ran in:  13.882245540618896
Exciton, frame 16220 ran in:  13.32820987701416
Exciton, frame 16221 ran in:  13.760288000106812
Exciton, frame 16222 ran in:  13.827850103378296
Exciton, frame 16223 ran in:  14.047388553619385
Exciton, frame 16224 ran in:  13.84809160232544
Exciton, frame 16225 ran in:  13.762954711914062
Exciton, frame 16226 ran in:  13.875497102737427
Exciton, frame 16227 ran in:  13.926658153533936
Exciton, frame 16228 ran in:  13.321641683578491
Exciton, frame 16229 ran in:  13.975080728530884
Exciton, frame 16230 ran in:  14.030740022659302
Exciton, frame 16231 ran in:  13.933216333389282
Exciton, frame 16232 ran in:  13.79936146736145
Exciton, frame 16233 ran in:  13.91788125038147
Exciton, frame 16234 ran in:  13.849084377288818
Exciton, frame 16235 ran in:  13.828016519546509
Exciton, frame 16236 ran in:  13.79823899269104
Exciton, frame 16237 ran in:  14.084725618362427
Exciton, frame 16238 ran in:  12.868350505828857
Exciton, frame 16239 ran in:  13.042323350906372
Exciton, frame 16240 ran in:  13.134038925170898
Exciton, frame 16241 ran in:  13.96192216873169
Exciton, frame 16242 ran in:  12.492851257324219
Exciton, frame 16243 ran in:  14.066928148269653
Exciton, frame 16244 ran in:  13.849445104598999
Exciton, frame 16245 ran in:  12.591325283050537
