cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12245 ran in:  13.568227052688599
Exciton, frame 12246 ran in:  13.469886779785156
Exciton, frame 12247 ran in:  13.690334796905518
Exciton, frame 12248 ran in:  13.50188136100769
Exciton, frame 12249 ran in:  13.360090255737305
Exciton, frame 12250 ran in:  13.369274139404297
Exciton, frame 12251 ran in:  13.56071949005127
Exciton, frame 12252 ran in:  13.19609808921814
Exciton, frame 12253 ran in:  13.462683916091919
Exciton, frame 12254 ran in:  13.343663454055786
Exciton, frame 12255 ran in:  13.35929536819458
Exciton, frame 12256 ran in:  13.43602991104126
Exciton, frame 12257 ran in:  13.850247621536255
Exciton, frame 12258 ran in:  13.515392065048218
Exciton, frame 12259 ran in:  13.483417272567749
Exciton, frame 12260 ran in:  13.406808376312256
Exciton, frame 12261 ran in:  13.794868469238281
Exciton, frame 12262 ran in:  13.694371700286865
Exciton, frame 12263 ran in:  13.409188747406006
Exciton, frame 12264 ran in:  13.160231113433838
Exciton, frame 12265 ran in:  13.38410234451294
Exciton, frame 12266 ran in:  13.306979894638062
Exciton, frame 12267 ran in:  13.53529143333435
Exciton, frame 12268 ran in:  13.547433853149414
Exciton, frame 12269 ran in:  13.852421998977661
Exciton, frame 12270 ran in:  13.273862838745117
Exciton, frame 12271 ran in:  13.154561996459961
Exciton, frame 12272 ran in:  13.376222133636475
Exciton, frame 12273 ran in:  13.520311117172241
Exciton, frame 12274 ran in:  13.54409670829773
Exciton, frame 12275 ran in:  13.582918643951416
Exciton, frame 12276 ran in:  13.50735855102539
Exciton, frame 12277 ran in:  13.434979438781738
Exciton, frame 12278 ran in:  13.791697025299072
Exciton, frame 12279 ran in:  13.181947469711304
Exciton, frame 12280 ran in:  13.347158908843994
Exciton, frame 12281 ran in:  13.535884857177734
Exciton, frame 12282 ran in:  13.453086376190186
Exciton, frame 12283 ran in:  13.663063764572144
Exciton, frame 12284 ran in:  13.361166000366211
Exciton, frame 12285 ran in:  13.22465181350708
Exciton, frame 12286 ran in:  13.390395164489746
Exciton, frame 12287 ran in:  13.583167314529419
Exciton, frame 12288 ran in:  13.430505514144897
Exciton, frame 12289 ran in:  13.441188335418701
Exciton, frame 12290 ran in:  13.620202779769897
Exciton, frame 12291 ran in:  13.67200255393982
Exciton, frame 12292 ran in:  13.450689554214478
Exciton, frame 12293 ran in:  13.326982259750366
Exciton, frame 12294 ran in:  13.2863187789917
Exciton, frame 12295 ran in:  13.461952924728394
Exciton, frame 12296 ran in:  13.416893720626831
Exciton, frame 12297 ran in:  13.722597360610962
Exciton, frame 12298 ran in:  13.402100563049316
Exciton, frame 12299 ran in:  13.744611978530884
Exciton, frame 12300 ran in:  13.747278213500977
Exciton, frame 12301 ran in:  13.104413032531738
Exciton, frame 12302 ran in:  13.373889446258545
Exciton, frame 12303 ran in:  13.666507244110107
Exciton, frame 12304 ran in:  13.679118156433105
Exciton, frame 12305 ran in:  13.580379724502563
Exciton, frame 12306 ran in:  13.69769811630249
Exciton, frame 12307 ran in:  14.335635900497437
Exciton, frame 12308 ran in:  14.362092018127441
Exciton, frame 12309 ran in:  13.563712358474731
Exciton, frame 12310 ran in:  13.770888566970825
Exciton, frame 12311 ran in:  13.420109033584595
Exciton, frame 12312 ran in:  13.79236102104187
Exciton, frame 12313 ran in:  13.769797325134277
Exciton, frame 12314 ran in:  13.228734970092773
Exciton, frame 12315 ran in:  13.49617862701416
Exciton, frame 12316 ran in:  14.3602614402771
Exciton, frame 12317 ran in:  14.560138463973999
Exciton, frame 12318 ran in:  13.589094161987305
Exciton, frame 12319 ran in:  13.180432319641113
Exciton, frame 12320 ran in:  13.536460638046265
Exciton, frame 12321 ran in:  14.029621839523315
Exciton, frame 12322 ran in:  13.654154539108276
Exciton, frame 12323 ran in:  13.544001579284668
Exciton, frame 12324 ran in:  13.524786472320557
Exciton, frame 12325 ran in:  13.400015354156494
Exciton, frame 12326 ran in:  14.449643611907959
Exciton, frame 12327 ran in:  13.902881860733032
Exciton, frame 12328 ran in:  13.844394445419312
Exciton, frame 12329 ran in:  13.599748373031616
Exciton, frame 12330 ran in:  13.802893161773682
Exciton, frame 12331 ran in:  13.961607694625854
