cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xffff00f0000000000000000000000000ffff00f000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.857804 secs
Exciton, frame 7291 ran in:  15.884141683578491
Exciton, frame 7292 ran in:  15.426669836044312
Exciton, frame 7293 ran in:  16.96113157272339
Exciton, frame 7294 ran in:  15.128543376922607
Exciton, frame 7295 ran in:  16.333518505096436
Exciton, frame 7296 ran in:  16.251210927963257
Exciton, frame 7297 ran in:  16.801481008529663
Exciton, frame 7298 ran in:  16.650294065475464
Exciton, frame 7299 ran in:  16.767699003219604
Exciton, frame 7300 ran in:  16.61756992340088
Exciton, frame 7301 ran in:  17.024351358413696
Exciton, frame 7302 ran in:  16.44135022163391
Exciton, frame 7303 ran in:  17.21883773803711
Exciton, frame 7304 ran in:  17.41049861907959
Exciton, frame 7305 ran in:  16.086915016174316
Exciton, frame 7306 ran in:  14.442207098007202
Exciton, frame 7307 ran in:  15.074850082397461
Exciton, frame 7308 ran in:  14.784958362579346
Exciton, frame 7309 ran in:  15.30690622329712
Exciton, frame 7310 ran in:  14.414491176605225
Exciton, frame 7311 ran in:  15.21814513206482
Exciton, frame 7312 ran in:  27.346229791641235
Exciton, frame 7313 ran in:  15.399683237075806
Exciton, frame 7314 ran in:  16.281423807144165
Exciton, frame 7315 ran in:  16.162510871887207
Exciton, frame 7316 ran in:  16.39978051185608
Exciton, frame 7317 ran in:  28.38523554801941
Exciton, frame 7318 ran in:  15.409789085388184
Exciton, frame 7319 ran in:  16.291370153427124
Exciton, frame 7320 ran in:  14.770204067230225
Exciton, frame 7321 ran in:  26.34120464324951
Exciton, frame 7322 ran in:  27.532283306121826
Exciton, frame 7323 ran in:  16.5485782623291
Exciton, frame 7324 ran in:  15.105281591415405
Exciton, frame 7325 ran in:  15.566165447235107
Exciton, frame 7326 ran in:  16.028700828552246
Exciton, frame 7327 ran in:  15.789547443389893
Exciton, frame 7328 ran in:  15.23167872428894
Exciton, frame 7329 ran in:  15.189257621765137
Exciton, frame 7330 ran in:  16.191489934921265
Exciton, frame 7331 ran in:  14.975544214248657
Exciton, frame 7332 ran in:  14.543632984161377
Exciton, frame 7333 ran in:  14.939639806747437
Exciton, frame 7334 ran in:  15.175284147262573
Exciton, frame 7335 ran in:  15.196115493774414
Exciton, frame 7336 ran in:  27.208330392837524
Exciton, frame 7337 ran in:  27.630089044570923
Exciton, frame 7338 ran in:  15.955488443374634
Exciton, frame 7339 ran in:  27.96523904800415
Exciton, frame 7340 ran in:  27.009032487869263
Exciton, frame 7341 ran in:  15.078840017318726
Exciton, frame 7342 ran in:  15.75279688835144
Exciton, frame 7343 ran in:  14.721984148025513
Exciton, frame 7344 ran in:  16.68886685371399
Exciton, frame 7345 ran in:  15.201303243637085
Exciton, frame 7346 ran in:  14.354172468185425
Exciton, frame 7347 ran in:  17.3847599029541
Exciton, frame 7348 ran in:  15.194613933563232
Exciton, frame 7349 ran in:  14.955562114715576
Exciton, frame 7350 ran in:  16.164185762405396
Exciton, frame 7351 ran in:  14.569635391235352
Exciton, frame 7352 ran in:  14.616156339645386
Exciton, frame 7353 ran in:  16.24321985244751
Exciton, frame 7354 ran in:  14.808622360229492
Exciton, frame 7355 ran in:  15.180375099182129
Exciton, frame 7356 ran in:  17.384305000305176
Exciton, frame 7357 ran in:  17.284229278564453
Exciton, frame 7358 ran in:  16.642667293548584
Exciton, frame 7359 ran in:  27.090739011764526
Exciton, frame 7360 ran in:  15.358167886734009
Exciton, frame 7361 ran in:  15.691555261611938
Exciton, frame 7362 ran in:  15.665632963180542
Exciton, frame 7363 ran in:  14.955696821212769
Exciton, frame 7364 ran in:  15.51509690284729
Exciton, frame 7365 ran in:  17.465888500213623
Exciton, frame 7366 ran in:  15.364683866500854
Exciton, frame 7367 ran in:  15.438085079193115
Exciton, frame 7368 ran in:  15.315288782119751
Exciton, frame 7369 ran in:  28.379371881484985
Exciton, frame 7370 ran in:  15.323278665542603
Exciton, frame 7371 ran in:  15.396461248397827
Exciton, frame 7372 ran in:  15.203775644302368
Exciton, frame 7373 ran in:  14.640835046768188
Exciton, frame 7374 ran in:  22.615050077438354
Exciton, frame 7375 ran in:  27.45552134513855
Exciton, frame 7376 ran in:  14.469284057617188
Exciton, frame 7377 ran in:  27.348276138305664
Exciton, frame 7378 ran in:  14.963312864303589
Exciton, frame 7379 ran in:  14.864782571792603
Exciton, frame 7380 ran in:  14.805542707443237
Exciton, frame 7381 ran in:  16.210368156433105
Exciton, frame 7382 ran in:  15.809349536895752
Exciton, frame 7383 ran in:  14.94981050491333
Exciton, frame 7384 ran in:  14.725000381469727
Exciton, frame 7385 ran in:  14.628267765045166
Exciton, frame 7386 ran in:  14.354876518249512
Exciton, frame 7387 ran in:  15.355828285217285
Exciton, frame 7388 ran in:  15.322773218154907
Exciton, frame 7389 ran in:  15.528109550476074
Exciton, frame 7390 ran in:  23.10189986228943
Exciton, frame 7391 ran in:  16.656543493270874
Exciton, frame 7392 ran in:  16.847712755203247
Exciton, frame 7393 ran in:  16.899622440338135
Exciton, frame 7394 ran in:  15.955224990844727
Exciton, frame 7395 ran in:  14.74725890159607
Exciton, frame 7396 ran in:  14.883206605911255
Exciton, frame 7397 ran in:  15.379303216934204
Exciton, frame 7398 ran in:  15.399782657623291
Exciton, frame 7399 ran in:  16.50858497619629
Exciton, frame 7400 ran in:  17.338181495666504
Exciton, frame 7401 ran in:  16.466300010681152
Exciton, frame 7402 ran in:  14.768867015838623
Exciton, frame 7403 ran in:  16.48942279815674
Exciton, frame 7404 ran in:  15.684853076934814
Exciton, frame 7405 ran in:  15.526936054229736
Exciton, frame 7406 ran in:  16.745380401611328
Exciton, frame 7407 ran in:  14.391580820083618
Exciton, frame 7408 ran in:  26.884104251861572
Exciton, frame 7409 ran in:  27.70713186264038
Exciton, frame 7410 ran in:  14.951375961303711
Exciton, frame 7411 ran in:  14.724186182022095
Exciton, frame 7412 ran in:  15.249083042144775
Exciton, frame 7413 ran in:  20.389302730560303
Exciton, frame 7414 ran in:  14.301097393035889
Exciton, frame 7415 ran in:  14.228882551193237
Exciton, frame 7416 ran in:  14.961147785186768
Exciton, frame 7417 ran in:  16.919360876083374
Exciton, frame 7418 ran in:  16.38492226600647
Exciton, frame 7419 ran in:  15.62754201889038
Exciton, frame 7420 ran in:  16.66426706314087
Exciton, frame 7421 ran in:  16.745002269744873
