cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4228 ran in:  12.574991941452026
Exciton, frame 4229 ran in:  12.650757312774658
Exciton, frame 4230 ran in:  12.637009620666504
Exciton, frame 4231 ran in:  12.958101511001587
Exciton, frame 4232 ran in:  12.69872498512268
Exciton, frame 4233 ran in:  12.731455087661743
Exciton, frame 4234 ran in:  12.531899213790894
Exciton, frame 4235 ran in:  12.164716720581055
Exciton, frame 4236 ran in:  12.711510181427002
Exciton, frame 4237 ran in:  12.722762107849121
Exciton, frame 4238 ran in:  12.13736605644226
Exciton, frame 4239 ran in:  12.975763082504272
Exciton, frame 4240 ran in:  12.606176376342773
Exciton, frame 4241 ran in:  12.92336368560791
Exciton, frame 4242 ran in:  13.156187295913696
Exciton, frame 4243 ran in:  13.58299970626831
Exciton, frame 4244 ran in:  13.736762046813965
Exciton, frame 4245 ran in:  12.613180875778198
Exciton, frame 4246 ran in:  12.615935325622559
Exciton, frame 4247 ran in:  12.437198162078857
Exciton, frame 4248 ran in:  13.711063146591187
Exciton, frame 4249 ran in:  12.723542928695679
Exciton, frame 4250 ran in:  12.617927312850952
Exciton, frame 4251 ran in:  12.758206844329834
Exciton, frame 4252 ran in:  12.707353353500366
Exciton, frame 4253 ran in:  14.065252542495728
Exciton, frame 4254 ran in:  13.717252492904663
Exciton, frame 4255 ran in:  12.610504150390625
Exciton, frame 4256 ran in:  12.537110328674316
Exciton, frame 4257 ran in:  12.530818223953247
Exciton, frame 4258 ran in:  12.45918893814087
Exciton, frame 4259 ran in:  12.510331869125366
Exciton, frame 4260 ran in:  12.183219194412231
Exciton, frame 4261 ran in:  12.422589302062988
Exciton, frame 4262 ran in:  12.680454015731812
Exciton, frame 4263 ran in:  12.402142524719238
Exciton, frame 4264 ran in:  12.450231790542603
Exciton, frame 4265 ran in:  12.338761568069458
Exciton, frame 4266 ran in:  12.589370489120483
Exciton, frame 4267 ran in:  12.479362964630127
Exciton, frame 4268 ran in:  12.302483558654785
Exciton, frame 4269 ran in:  13.482999563217163
Exciton, frame 4270 ran in:  12.816616773605347
Exciton, frame 4271 ran in:  12.455020666122437
Exciton, frame 4272 ran in:  12.588883876800537
Exciton, frame 4273 ran in:  12.911566495895386
Exciton, frame 4274 ran in:  12.796865701675415
Exciton, frame 4275 ran in:  12.460437297821045
Exciton, frame 4276 ran in:  13.06947946548462
Exciton, frame 4277 ran in:  12.57481050491333
Exciton, frame 4278 ran in:  13.891700744628906
Exciton, frame 4279 ran in:  12.648351430892944
Exciton, frame 4280 ran in:  12.68483567237854
Exciton, frame 4281 ran in:  12.766747236251831
Exciton, frame 4282 ran in:  12.43116569519043
Exciton, frame 4283 ran in:  12.92286467552185
Exciton, frame 4284 ran in:  12.498292446136475
Exciton, frame 4285 ran in:  12.720377683639526
Exciton, frame 4286 ran in:  12.473864316940308
Exciton, frame 4287 ran in:  12.674296617507935
Exciton, frame 4288 ran in:  12.991597414016724
Exciton, frame 4289 ran in:  12.647279977798462
Exciton, frame 4290 ran in:  12.519184350967407
Exciton, frame 4291 ran in:  12.518896579742432
Exciton, frame 4292 ran in:  12.367616176605225
Exciton, frame 4293 ran in:  12.547123193740845
Exciton, frame 4294 ran in:  12.69118881225586
Exciton, frame 4295 ran in:  11.972549676895142
Exciton, frame 4296 ran in:  12.403296947479248
Exciton, frame 4297 ran in:  12.057730674743652
Exciton, frame 4298 ran in:  12.411871671676636
Exciton, frame 4299 ran in:  12.710663795471191
Exciton, frame 4300 ran in:  12.57093358039856
Exciton, frame 4301 ran in:  12.331711292266846
Exciton, frame 4302 ran in:  12.484375476837158
Exciton, frame 4303 ran in:  12.539613008499146
Exciton, frame 4304 ran in:  12.62241244316101
Exciton, frame 4305 ran in:  12.14835524559021
Exciton, frame 4306 ran in:  12.588511943817139
Exciton, frame 4307 ran in:  12.670084714889526
Exciton, frame 4308 ran in:  12.45033311843872
Exciton, frame 4309 ran in:  12.590613603591919
Exciton, frame 4310 ran in:  12.290162086486816
Exciton, frame 4311 ran in:  12.756393671035767
Exciton, frame 4312 ran in:  12.466554403305054
Exciton, frame 4313 ran in:  12.554106712341309
Exciton, frame 4314 ran in:  12.852005243301392
Exciton, frame 4315 ran in:  12.517311334609985
Exciton, frame 4316 ran in:  12.77190351486206
Exciton, frame 4317 ran in:  12.350404977798462
