cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1362 ran in:  14.069571018218994
Exciton, frame 1363 ran in:  13.921572923660278
Exciton, frame 1364 ran in:  13.82436203956604
Exciton, frame 1365 ran in:  13.930305004119873
Exciton, frame 1366 ran in:  14.177279710769653
Exciton, frame 1367 ran in:  14.139503717422485
Exciton, frame 1368 ran in:  14.000168800354004
Exciton, frame 1369 ran in:  14.037488460540771
Exciton, frame 1370 ran in:  13.968280792236328
Exciton, frame 1371 ran in:  13.997857332229614
Exciton, frame 1372 ran in:  14.075028657913208
Exciton, frame 1373 ran in:  13.883363008499146
Exciton, frame 1374 ran in:  13.959343671798706
Exciton, frame 1375 ran in:  14.143686294555664
Exciton, frame 1376 ran in:  14.053502082824707
Exciton, frame 1377 ran in:  14.03735876083374
Exciton, frame 1378 ran in:  14.103819847106934
Exciton, frame 1379 ran in:  13.918834209442139
Exciton, frame 1380 ran in:  14.17734956741333
Exciton, frame 1381 ran in:  13.78910517692566
Exciton, frame 1382 ran in:  13.967767477035522
Exciton, frame 1383 ran in:  14.085829019546509
Exciton, frame 1384 ran in:  14.256036281585693
Exciton, frame 1385 ran in:  14.013522624969482
Exciton, frame 1386 ran in:  14.289700984954834
Exciton, frame 1387 ran in:  14.100427389144897
Exciton, frame 1388 ran in:  13.830434799194336
Exciton, frame 1389 ran in:  14.200539827346802
Exciton, frame 1390 ran in:  14.269128322601318
Exciton, frame 1391 ran in:  13.994769811630249
Exciton, frame 1392 ran in:  14.198604345321655
Exciton, frame 1393 ran in:  14.201071739196777
Exciton, frame 1394 ran in:  14.016096830368042
Exciton, frame 1395 ran in:  14.233266830444336
Exciton, frame 1396 ran in:  14.061170816421509
Exciton, frame 1397 ran in:  13.87352967262268
Exciton, frame 1398 ran in:  13.931882858276367
Exciton, frame 1399 ran in:  14.138951539993286
Exciton, frame 1400 ran in:  14.149135828018188
Exciton, frame 1401 ran in:  14.05783462524414
Exciton, frame 1402 ran in:  13.944628715515137
Exciton, frame 1403 ran in:  13.988735675811768
