#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
39.8%	199	-2870809.033562107	299.88058539454113	0.0771
40.0%	200	-2870831.2086872123	299.814858582861	0.0772
40.2%	201	-2871441.2086872123	300.0039555295066	0.0772
40.4%	202	-2871653.2086872123	300.1469902589163	0.0771
40.6%	203	-2871574.2086872123	300.19209367917284	0.0771
40.8%	204	-2871751.2086872123	300.1298515328934	0.0771
41.0%	205	-2872517.2086872123	300.32626065176646	0.0771
41.2%	206	-2873328.2086872123	300.71439186813734	0.0771
41.4%	207	-2873241.2086872123	300.8414871826318	0.0771
41.6%	208	-2872360.2086872123	300.6165561730689	0.0771
41.8%	209	-2871539.2086872123	300.18521413955204	0.0772
42.0%	210	-2871503.2086872123	299.9556566689509	0.0772
42.2%	211	-2872153.2086872123	299.98515001487505	0.0771
42.4%	212	-2872880.2086872123	300.2454128728139	0.0771
42.6%	213	-2873411.2086872123	300.5351038119309	0.0771
42.8%	214	-2873515.2086872123	300.681925200877	0.0771
43.0%	215	-2873175.2086872123	300.69230501384027	0.0771
43.2%	216	-2872548.2086872123	300.50916997426776	0.0771
43.4%	217	-2871713.2086872123	300.1841201401277	0.0771
43.6%	218	-2871367.2086872123	299.8794767189328	0.0772
43.8%	219	-2871660.2086872123	299.8877869187167	0.0771
44.0%	220	-2872109.2086872123	300.16219196121176	0.0771
44.2%	221	-2872396.2086872123	300.2842866540451	0.0771
44.4%	222	-2872519.2086872123	300.34145097406275	0.0771
44.6%	223	-2872642.2086872123	300.4067928942434	0.0771
44.8%	224	-2872825.2086872123	300.36764638561095	0.0771
45.0%	225	-2872787.2086872123	300.50801307734986	0.0771
45.2%	226	-2872523.2086872123	300.4381139804278	0.0771
45.4%	227	-2872075.2086872123	300.28190547687655	0.0772
45.6%	228	-2871743.2086872123	300.13066890998704	0.0771
45.8%	229	-2871715.2086872123	300.22443215369907	0.0771
46.0%	230	-2871818.2086872123	300.1876233278364	0.0771
46.2%	231	-2872077.2086872123	300.2781886384848	0.0771
46.4%	232	-2872256.2086872123	300.47090410044467	0.0771
46.6%	233	-2872089.2086872123	300.5071107849466	0.0772
