cpu-bind=MASK - bp1-compute067, task 4294967295 4294967295 [0]: mask 0x2fdfff2fdfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 48.107932 secs
Exciton, frame 7199 ran in:  12.060858011245728
Exciton, frame 7200 ran in:  12.3542160987854
Exciton, frame 7201 ran in:  11.871902227401733
Exciton, frame 7202 ran in:  11.895699262619019
Exciton, frame 7203 ran in:  11.81192684173584
Exciton, frame 7204 ran in:  12.032320261001587
Exciton, frame 7205 ran in:  12.357318878173828
Exciton, frame 7206 ran in:  12.236998796463013
Exciton, frame 7207 ran in:  11.668954849243164
Exciton, frame 7208 ran in:  11.847603797912598
Exciton, frame 7209 ran in:  12.280069351196289
Exciton, frame 7210 ran in:  12.379008769989014
Exciton, frame 7211 ran in:  11.88856291770935
Exciton, frame 7212 ran in:  12.036576986312866
Exciton, frame 7213 ran in:  11.78513240814209
Exciton, frame 7214 ran in:  11.983153343200684
Exciton, frame 7215 ran in:  11.84581995010376
Exciton, frame 7216 ran in:  12.178494215011597
Exciton, frame 7217 ran in:  12.020253419876099
Exciton, frame 7218 ran in:  11.790266752243042
Exciton, frame 7219 ran in:  12.145580053329468
Exciton, frame 7220 ran in:  11.883719444274902
Exciton, frame 7221 ran in:  12.061306476593018
Exciton, frame 7222 ran in:  11.88105058670044
Exciton, frame 7223 ran in:  12.441594362258911
Exciton, frame 7224 ran in:  11.914765119552612
Exciton, frame 7225 ran in:  11.954972505569458
Exciton, frame 7226 ran in:  12.0066556930542
Exciton, frame 7227 ran in:  11.87524676322937
Exciton, frame 7228 ran in:  11.925228118896484
Exciton, frame 7229 ran in:  11.703121185302734
Exciton, frame 7230 ran in:  11.795485496520996
Exciton, frame 7231 ran in:  11.825092077255249
Exciton, frame 7232 ran in:  11.955863237380981
Exciton, frame 7233 ran in:  12.241032123565674
Exciton, frame 7234 ran in:  11.82418417930603
Exciton, frame 7235 ran in:  11.92806363105774
Exciton, frame 7236 ran in:  12.109093427658081
Exciton, frame 7237 ran in:  12.27732253074646
Exciton, frame 7238 ran in:  11.800162553787231
Exciton, frame 7239 ran in:  11.868611574172974
Exciton, frame 7240 ran in:  11.959375143051147
Exciton, frame 7241 ran in:  12.005568504333496
Exciton, frame 7242 ran in:  11.68534541130066
Exciton, frame 7243 ran in:  11.96137523651123
Exciton, frame 7244 ran in:  12.276706218719482
Exciton, frame 7245 ran in:  11.80856966972351
Exciton, frame 7246 ran in:  12.11189341545105
Exciton, frame 7247 ran in:  11.99671745300293
Exciton, frame 7248 ran in:  12.041203737258911
Exciton, frame 7249 ran in:  11.804196834564209
Exciton, frame 7250 ran in:  11.841578722000122
Exciton, frame 7251 ran in:  12.334810018539429
Exciton, frame 7252 ran in:  12.10161018371582
Exciton, frame 7253 ran in:  12.340449333190918
Exciton, frame 7254 ran in:  11.887480020523071
Exciton, frame 7255 ran in:  12.098494291305542
Exciton, frame 7256 ran in:  12.151535987854004
Exciton, frame 7257 ran in:  12.269380569458008
Exciton, frame 7258 ran in:  12.08707070350647
Exciton, frame 7259 ran in:  12.87313461303711
Exciton, frame 7260 ran in:  12.177335023880005
Exciton, frame 7261 ran in:  11.914956092834473
Exciton, frame 7262 ran in:  11.948583126068115
Exciton, frame 7263 ran in:  12.057582139968872
Exciton, frame 7264 ran in:  12.194904088973999
Exciton, frame 7265 ran in:  11.605104207992554
Exciton, frame 7266 ran in:  11.789766550064087
Exciton, frame 7267 ran in:  12.166672468185425
Exciton, frame 7268 ran in:  12.131771802902222
Exciton, frame 7269 ran in:  11.76613974571228
Exciton, frame 7270 ran in:  11.900966167449951
Exciton, frame 7271 ran in:  12.244460582733154
Exciton, frame 7272 ran in:  12.3547043800354
Exciton, frame 7273 ran in:  12.102445602416992
Exciton, frame 7274 ran in:  12.252741575241089
Exciton, frame 7275 ran in:  11.561034440994263
Exciton, frame 7276 ran in:  12.292845726013184
Exciton, frame 7277 ran in:  11.964777708053589
Exciton, frame 7278 ran in:  12.073332071304321
Exciton, frame 7279 ran in:  11.543142318725586
Exciton, frame 7280 ran in:  12.274583578109741
Exciton, frame 7281 ran in:  11.722132921218872
Exciton, frame 7282 ran in:  11.938645601272583
Exciton, frame 7283 ran in:  11.976322174072266
Exciton, frame 7284 ran in:  12.27158236503601
Exciton, frame 7285 ran in:  12.00118899345398
Exciton, frame 7286 ran in:  11.766761064529419
Exciton, frame 7287 ran in:  12.089293241500854
Exciton, frame 7288 ran in:  12.10520052909851
Exciton, frame 7289 ran in:  11.966252088546753
Exciton, frame 7290 ran in:  11.682941436767578
Exciton, frame 7291 ran in:  12.088985204696655
Exciton, frame 7292 ran in:  11.989242792129517
Exciton, frame 7293 ran in:  11.741097688674927
Exciton, frame 7294 ran in:  11.620049953460693
Exciton, frame 7295 ran in:  12.05622386932373
Exciton, frame 7296 ran in:  11.941418647766113
Exciton, frame 7297 ran in:  12.103682518005371
Exciton, frame 7298 ran in:  11.789227485656738
Exciton, frame 7299 ran in:  11.875535488128662
Exciton, frame 7300 ran in:  11.917836666107178
Exciton, frame 7301 ran in:  11.931272506713867
Exciton, frame 7302 ran in:  11.8876473903656
Exciton, frame 7303 ran in:  12.199880599975586
Exciton, frame 7304 ran in:  11.719562530517578
Exciton, frame 7305 ran in:  12.101470232009888
Exciton, frame 7306 ran in:  11.95660948753357
Exciton, frame 7307 ran in:  11.640193223953247
Exciton, frame 7308 ran in:  12.419519424438477
Exciton, frame 7309 ran in:  11.829345226287842
Exciton, frame 7310 ran in:  11.841525077819824
Exciton, frame 7311 ran in:  11.818385362625122
Exciton, frame 7312 ran in:  12.405092239379883
Exciton, frame 7313 ran in:  11.68021559715271
Exciton, frame 7314 ran in:  12.349797248840332
Exciton, frame 7315 ran in:  11.774401903152466
Exciton, frame 7316 ran in:  12.058738470077515
Exciton, frame 7317 ran in:  11.915690660476685
Exciton, frame 7318 ran in:  12.269790410995483
Exciton, frame 7319 ran in:  12.304106712341309
Exciton, frame 7320 ran in:  11.601738691329956
Exciton, frame 7321 ran in:  12.004008769989014
Exciton, frame 7322 ran in:  11.946501731872559
Exciton, frame 7323 ran in:  12.027724742889404
Exciton, frame 7324 ran in:  11.714271783828735
Exciton, frame 7325 ran in:  12.090543508529663
Exciton, frame 7326 ran in:  12.116400957107544
Exciton, frame 7327 ran in:  12.226556777954102
Exciton, frame 7328 ran in:  12.262807369232178
Exciton, frame 7329 ran in:  11.85553503036499
Exciton, frame 7330 ran in:  11.708172798156738
Exciton, frame 7331 ran in:  11.860353469848633
Exciton, frame 7332 ran in:  11.800134897232056
Exciton, frame 7333 ran in:  12.329431772232056
Exciton, frame 7334 ran in:  11.623478651046753
Exciton, frame 7335 ran in:  12.071941614151001
Exciton, frame 7336 ran in:  11.562504291534424
Exciton, frame 7337 ran in:  11.664409160614014
Exciton, frame 7338 ran in:  11.850641250610352
Exciton, frame 7339 ran in:  11.886955499649048
Exciton, frame 7340 ran in:  12.152958154678345
Exciton, frame 7341 ran in:  12.367716073989868
Exciton, frame 7342 ran in:  11.816040992736816
Exciton, frame 7343 ran in:  12.079344034194946
Exciton, frame 7344 ran in:  12.069864749908447
Exciton, frame 7345 ran in:  11.64901089668274
Exciton, frame 7346 ran in:  11.998976945877075
Exciton, frame 7347 ran in:  11.878795385360718
Exciton, frame 7348 ran in:  11.854644060134888
Exciton, frame 7349 ran in:  12.326724529266357
Exciton, frame 7350 ran in:  11.823991537094116
Exciton, frame 7351 ran in:  11.576181888580322
Exciton, frame 7352 ran in:  11.995533227920532
Exciton, frame 7353 ran in:  12.050930261611938
Exciton, frame 7354 ran in:  11.85681939125061
Exciton, frame 7355 ran in:  11.843974351882935
Exciton, frame 7356 ran in:  11.955509901046753
Exciton, frame 7357 ran in:  12.111298322677612
Exciton, frame 7358 ran in:  11.663200855255127
Exciton, frame 7359 ran in:  11.567498683929443
Exciton, frame 7360 ran in:  11.980642557144165
Exciton, frame 7361 ran in:  12.085676193237305
Exciton, frame 7362 ran in:  11.760477304458618
Exciton, frame 7363 ran in:  12.354718446731567
Exciton, frame 7364 ran in:  11.812380313873291
Exciton, frame 7365 ran in:  12.696289777755737
Exciton, frame 7366 ran in:  12.129853963851929
Exciton, frame 7367 ran in:  11.863251209259033
Exciton, frame 7368 ran in:  11.7370285987854
Exciton, frame 7369 ran in:  11.845094919204712
Exciton, frame 7370 ran in:  11.994933843612671
Exciton, frame 7371 ran in:  12.38214659690857
Exciton, frame 7372 ran in:  12.1131911277771
Exciton, frame 7373 ran in:  11.523741006851196
Exciton, frame 7374 ran in:  11.935543775558472
Exciton, frame 7375 ran in:  12.053863763809204
Exciton, frame 7376 ran in:  11.766125917434692
Exciton, frame 7377 ran in:  12.511673927307129
Exciton, frame 7378 ran in:  11.703096628189087
Exciton, frame 7379 ran in:  11.930744409561157
Exciton, frame 7380 ran in:  11.797391891479492
Exciton, frame 7381 ran in:  11.405700445175171
Exciton, frame 7382 ran in:  11.990318298339844
Exciton, frame 7383 ran in:  11.312323331832886
Exciton, frame 7384 ran in:  11.821571111679077
Exciton, frame 7385 ran in:  11.90195894241333
Exciton, frame 7386 ran in:  12.137032508850098
Exciton, frame 7387 ran in:  11.842652797698975
Exciton, frame 7388 ran in:  11.696437120437622
Exciton, frame 7389 ran in:  11.967062711715698
Exciton, frame 7390 ran in:  11.78297472000122
Exciton, frame 7391 ran in:  11.80188775062561
Exciton, frame 7392 ran in:  12.139900922775269
Exciton, frame 7393 ran in:  12.218191146850586
Exciton, frame 7394 ran in:  11.881035327911377
Exciton, frame 7395 ran in:  11.491530656814575
Exciton, frame 7396 ran in:  11.9342360496521
Exciton, frame 7397 ran in:  12.13616681098938
Exciton, frame 7398 ran in:  11.666732549667358
Exciton, frame 7399 ran in:  11.61216926574707
Exciton, frame 7400 ran in:  11.821304321289062
Exciton, frame 7401 ran in:  12.24869155883789
Exciton, frame 7402 ran in:  11.691993951797485
Exciton, frame 7403 ran in:  12.0265052318573
Exciton, frame 7404 ran in:  11.932816505432129
Exciton, frame 7405 ran in:  12.002564668655396
Exciton, frame 7406 ran in:  11.580374717712402
Exciton, frame 7407 ran in:  11.85699462890625
Exciton, frame 7408 ran in:  12.468692064285278
Exciton, frame 7409 ran in:  11.924142122268677
Exciton, frame 7410 ran in:  11.783759593963623
Exciton, frame 7411 ran in:  11.781766653060913
Exciton, frame 7412 ran in:  11.82567548751831
Exciton, frame 7413 ran in:  12.416173696517944
Exciton, frame 7414 ran in:  11.527783632278442
Exciton, frame 7415 ran in:  12.18006157875061
Exciton, frame 7416 ran in:  12.026113033294678
Exciton, frame 7417 ran in:  12.1089506149292
Exciton, frame 7418 ran in:  11.756302833557129
Exciton, frame 7419 ran in:  11.79300832748413
Exciton, frame 7420 ran in:  11.927776575088501
Exciton, frame 7421 ran in:  12.301644563674927
Exciton, frame 7422 ran in:  11.673495531082153
Exciton, frame 7423 ran in:  11.86145305633545
Exciton, frame 7424 ran in:  11.758963346481323
Exciton, frame 7425 ran in:  11.7390878200531
Exciton, frame 7426 ran in:  12.19960331916809
Exciton, frame 7427 ran in:  12.137355089187622
Exciton, frame 7428 ran in:  11.912826299667358
Exciton, frame 7429 ran in:  12.574887037277222
Exciton, frame 7430 ran in:  12.007251739501953
Exciton, frame 7431 ran in:  11.836074590682983
Exciton, frame 7432 ran in:  11.695566415786743
Exciton, frame 7433 ran in:  11.715564489364624
Exciton, frame 7434 ran in:  11.786473274230957
Exciton, frame 7435 ran in:  12.097053289413452
Exciton, frame 7436 ran in:  11.614556312561035
Exciton, frame 7437 ran in:  11.959081411361694
Exciton, frame 7438 ran in:  12.108933448791504
Exciton, frame 7439 ran in:  11.951165676116943
Exciton, frame 7440 ran in:  11.824005365371704
Exciton, frame 7441 ran in:  11.752948522567749
Exciton, frame 7442 ran in:  11.91603136062622
Exciton, frame 7443 ran in:  11.930542469024658
Exciton, frame 7444 ran in:  12.389983415603638
Exciton, frame 7445 ran in:  11.822957754135132
Exciton, frame 7446 ran in:  11.617105722427368
Exciton, frame 7447 ran in:  12.142757654190063
Exciton, frame 7448 ran in:  12.312597513198853
Exciton, frame 7449 ran in:  12.05900502204895
Exciton, frame 7450 ran in:  12.21788501739502
Exciton, frame 7451 ran in:  11.908748865127563
Exciton, frame 7452 ran in:  11.909096717834473
Exciton, frame 7453 ran in:  12.251362323760986
Exciton, frame 7454 ran in:  12.204606056213379
Exciton, frame 7455 ran in:  12.114965200424194
Exciton, frame 7456 ran in:  11.957409381866455
Exciton, frame 7457 ran in:  11.896514654159546
Exciton, frame 7458 ran in:  11.91239070892334
Exciton, frame 7459 ran in:  12.303431272506714
Exciton, frame 7460 ran in:  12.031522035598755
Exciton, frame 7461 ran in:  11.902697563171387
Exciton, frame 7462 ran in:  12.022063493728638
Exciton, frame 7463 ran in:  11.900233507156372
Exciton, frame 7464 ran in:  11.688327550888062
Exciton, frame 7465 ran in:  12.052125215530396
Exciton, frame 7466 ran in:  12.127153873443604
Exciton, frame 7467 ran in:  11.923000812530518
Exciton, frame 7468 ran in:  11.982455492019653
Exciton, frame 7469 ran in:  12.116559743881226
Exciton, frame 7470 ran in:  12.028944492340088
Exciton, frame 7471 ran in:  11.933829069137573
Exciton, frame 7472 ran in:  12.033274173736572
Exciton, frame 7473 ran in:  11.848252534866333
Exciton, frame 7474 ran in:  12.802391767501831
Exciton, frame 7475 ran in:  12.030764102935791
Exciton, frame 7476 ran in:  11.607024431228638
Exciton, frame 7477 ran in:  12.174291849136353
Exciton, frame 7478 ran in:  11.860366344451904
Exciton, frame 7479 ran in:  11.994576454162598
Exciton, frame 7480 ran in:  12.231971740722656
Exciton, frame 7481 ran in:  11.85692548751831
Exciton, frame 7482 ran in:  12.056490182876587
Exciton, frame 7483 ran in:  11.833160877227783
Exciton, frame 7484 ran in:  12.128855228424072
Exciton, frame 7485 ran in:  11.524959087371826
Exciton, frame 7486 ran in:  12.11701774597168
Exciton, frame 7487 ran in:  12.194852828979492
Exciton, frame 7488 ran in:  12.295902729034424
Exciton, frame 7489 ran in:  11.812129497528076
Exciton, frame 7490 ran in:  11.835129022598267
Exciton, frame 7491 ran in:  11.856594800949097
Exciton, frame 7492 ran in:  11.556933641433716
Exciton, frame 7493 ran in:  11.757524251937866
Exciton, frame 7494 ran in:  12.087457656860352
Exciton, frame 7495 ran in:  12.233593463897705
Exciton, frame 7496 ran in:  11.961148023605347
Exciton, frame 7497 ran in:  12.222713708877563
Exciton, frame 7498 ran in:  11.823098182678223
Exciton, frame 7499 ran in:  12.181739568710327
Exciton, frame 7500 ran in:  11.949301481246948
Exciton, frame 7501 ran in:  12.03862476348877
Exciton, frame 7502 ran in:  12.030542373657227
Exciton, frame 7503 ran in:  11.781117677688599
Exciton, frame 7504 ran in:  12.125246286392212
Exciton, frame 7505 ran in:  12.105400323867798
Exciton, frame 7506 ran in:  12.016093969345093
Exciton, frame 7507 ran in:  12.124540567398071
Exciton, frame 7508 ran in:  11.96229076385498
Exciton, frame 7509 ran in:  12.055435419082642
Exciton, frame 7510 ran in:  11.916411638259888
Exciton, frame 7511 ran in:  11.688753604888916
Exciton, frame 7512 ran in:  12.219787359237671
Exciton, frame 7513 ran in:  11.788929462432861
Exciton, frame 7514 ran in:  11.982285022735596
Exciton, frame 7515 ran in:  11.992146968841553
Exciton, frame 7516 ran in:  11.950435638427734
Exciton, frame 7517 ran in:  11.793847799301147
Exciton, frame 7518 ran in:  11.75877833366394
Exciton, frame 7519 ran in:  11.833893299102783
Exciton, frame 7520 ran in:  12.147313833236694
Exciton, frame 7521 ran in:  11.75185513496399
Exciton, frame 7522 ran in:  11.904000997543335
Exciton, frame 7523 ran in:  11.937324285507202
Exciton, frame 7524 ran in:  12.045474290847778
Exciton, frame 7525 ran in:  11.913974046707153
Exciton, frame 7526 ran in:  11.989632368087769
Exciton, frame 7527 ran in:  11.751841306686401
Exciton, frame 7528 ran in:  12.00870156288147
Exciton, frame 7529 ran in:  12.046725749969482
Exciton, frame 7530 ran in:  12.08629298210144
Exciton, frame 7531 ran in:  12.576821565628052
Exciton, frame 7532 ran in:  11.89460277557373
Exciton, frame 7533 ran in:  11.655701398849487
Exciton, frame 7534 ran in:  11.74843454360962
Exciton, frame 7535 ran in:  11.524158000946045
Exciton, frame 7536 ran in:  11.817672729492188
Exciton, frame 7537 ran in:  11.767651796340942
Exciton, frame 7538 ran in:  12.286770105361938
Exciton, frame 7539 ran in:  11.802296161651611
Exciton, frame 7540 ran in:  11.676457643508911
Exciton, frame 7541 ran in:  12.128246784210205
Exciton, frame 7542 ran in:  11.548911333084106
Exciton, frame 7543 ran in:  11.621165037155151
Exciton, frame 7544 ran in:  12.297607421875
Exciton, frame 7545 ran in:  11.840230464935303
Exciton, frame 7546 ran in:  11.950710773468018
Exciton, frame 7547 ran in:  11.615541934967041
Exciton, frame 7548 ran in:  12.020787715911865
Exciton, frame 7549 ran in:  12.031844854354858
Exciton, frame 7550 ran in:  11.520549535751343
Exciton, frame 7551 ran in:  12.044112205505371
Exciton, frame 7552 ran in:  11.835750579833984
Exciton, frame 7553 ran in:  11.729291915893555
Exciton, frame 7554 ran in:  12.0685875415802
Exciton, frame 7555 ran in:  11.837023496627808
Exciton, frame 7556 ran in:  12.07091999053955
Exciton, frame 7557 ran in:  12.033459424972534
Exciton, frame 7558 ran in:  11.638564348220825
Exciton, frame 7559 ran in:  12.164493083953857
Exciton, frame 7560 ran in:  11.875211954116821
Exciton, frame 7561 ran in:  12.002228498458862
Exciton, frame 7562 ran in:  12.351568937301636
Exciton, frame 7563 ran in:  12.111534595489502
Exciton, frame 7564 ran in:  12.390937566757202
Exciton, frame 7565 ran in:  12.019324779510498
Exciton, frame 7566 ran in:  11.735215187072754
Exciton, frame 7567 ran in:  12.039095640182495
Exciton, frame 7568 ran in:  11.933490753173828
Exciton, frame 7569 ran in:  12.151916742324829
