cpu-bind=MASK - bp1-compute117, task 4294967295 4294967295 [0]: mask 0x3f6fff3f6fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 31.458374 secs
Exciton, frame 3268 ran in:  11.990369319915771
Exciton, frame 3269 ran in:  11.679165124893188
Exciton, frame 3270 ran in:  11.776082754135132
Exciton, frame 3271 ran in:  11.457131624221802
Exciton, frame 3272 ran in:  11.781576871871948
Exciton, frame 3273 ran in:  11.724724054336548
Exciton, frame 3274 ran in:  11.898421049118042
Exciton, frame 3275 ran in:  12.022893190383911
Exciton, frame 3276 ran in:  11.931787490844727
Exciton, frame 3277 ran in:  12.062787532806396
Exciton, frame 3278 ran in:  11.585219860076904
Exciton, frame 3279 ran in:  11.608031511306763
Exciton, frame 3280 ran in:  11.635080337524414
Exciton, frame 3281 ran in:  11.705880880355835
Exciton, frame 3282 ran in:  12.025023221969604
Exciton, frame 3283 ran in:  11.948984861373901
Exciton, frame 3284 ran in:  11.679130554199219
Exciton, frame 3285 ran in:  11.61730432510376
Exciton, frame 3286 ran in:  11.682646989822388
Exciton, frame 3287 ran in:  11.832114934921265
Exciton, frame 3288 ran in:  11.79416561126709
Exciton, frame 3289 ran in:  11.78548264503479
Exciton, frame 3290 ran in:  11.723434209823608
Exciton, frame 3291 ran in:  11.97837781906128
Exciton, frame 3292 ran in:  12.32347059249878
Exciton, frame 3293 ran in:  12.050112009048462
Exciton, frame 3294 ran in:  11.639883041381836
Exciton, frame 3295 ran in:  11.599005460739136
Exciton, frame 3296 ran in:  11.686316728591919
Exciton, frame 3297 ran in:  11.9811692237854
Exciton, frame 3298 ran in:  11.749678373336792
Exciton, frame 3299 ran in:  11.845592498779297
Exciton, frame 3300 ran in:  11.76591968536377
Exciton, frame 3301 ran in:  12.20432710647583
Exciton, frame 3302 ran in:  11.745117664337158
Exciton, frame 3303 ran in:  11.831203937530518
Exciton, frame 3304 ran in:  11.843556642532349
Exciton, frame 3305 ran in:  11.664319276809692
Exciton, frame 3306 ran in:  11.52305555343628
Exciton, frame 3307 ran in:  11.749518394470215
Exciton, frame 3308 ran in:  11.839251041412354
Exciton, frame 3309 ran in:  11.567986726760864
Exciton, frame 3310 ran in:  11.772825002670288
Exciton, frame 3311 ran in:  11.698642492294312
Exciton, frame 3312 ran in:  11.774683952331543
Exciton, frame 3313 ran in:  11.688570261001587
Exciton, frame 3314 ran in:  11.817591667175293
Exciton, frame 3315 ran in:  11.85946249961853
Exciton, frame 3316 ran in:  11.625279664993286
Exciton, frame 3317 ran in:  11.403324127197266
Exciton, frame 3318 ran in:  11.831785917282104
Exciton, frame 3319 ran in:  11.696982860565186
Exciton, frame 3320 ran in:  11.626129865646362
Exciton, frame 3321 ran in:  12.115010738372803
Exciton, frame 3322 ran in:  11.963542938232422
Exciton, frame 3323 ran in:  11.794039011001587
Exciton, frame 3324 ran in:  11.65439748764038
Exciton, frame 3325 ran in:  11.762692928314209
Exciton, frame 3326 ran in:  11.747864961624146
Exciton, frame 3327 ran in:  11.896176815032959
Exciton, frame 3328 ran in:  11.68203067779541
Exciton, frame 3329 ran in:  11.914705753326416
Exciton, frame 3330 ran in:  12.295962810516357
Exciton, frame 3331 ran in:  12.09741997718811
Exciton, frame 3332 ran in:  11.893263816833496
Exciton, frame 3333 ran in:  11.787431478500366
Exciton, frame 3334 ran in:  11.783994436264038
Exciton, frame 3335 ran in:  11.842469930648804
Exciton, frame 3336 ran in:  11.901974201202393
Exciton, frame 3337 ran in:  11.719151258468628
Exciton, frame 3338 ran in:  12.104133129119873
Exciton, frame 3339 ran in:  12.093866109848022
Exciton, frame 3340 ran in:  11.740267276763916
Exciton, frame 3341 ran in:  11.692376136779785
Exciton, frame 3342 ran in:  12.067992210388184
Exciton, frame 3343 ran in:  11.502554655075073
Exciton, frame 3344 ran in:  11.737774133682251
Exciton, frame 3345 ran in:  11.857345819473267
Exciton, frame 3346 ran in:  11.86094069480896
Exciton, frame 3347 ran in:  11.712478637695312
Exciton, frame 3348 ran in:  12.004226207733154
Exciton, frame 3349 ran in:  11.931910753250122
Exciton, frame 3350 ran in:  12.012706756591797
Exciton, frame 3351 ran in:  11.943950653076172
Exciton, frame 3352 ran in:  12.049678325653076
Exciton, frame 3353 ran in:  12.199932336807251
Exciton, frame 3354 ran in:  11.75889277458191
Exciton, frame 3355 ran in:  11.770041465759277
Exciton, frame 3356 ran in:  11.752377033233643
Exciton, frame 3357 ran in:  11.722030401229858
Exciton, frame 3358 ran in:  11.720345497131348
Exciton, frame 3359 ran in:  12.252301216125488
Exciton, frame 3360 ran in:  11.580939292907715
