cpu-bind=MASK - bp1-compute068, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.513663 secs
Exciton, frame 1308 ran in:  12.072613716125488
Exciton, frame 1309 ran in:  12.360365867614746
Exciton, frame 1310 ran in:  12.00849723815918
Exciton, frame 1311 ran in:  11.685773611068726
Exciton, frame 1312 ran in:  11.939852476119995
Exciton, frame 1313 ran in:  11.95313048362732
Exciton, frame 1314 ran in:  11.960883617401123
Exciton, frame 1315 ran in:  12.02894926071167
Exciton, frame 1316 ran in:  12.384252309799194
Exciton, frame 1317 ran in:  12.06961989402771
Exciton, frame 1318 ran in:  12.12003779411316
Exciton, frame 1319 ran in:  11.964874982833862
Exciton, frame 1320 ran in:  12.180694818496704
Exciton, frame 1321 ran in:  12.105871677398682
Exciton, frame 1322 ran in:  11.924664735794067
Exciton, frame 1323 ran in:  11.85175108909607
Exciton, frame 1324 ran in:  12.16524338722229
Exciton, frame 1325 ran in:  12.097535371780396
Exciton, frame 1326 ran in:  12.024805545806885
Exciton, frame 1327 ran in:  12.652307748794556
Exciton, frame 1328 ran in:  12.362621307373047
Exciton, frame 1329 ran in:  12.414238452911377
Exciton, frame 1330 ran in:  12.641946077346802
Exciton, frame 1331 ran in:  12.033850908279419
Exciton, frame 1332 ran in:  12.389901399612427
Exciton, frame 1333 ran in:  12.293127298355103
Exciton, frame 1334 ran in:  12.02918553352356
Exciton, frame 1335 ran in:  12.468915224075317
Exciton, frame 1336 ran in:  12.114482641220093
Exciton, frame 1337 ran in:  12.121227979660034
Exciton, frame 1338 ran in:  12.179365873336792
Exciton, frame 1339 ran in:  12.777997970581055
Exciton, frame 1340 ran in:  12.376466751098633
Exciton, frame 1341 ran in:  12.546470642089844
Exciton, frame 1342 ran in:  11.982316970825195
Exciton, frame 1343 ran in:  12.686858892440796
Exciton, frame 1344 ran in:  12.171927213668823
Exciton, frame 1345 ran in:  12.052928447723389
Exciton, frame 1346 ran in:  13.00865888595581
Exciton, frame 1347 ran in:  12.050359725952148
Exciton, frame 1348 ran in:  12.295133590698242
Exciton, frame 1349 ran in:  12.123706102371216
Exciton, frame 1350 ran in:  12.096943855285645
Exciton, frame 1351 ran in:  12.00386357307434
Exciton, frame 1352 ran in:  12.174998044967651
Exciton, frame 1353 ran in:  12.17072343826294
Exciton, frame 1354 ran in:  12.240339040756226
Exciton, frame 1355 ran in:  11.984727382659912
Exciton, frame 1356 ran in:  12.228746175765991
Exciton, frame 1357 ran in:  12.179847478866577
Exciton, frame 1358 ran in:  11.974568367004395
Exciton, frame 1359 ran in:  12.662809610366821
Exciton, frame 1360 ran in:  12.43828010559082
Exciton, frame 1361 ran in:  12.101852416992188
Exciton, frame 1362 ran in:  12.10519289970398
Exciton, frame 1363 ran in:  12.379016876220703
Exciton, frame 1364 ran in:  12.14289927482605
Exciton, frame 1365 ran in:  12.226971626281738
Exciton, frame 1366 ran in:  12.272452116012573
Exciton, frame 1367 ran in:  12.065474510192871
Exciton, frame 1368 ran in:  12.148078441619873
Exciton, frame 1369 ran in:  11.847130060195923
Exciton, frame 1370 ran in:  12.523264646530151
Exciton, frame 1371 ran in:  12.123723268508911
Exciton, frame 1372 ran in:  12.457998275756836
Exciton, frame 1373 ran in:  12.304917573928833
Exciton, frame 1374 ran in:  12.461003303527832
Exciton, frame 1375 ran in:  12.129801273345947
Exciton, frame 1376 ran in:  12.293157815933228
Exciton, frame 1377 ran in:  12.324658870697021
Exciton, frame 1378 ran in:  12.27274775505066
Exciton, frame 1379 ran in:  12.225336074829102
Exciton, frame 1380 ran in:  12.32662558555603
Exciton, frame 1381 ran in:  12.037042140960693
Exciton, frame 1382 ran in:  12.299604177474976
Exciton, frame 1383 ran in:  12.279182434082031
Exciton, frame 1384 ran in:  12.263460874557495
Exciton, frame 1385 ran in:  12.38563346862793
Exciton, frame 1386 ran in:  12.503977537155151
Exciton, frame 1387 ran in:  12.069247007369995
Exciton, frame 1388 ran in:  12.242725849151611
Exciton, frame 1389 ran in:  12.595415592193604
Exciton, frame 1390 ran in:  12.264353275299072
Exciton, frame 1391 ran in:  12.020280599594116
Exciton, frame 1392 ran in:  12.278509616851807
Exciton, frame 1393 ran in:  12.264255046844482
Exciton, frame 1394 ran in:  12.244935274124146
Exciton, frame 1395 ran in:  12.418022632598877
Exciton, frame 1396 ran in:  12.265198945999146
Exciton, frame 1397 ran in:  12.71516489982605
Exciton, frame 1398 ran in:  12.196245193481445
Exciton, frame 1399 ran in:  12.63062047958374
Exciton, frame 1400 ran in:  12.478797674179077
Exciton, frame 1401 ran in:  11.905509948730469
Exciton, frame 1402 ran in:  12.251274347305298
Exciton, frame 1403 ran in:  12.4071204662323
Exciton, frame 1404 ran in:  11.896779298782349
Exciton, frame 1405 ran in:  12.013600826263428
Exciton, frame 1406 ran in:  12.397562026977539
Exciton, frame 1407 ran in:  12.1614089012146
Exciton, frame 1408 ran in:  12.599852800369263
Exciton, frame 1409 ran in:  12.15081262588501
Exciton, frame 1410 ran in:  12.302318572998047
Exciton, frame 1411 ran in:  12.430505990982056
Exciton, frame 1412 ran in:  12.332603216171265
Exciton, frame 1413 ran in:  12.48666787147522
Exciton, frame 1414 ran in:  12.333527565002441
Exciton, frame 1415 ran in:  12.170015096664429
Exciton, frame 1416 ran in:  12.346237659454346
Exciton, frame 1417 ran in:  12.07309627532959
Exciton, frame 1418 ran in:  12.288280248641968
Exciton, frame 1419 ran in:  12.372984647750854
Exciton, frame 1420 ran in:  11.816692590713501
Exciton, frame 1421 ran in:  12.312718152999878
Exciton, frame 1422 ran in:  12.261539697647095
Exciton, frame 1423 ran in:  12.181274175643921
Exciton, frame 1424 ran in:  12.54109263420105
Exciton, frame 1425 ran in:  12.131706714630127
Exciton, frame 1426 ran in:  12.400230646133423
Exciton, frame 1427 ran in:  12.103962182998657
Exciton, frame 1428 ran in:  12.111445903778076
Exciton, frame 1429 ran in:  12.104432106018066
Exciton, frame 1430 ran in:  12.026805639266968
Exciton, frame 1431 ran in:  12.274917364120483
Exciton, frame 1432 ran in:  11.959547996520996
Exciton, frame 1433 ran in:  12.344592809677124
Exciton, frame 1434 ran in:  12.474085092544556
Exciton, frame 1435 ran in:  12.170288324356079
Exciton, frame 1436 ran in:  12.734293222427368
Exciton, frame 1437 ran in:  12.003046989440918
Exciton, frame 1438 ran in:  12.205569505691528
Exciton, frame 1439 ran in:  12.14713454246521
Exciton, frame 1440 ran in:  12.167525053024292
Exciton, frame 1441 ran in:  12.13417649269104
Exciton, frame 1442 ran in:  11.935073614120483
Exciton, frame 1443 ran in:  12.350454092025757
Exciton, frame 1444 ran in:  12.518230199813843
Exciton, frame 1445 ran in:  12.589663028717041
Exciton, frame 1446 ran in:  12.014694213867188
Exciton, frame 1447 ran in:  12.063981771469116
Exciton, frame 1448 ran in:  12.060619831085205
