cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 43.442608 secs
Exciton, frame 8175 ran in:  12.919327974319458
Exciton, frame 8176 ran in:  12.823512315750122
Exciton, frame 8177 ran in:  12.583289861679077
Exciton, frame 8178 ran in:  12.460927248001099
Exciton, frame 8179 ran in:  12.620102405548096
Exciton, frame 8180 ran in:  12.788914442062378
Exciton, frame 8181 ran in:  12.653890609741211
Exciton, frame 8182 ran in:  12.954050779342651
Exciton, frame 8183 ran in:  14.316431283950806
Exciton, frame 8184 ran in:  12.252667903900146
Exciton, frame 8185 ran in:  12.75972843170166
Exciton, frame 8186 ran in:  12.318464040756226
Exciton, frame 8187 ran in:  12.806069374084473
Exciton, frame 8188 ran in:  12.649566173553467
Exciton, frame 8189 ran in:  12.136206865310669
Exciton, frame 8190 ran in:  12.539434432983398
Exciton, frame 8191 ran in:  12.328675746917725
Exciton, frame 8192 ran in:  12.26561975479126
Exciton, frame 8193 ran in:  13.099788665771484
Exciton, frame 8194 ran in:  13.449483633041382
Exciton, frame 8195 ran in:  12.545025825500488
Exciton, frame 8196 ran in:  12.876556158065796
Exciton, frame 8197 ran in:  12.81906795501709
Exciton, frame 8198 ran in:  12.864812135696411
Exciton, frame 8199 ran in:  12.775609493255615
Exciton, frame 8200 ran in:  12.128460168838501
Exciton, frame 8201 ran in:  12.715229034423828
Exciton, frame 8202 ran in:  12.544744968414307
Exciton, frame 8203 ran in:  12.99906587600708
Exciton, frame 8204 ran in:  12.445903539657593
Exciton, frame 8205 ran in:  12.219084024429321
Exciton, frame 8206 ran in:  12.35960602760315
Exciton, frame 8207 ran in:  12.639005899429321
Exciton, frame 8208 ran in:  12.541385412216187
Exciton, frame 8209 ran in:  12.631521701812744
Exciton, frame 8210 ran in:  13.016313552856445
Exciton, frame 8211 ran in:  12.516530513763428
Exciton, frame 8212 ran in:  12.977686643600464
Exciton, frame 8213 ran in:  13.586032629013062
Exciton, frame 8214 ran in:  12.574613571166992
Exciton, frame 8215 ran in:  12.663528442382812
Exciton, frame 8216 ran in:  13.35919713973999
Exciton, frame 8217 ran in:  13.053049325942993
Exciton, frame 8218 ran in:  12.71216893196106
Exciton, frame 8219 ran in:  12.666699409484863
Exciton, frame 8220 ran in:  12.589824914932251
Exciton, frame 8221 ran in:  12.76629090309143
Exciton, frame 8222 ran in:  12.69322943687439
Exciton, frame 8223 ran in:  12.38759160041809
Exciton, frame 8224 ran in:  12.771258354187012
Exciton, frame 8225 ran in:  14.40907883644104
Exciton, frame 8226 ran in:  12.546485900878906
Exciton, frame 8227 ran in:  12.78357458114624
Exciton, frame 8228 ran in:  14.13853144645691
Exciton, frame 8229 ran in:  12.626685857772827
Exciton, frame 8230 ran in:  12.212831020355225
Exciton, frame 8231 ran in:  12.718301057815552
Exciton, frame 8232 ran in:  12.752677202224731
Exciton, frame 8233 ran in:  12.596256732940674
Exciton, frame 8234 ran in:  12.523265361785889
Exciton, frame 8235 ran in:  13.132692098617554
Exciton, frame 8236 ran in:  12.425380945205688
Exciton, frame 8237 ran in:  13.225722074508667
Exciton, frame 8238 ran in:  12.754605054855347
Exciton, frame 8239 ran in:  12.555568218231201
Exciton, frame 8240 ran in:  12.801697015762329
Exciton, frame 8241 ran in:  12.54356861114502
Exciton, frame 8242 ran in:  12.768879652023315
Exciton, frame 8243 ran in:  13.032719850540161
Exciton, frame 8244 ran in:  12.86144495010376
Exciton, frame 8245 ran in:  12.945658683776855
Exciton, frame 8246 ran in:  12.718068599700928
Exciton, frame 8247 ran in:  12.782064437866211
Exciton, frame 8248 ran in:  13.577023983001709
Exciton, frame 8249 ran in:  12.764066934585571
Exciton, frame 8250 ran in:  12.37870454788208
Exciton, frame 8251 ran in:  13.180017471313477
Exciton, frame 8252 ran in:  12.623139381408691
Exciton, frame 8253 ran in:  12.88368034362793
Exciton, frame 8254 ran in:  12.787802457809448
Exciton, frame 8255 ran in:  13.446638822555542
Exciton, frame 8256 ran in:  12.460848808288574
Exciton, frame 8257 ran in:  14.421664953231812
Exciton, frame 8258 ran in:  12.631553411483765
Exciton, frame 8259 ran in:  12.757648229598999
Exciton, frame 8260 ran in:  12.815206289291382
Exciton, frame 8261 ran in:  12.598177909851074
Exciton, frame 8262 ran in:  12.800531148910522
Exciton, frame 8263 ran in:  12.463978290557861
Exciton, frame 8264 ran in:  14.040141820907593
Exciton, frame 8265 ran in:  14.327235221862793
Exciton, frame 8266 ran in:  12.838006973266602
Exciton, frame 8267 ran in:  13.177464485168457
Exciton, frame 8268 ran in:  12.912755489349365
Exciton, frame 8269 ran in:  13.229195833206177
Exciton, frame 8270 ran in:  12.540198564529419
Exciton, frame 8271 ran in:  12.757226705551147
Exciton, frame 8272 ran in:  12.647993087768555
Exciton, frame 8273 ran in:  12.652804851531982
Exciton, frame 8274 ran in:  12.564112901687622
Exciton, frame 8275 ran in:  12.664047479629517
Exciton, frame 8276 ran in:  12.357526540756226
Exciton, frame 8277 ran in:  12.791155576705933
Exciton, frame 8278 ran in:  12.91660451889038
Exciton, frame 8279 ran in:  12.256846189498901
Exciton, frame 8280 ran in:  12.814071416854858
Exciton, frame 8281 ran in:  12.7114417552948
Exciton, frame 8282 ran in:  12.528635025024414
Exciton, frame 8283 ran in:  13.231144666671753
Exciton, frame 8284 ran in:  12.683100700378418
Exciton, frame 8285 ran in:  12.835884094238281
Exciton, frame 8286 ran in:  13.120776414871216
Exciton, frame 8287 ran in:  13.441192150115967
Exciton, frame 8288 ran in:  12.560001611709595
Exciton, frame 8289 ran in:  12.415573358535767
Exciton, frame 8290 ran in:  13.386730194091797
Exciton, frame 8291 ran in:  12.76528263092041
Exciton, frame 8292 ran in:  12.582831859588623
Exciton, frame 8293 ran in:  12.55122184753418
Exciton, frame 8294 ran in:  12.638378143310547
Exciton, frame 8295 ran in:  13.37924337387085
Exciton, frame 8296 ran in:  12.719774723052979
Exciton, frame 8297 ran in:  12.300212144851685
Exciton, frame 8298 ran in:  13.726524353027344
Exciton, frame 8299 ran in:  12.847955703735352
Exciton, frame 8300 ran in:  12.776849269866943
Exciton, frame 8301 ran in:  14.30650782585144
Exciton, frame 8302 ran in:  12.583670616149902
Exciton, frame 8303 ran in:  12.412904024124146
Exciton, frame 8304 ran in:  12.699986934661865
Exciton, frame 8305 ran in:  12.895891189575195
Exciton, frame 8306 ran in:  12.785841226577759
Exciton, frame 8307 ran in:  13.846336364746094
Exciton, frame 8308 ran in:  12.82968521118164
Exciton, frame 8309 ran in:  12.75050687789917
Exciton, frame 8310 ran in:  12.700602769851685
Exciton, frame 8311 ran in:  14.284185647964478
Exciton, frame 8312 ran in:  12.695927381515503
Exciton, frame 8313 ran in:  12.701425313949585
Exciton, frame 8314 ran in:  12.652559280395508
Exciton, frame 8315 ran in:  12.760197162628174
Exciton, frame 8316 ran in:  12.412871837615967
Exciton, frame 8317 ran in:  12.785946369171143
Exciton, frame 8318 ran in:  13.416733741760254
Exciton, frame 8319 ran in:  12.801494121551514
Exciton, frame 8320 ran in:  13.211279392242432
Exciton, frame 8321 ran in:  12.731016397476196
Exciton, frame 8322 ran in:  12.5806405544281
Exciton, frame 8323 ran in:  12.895150184631348
Exciton, frame 8324 ran in:  12.932366371154785
Exciton, frame 8325 ran in:  12.707247257232666
Exciton, frame 8326 ran in:  13.285350561141968
Exciton, frame 8327 ran in:  12.509259462356567
Exciton, frame 8328 ran in:  12.528827905654907
Exciton, frame 8329 ran in:  12.854429244995117
Exciton, frame 8330 ran in:  13.051078796386719
Exciton, frame 8331 ran in:  12.71139907836914
Exciton, frame 8332 ran in:  12.424331665039062
Exciton, frame 8333 ran in:  12.205928087234497
Exciton, frame 8334 ran in:  12.867590427398682
Exciton, frame 8335 ran in:  12.787195444107056
Exciton, frame 8336 ran in:  12.201173782348633
Exciton, frame 8337 ran in:  14.093610763549805
Exciton, frame 8338 ran in:  12.710067749023438
Exciton, frame 8339 ran in:  13.643448114395142
Exciton, frame 8340 ran in:  13.684386968612671
Exciton, frame 8341 ran in:  13.644192934036255
Exciton, frame 8342 ran in:  12.762590885162354
Exciton, frame 8343 ran in:  12.940992593765259
Exciton, frame 8344 ran in:  12.552999258041382
Exciton, frame 8345 ran in:  14.000677824020386
Exciton, frame 8346 ran in:  12.296627521514893
Exciton, frame 8347 ran in:  12.403631925582886
Exciton, frame 8348 ran in:  12.915351867675781
Exciton, frame 8349 ran in:  12.705731868743896
Exciton, frame 8350 ran in:  13.152335405349731
Exciton, frame 8351 ran in:  12.724964618682861
Exciton, frame 8352 ran in:  12.651240825653076
Exciton, frame 8353 ran in:  12.477428674697876
Exciton, frame 8354 ran in:  12.423007488250732
Exciton, frame 8355 ran in:  12.861162185668945
Exciton, frame 8356 ran in:  12.72036361694336
Exciton, frame 8357 ran in:  12.854243516921997
Exciton, frame 8358 ran in:  13.06899380683899
Exciton, frame 8359 ran in:  12.962900876998901
Exciton, frame 8360 ran in:  12.802853345870972
Exciton, frame 8361 ran in:  12.319137573242188
Exciton, frame 8362 ran in:  13.16499400138855
Exciton, frame 8363 ran in:  14.036523342132568
Exciton, frame 8364 ran in:  13.013892412185669
Exciton, frame 8365 ran in:  12.57570767402649
Exciton, frame 8366 ran in:  14.499880313873291
Exciton, frame 8367 ran in:  12.564013719558716
Exciton, frame 8368 ran in:  12.791845083236694
Exciton, frame 8369 ran in:  12.721274137496948
Exciton, frame 8370 ran in:  12.486134052276611
Exciton, frame 8371 ran in:  12.634126901626587
Exciton, frame 8372 ran in:  13.95346999168396
Exciton, frame 8373 ran in:  12.701545238494873
Exciton, frame 8374 ran in:  12.690449476242065
Exciton, frame 8375 ran in:  14.479461669921875
Exciton, frame 8376 ran in:  13.808911323547363
Exciton, frame 8377 ran in:  13.638291358947754
Exciton, frame 8378 ran in:  12.78029751777649
Exciton, frame 8379 ran in:  13.960011005401611
Exciton, frame 8380 ran in:  14.28156590461731
Exciton, frame 8381 ran in:  12.741176128387451
Exciton, frame 8382 ran in:  13.338767766952515
Exciton, frame 8383 ran in:  12.662292003631592
Exciton, frame 8384 ran in:  12.767151594161987
Exciton, frame 8385 ran in:  12.532217025756836
Exciton, frame 8386 ran in:  12.903179168701172
Exciton, frame 8387 ran in:  12.321636199951172
Exciton, frame 8388 ran in:  12.6258385181427
Exciton, frame 8389 ran in:  12.577216625213623
Exciton, frame 8390 ran in:  12.464173316955566
Exciton, frame 8391 ran in:  12.642518520355225
Exciton, frame 8392 ran in:  12.645147562026978
Exciton, frame 8393 ran in:  12.542108535766602
Exciton, frame 8394 ran in:  12.31653356552124
Exciton, frame 8395 ran in:  12.653857469558716
Exciton, frame 8396 ran in:  12.661454439163208
Exciton, frame 8397 ran in:  13.139615535736084
Exciton, frame 8398 ran in:  12.36134147644043
Exciton, frame 8399 ran in:  12.703574895858765
Exciton, frame 8400 ran in:  12.68231987953186
Exciton, frame 8401 ran in:  12.713684797286987
Exciton, frame 8402 ran in:  12.304961919784546
Exciton, frame 8403 ran in:  13.324483633041382
Exciton, frame 8404 ran in:  12.93000078201294
Exciton, frame 8405 ran in:  12.67209005355835
Exciton, frame 8406 ran in:  12.427767038345337
Exciton, frame 8407 ran in:  12.545166254043579
Exciton, frame 8408 ran in:  12.63687801361084
Exciton, frame 8409 ran in:  12.297773361206055
Exciton, frame 8410 ran in:  14.576660871505737
Exciton, frame 8411 ran in:  12.789758205413818
Exciton, frame 8412 ran in:  12.586800575256348
Exciton, frame 8413 ran in:  12.815337896347046
Exciton, frame 8414 ran in:  13.759360790252686
Exciton, frame 8415 ran in:  12.803408861160278
Exciton, frame 8416 ran in:  12.702424764633179
Exciton, frame 8417 ran in:  12.305908441543579
Exciton, frame 8418 ran in:  12.463335752487183
Exciton, frame 8419 ran in:  12.5904221534729
Exciton, frame 8420 ran in:  13.92288613319397
Exciton, frame 8421 ran in:  12.645414352416992
Exciton, frame 8422 ran in:  12.805996656417847
Exciton, frame 8423 ran in:  12.685738801956177
Exciton, frame 8424 ran in:  12.581723690032959
Exciton, frame 8425 ran in:  12.476812362670898
Exciton, frame 8426 ran in:  12.095593690872192
Exciton, frame 8427 ran in:  12.895359992980957
Exciton, frame 8428 ran in:  13.99037790298462
Exciton, frame 8429 ran in:  12.431497573852539
Exciton, frame 8430 ran in:  12.398762941360474
Exciton, frame 8431 ran in:  12.659289598464966
Exciton, frame 8432 ran in:  12.674827337265015
Exciton, frame 8433 ran in:  12.679499387741089
Exciton, frame 8434 ran in:  12.769330263137817
Exciton, frame 8435 ran in:  12.437413215637207
Exciton, frame 8436 ran in:  12.621278285980225
Exciton, frame 8437 ran in:  12.261466979980469
Exciton, frame 8438 ran in:  12.50437331199646
Exciton, frame 8439 ran in:  12.47929835319519
Exciton, frame 8440 ran in:  12.679927349090576
Exciton, frame 8441 ran in:  12.33522915840149
Exciton, frame 8442 ran in:  12.504607200622559
Exciton, frame 8443 ran in:  12.543214797973633
Exciton, frame 8444 ran in:  12.849657535552979
Exciton, frame 8445 ran in:  13.200473070144653
Exciton, frame 8446 ran in:  12.485721826553345
Exciton, frame 8447 ran in:  13.972301959991455
Exciton, frame 8448 ran in:  12.418753623962402
Exciton, frame 8449 ran in:  12.7828049659729
Exciton, frame 8450 ran in:  12.50632929801941
Exciton, frame 8451 ran in:  12.843034267425537
Exciton, frame 8452 ran in:  12.45656943321228
Exciton, frame 8453 ran in:  12.54946255683899
Exciton, frame 8454 ran in:  13.192629098892212
Exciton, frame 8455 ran in:  12.53609299659729
Exciton, frame 8456 ran in:  12.594470262527466
Exciton, frame 8457 ran in:  12.790985345840454
Exciton, frame 8458 ran in:  13.065925121307373
Exciton, frame 8459 ran in:  12.990649223327637
Exciton, frame 8460 ran in:  12.878907442092896
Exciton, frame 8461 ran in:  12.705731868743896
Exciton, frame 8462 ran in:  12.279298067092896
Exciton, frame 8463 ran in:  12.64457368850708
Exciton, frame 8464 ran in:  12.730872392654419
Exciton, frame 8465 ran in:  12.720057487487793
Exciton, frame 8466 ran in:  13.066707134246826
Exciton, frame 8467 ran in:  12.40707778930664
Exciton, frame 8468 ran in:  13.387527227401733
Exciton, frame 8469 ran in:  13.223312854766846
Exciton, frame 8470 ran in:  13.609058856964111
Exciton, frame 8471 ran in:  13.31315302848816
Exciton, frame 8472 ran in:  12.497066974639893
Exciton, frame 8473 ran in:  12.786295175552368
Exciton, frame 8474 ran in:  13.722566843032837
Exciton, frame 8475 ran in:  13.369033098220825
Exciton, frame 8476 ran in:  13.62319564819336
Exciton, frame 8477 ran in:  12.548647403717041
Exciton, frame 8478 ran in:  12.95964241027832
Exciton, frame 8479 ran in:  12.79741096496582
Exciton, frame 8480 ran in:  12.47195291519165
Exciton, frame 8481 ran in:  13.383958578109741
Exciton, frame 8482 ran in:  13.023163080215454
Exciton, frame 8483 ran in:  12.859484910964966
Exciton, frame 8484 ran in:  12.915271997451782
Exciton, frame 8485 ran in:  11.92746877670288
Exciton, frame 8486 ran in:  12.555647850036621
Exciton, frame 8487 ran in:  12.179183006286621
