cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xd6dba6b6d6dba6b6 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 84.837916 secs
Exciton, frame 208 ran in:  13.905102014541626
Exciton, frame 209 ran in:  13.71095061302185
Exciton, frame 210 ran in:  13.907014608383179
Exciton, frame 211 ran in:  14.122763395309448
Exciton, frame 212 ran in:  13.838232517242432
Exciton, frame 213 ran in:  13.998489618301392
Exciton, frame 214 ran in:  13.504036664962769
Exciton, frame 215 ran in:  13.90933108329773
Exciton, frame 216 ran in:  13.793052911758423
Exciton, frame 217 ran in:  13.84918737411499
Exciton, frame 218 ran in:  14.009459972381592
Exciton, frame 219 ran in:  13.65877366065979
Exciton, frame 220 ran in:  13.696688413619995
Exciton, frame 221 ran in:  13.76511287689209
Exciton, frame 222 ran in:  13.73384714126587
Exciton, frame 223 ran in:  13.807904481887817
Exciton, frame 224 ran in:  13.948228359222412
Exciton, frame 225 ran in:  13.733755588531494
Exciton, frame 226 ran in:  13.884992837905884
Exciton, frame 227 ran in:  13.573874711990356
Exciton, frame 228 ran in:  13.612065553665161
Exciton, frame 229 ran in:  13.828974962234497
Exciton, frame 230 ran in:  14.001311302185059
Exciton, frame 231 ran in:  14.258629083633423
Exciton, frame 232 ran in:  13.84723687171936
Exciton, frame 233 ran in:  13.797566175460815
Exciton, frame 234 ran in:  13.584824800491333
Exciton, frame 235 ran in:  13.938024520874023
Exciton, frame 236 ran in:  13.83339548110962
Exciton, frame 237 ran in:  13.908380031585693
Exciton, frame 238 ran in:  13.802215099334717
Exciton, frame 239 ran in:  13.571706056594849
Exciton, frame 240 ran in:  13.7623929977417
Exciton, frame 241 ran in:  13.727328777313232
Exciton, frame 242 ran in:  13.969607591629028
Exciton, frame 243 ran in:  13.646427631378174
Exciton, frame 244 ran in:  13.821015357971191
Exciton, frame 245 ran in:  13.778043746948242
Exciton, frame 246 ran in:  13.960087299346924
Exciton, frame 247 ran in:  13.710411787033081
Exciton, frame 248 ran in:  13.855897426605225
Exciton, frame 249 ran in:  13.791115283966064
Exciton, frame 250 ran in:  13.772668600082397
Exciton, frame 251 ran in:  13.937921524047852
Exciton, frame 252 ran in:  13.918182134628296
Exciton, frame 253 ran in:  13.877711772918701
Exciton, frame 254 ran in:  13.95647931098938
Exciton, frame 255 ran in:  13.62129259109497
Exciton, frame 256 ran in:  13.680115222930908
Exciton, frame 257 ran in:  13.80656886100769
Exciton, frame 258 ran in:  14.033055543899536
Exciton, frame 259 ran in:  13.79079794883728
Exciton, frame 260 ran in:  13.732180118560791
Exciton, frame 261 ran in:  13.771758317947388
Exciton, frame 262 ran in:  13.656959295272827
Exciton, frame 263 ran in:  13.723560333251953
Exciton, frame 264 ran in:  13.71640920639038
Exciton, frame 265 ran in:  14.02004098892212
Exciton, frame 266 ran in:  13.73535442352295
Exciton, frame 267 ran in:  13.98750638961792
Exciton, frame 268 ran in:  13.743725538253784
Exciton, frame 269 ran in:  13.78489065170288
Exciton, frame 270 ran in:  13.71613883972168
Exciton, frame 271 ran in:  13.76216983795166
Exciton, frame 272 ran in:  13.93371033668518
Exciton, frame 273 ran in:  13.792535066604614
Exciton, frame 274 ran in:  13.593207359313965
Exciton, frame 275 ran in:  13.490791082382202
Exciton, frame 276 ran in:  13.942057847976685
Exciton, frame 277 ran in:  13.742053270339966
Exciton, frame 278 ran in:  13.627857685089111
Exciton, frame 279 ran in:  13.727831363677979
Exciton, frame 280 ran in:  14.031112670898438
Exciton, frame 281 ran in:  13.614891767501831
Exciton, frame 282 ran in:  13.626224517822266
Exciton, frame 283 ran in:  14.115495681762695
Exciton, frame 284 ran in:  13.661683559417725
Exciton, frame 285 ran in:  13.827045202255249
Exciton, frame 286 ran in:  13.746229648590088
Exciton, frame 287 ran in:  13.811830282211304
Exciton, frame 288 ran in:  13.7903151512146
Exciton, frame 289 ran in:  13.820487976074219
Exciton, frame 290 ran in:  13.819446563720703
Exciton, frame 291 ran in:  13.502158880233765
Exciton, frame 292 ran in:  14.046523332595825
Exciton, frame 293 ran in:  14.089257717132568
Exciton, frame 294 ran in:  13.839931964874268
Exciton, frame 295 ran in:  13.670993089675903
Exciton, frame 296 ran in:  14.07778286933899
Exciton, frame 297 ran in:  13.899170160293579
Exciton, frame 298 ran in:  13.724949359893799
Exciton, frame 299 ran in:  13.632957935333252
Exciton, frame 300 ran in:  13.654376745223999
Exciton, frame 301 ran in:  13.706396579742432
Exciton, frame 302 ran in:  13.832870960235596
Exciton, frame 303 ran in:  13.737700462341309
Exciton, frame 304 ran in:  13.71378779411316
Exciton, frame 305 ran in:  13.607283115386963
Exciton, frame 306 ran in:  13.769430160522461
Exciton, frame 307 ran in:  13.92831015586853
Exciton, frame 308 ran in:  13.930803537368774
Exciton, frame 309 ran in:  13.935552597045898
Exciton, frame 310 ran in:  14.00444221496582
Exciton, frame 311 ran in:  13.769464492797852
Exciton, frame 312 ran in:  13.610376358032227
Exciton, frame 313 ran in:  13.744863033294678
Exciton, frame 314 ran in:  13.631709337234497
Exciton, frame 315 ran in:  14.10607385635376
Exciton, frame 316 ran in:  13.925525903701782
Exciton, frame 317 ran in:  13.937726974487305
Exciton, frame 318 ran in:  13.807255744934082
Exciton, frame 319 ran in:  13.728311538696289
Exciton, frame 320 ran in:  13.967799425125122
Exciton, frame 321 ran in:  13.775421142578125
Exciton, frame 322 ran in:  13.971903800964355
Exciton, frame 323 ran in:  13.641738891601562
Exciton, frame 324 ran in:  13.60381007194519
Exciton, frame 325 ran in:  13.54399037361145
Exciton, frame 326 ran in:  13.915844202041626
Exciton, frame 327 ran in:  13.859038352966309
Exciton, frame 328 ran in:  14.046444177627563
Exciton, frame 329 ran in:  14.062175273895264
Exciton, frame 330 ran in:  13.612807035446167
Exciton, frame 331 ran in:  13.857261419296265
Exciton, frame 332 ran in:  13.641945362091064
Exciton, frame 333 ran in:  13.479213953018188
Exciton, frame 334 ran in:  13.86417531967163
Exciton, frame 335 ran in:  13.736158847808838
Exciton, frame 336 ran in:  13.58989691734314
Exciton, frame 337 ran in:  13.839269399642944
Exciton, frame 338 ran in:  13.911731719970703
Exciton, frame 339 ran in:  13.757869720458984
Exciton, frame 340 ran in:  14.198779344558716
Exciton, frame 341 ran in:  14.106875658035278
Exciton, frame 342 ran in:  13.679651975631714
Exciton, frame 343 ran in:  13.775347232818604
Exciton, frame 344 ran in:  13.685943841934204
Exciton, frame 345 ran in:  13.599438190460205
Exciton, frame 346 ran in:  13.812442302703857
Exciton, frame 347 ran in:  13.745445489883423
Exciton, frame 348 ran in:  13.882843494415283
Exciton, frame 349 ran in:  13.739923000335693
Exciton, frame 350 ran in:  13.599478483200073
Exciton, frame 351 ran in:  13.688999891281128
Exciton, frame 352 ran in:  13.786953687667847
Exciton, frame 353 ran in:  13.77335238456726
Exciton, frame 354 ran in:  14.082656383514404
Exciton, frame 355 ran in:  13.914631128311157
Exciton, frame 356 ran in:  13.69005537033081
Exciton, frame 357 ran in:  13.718892574310303
Exciton, frame 358 ran in:  13.857722997665405
Exciton, frame 359 ran in:  14.154315710067749
Exciton, frame 360 ran in:  13.878947496414185
Exciton, frame 361 ran in:  13.748801708221436
Exciton, frame 362 ran in:  13.965617656707764
Exciton, frame 363 ran in:  13.96739912033081
Exciton, frame 364 ran in:  13.695851564407349
Exciton, frame 365 ran in:  13.893240690231323
Exciton, frame 366 ran in:  13.706084966659546
Exciton, frame 367 ran in:  13.780681371688843
Exciton, frame 368 ran in:  13.701027154922485
Exciton, frame 369 ran in:  13.796335697174072
Exciton, frame 370 ran in:  13.696518182754517
Exciton, frame 371 ran in:  13.842921495437622
Exciton, frame 372 ran in:  13.663322925567627
Exciton, frame 373 ran in:  13.729383707046509
Exciton, frame 374 ran in:  14.079430103302002
Exciton, frame 375 ran in:  13.565738439559937
Exciton, frame 376 ran in:  13.699596405029297
Exciton, frame 377 ran in:  13.708820104598999
Exciton, frame 378 ran in:  13.80343222618103
Exciton, frame 379 ran in:  13.674839735031128
Exciton, frame 380 ran in:  13.755298852920532
Exciton, frame 381 ran in:  13.81097960472107
Exciton, frame 382 ran in:  13.742918968200684
Exciton, frame 383 ran in:  13.869739055633545
Exciton, frame 384 ran in:  14.05165696144104
Exciton, frame 385 ran in:  13.690649032592773
Exciton, frame 386 ran in:  13.576796293258667
Exciton, frame 387 ran in:  14.046298027038574
Exciton, frame 388 ran in:  13.796818494796753
Exciton, frame 389 ran in:  13.861768007278442
Exciton, frame 390 ran in:  13.683183670043945
Exciton, frame 391 ran in:  13.959801435470581
Exciton, frame 392 ran in:  13.738332748413086
Exciton, frame 393 ran in:  13.68929934501648
Exciton, frame 394 ran in:  13.872661590576172
Exciton, frame 395 ran in:  14.288148641586304
Exciton, frame 396 ran in:  13.79283332824707
Exciton, frame 397 ran in:  14.108620405197144
Exciton, frame 398 ran in:  13.73678207397461
Exciton, frame 399 ran in:  13.863325357437134
