cpu-bind=MASK - bp1-compute157, task 4294967295 4294967295 [0]: mask 0x1fbf6dd01fbf6dd set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 21.669063 secs
Exciton, frame 4177 ran in:  13.403005123138428
Exciton, frame 4178 ran in:  13.884591817855835
Exciton, frame 4179 ran in:  14.32293438911438
Exciton, frame 4180 ran in:  14.109788656234741
Exciton, frame 4181 ran in:  14.026723384857178
Exciton, frame 4182 ran in:  13.768276929855347
Exciton, frame 4183 ran in:  14.078937768936157
Exciton, frame 4184 ran in:  14.022219896316528
Exciton, frame 4185 ran in:  14.218547344207764
Exciton, frame 4186 ran in:  13.926984548568726
Exciton, frame 4187 ran in:  13.879336833953857
Exciton, frame 4188 ran in:  13.511277914047241
Exciton, frame 4189 ran in:  13.852604150772095
Exciton, frame 4190 ran in:  14.168236255645752
Exciton, frame 4191 ran in:  14.056331634521484
Exciton, frame 4192 ran in:  13.726325988769531
Exciton, frame 4193 ran in:  13.984095573425293
Exciton, frame 4194 ran in:  13.873670816421509
Exciton, frame 4195 ran in:  13.988354921340942
Exciton, frame 4196 ran in:  13.825284004211426
Exciton, frame 4197 ran in:  14.274714231491089
Exciton, frame 4198 ran in:  14.093863725662231
Exciton, frame 4199 ran in:  14.078991651535034
Exciton, frame 4200 ran in:  14.115292310714722
Exciton, frame 4201 ran in:  13.605722188949585
Exciton, frame 4202 ran in:  14.127185344696045
Exciton, frame 4203 ran in:  14.105600118637085
Exciton, frame 4204 ran in:  14.25163197517395
Exciton, frame 4205 ran in:  14.188896656036377
Exciton, frame 4206 ran in:  13.828709602355957
Exciton, frame 4207 ran in:  13.571014165878296
Exciton, frame 4208 ran in:  13.864922046661377
Exciton, frame 4209 ran in:  13.578546524047852
Exciton, frame 4210 ran in:  14.129043817520142
Exciton, frame 4211 ran in:  14.058257579803467
Exciton, frame 4212 ran in:  14.183371543884277
Exciton, frame 4213 ran in:  13.876471757888794
Exciton, frame 4214 ran in:  14.105113983154297
Exciton, frame 4215 ran in:  14.05916690826416
Exciton, frame 4216 ran in:  14.055901765823364
Exciton, frame 4217 ran in:  14.059223651885986
Exciton, frame 4218 ran in:  13.977131366729736
Exciton, frame 4219 ran in:  13.947046279907227
Exciton, frame 4220 ran in:  13.904777526855469
Exciton, frame 4221 ran in:  13.642332315444946
Exciton, frame 4222 ran in:  13.847307920455933
Exciton, frame 4223 ran in:  13.457642316818237
Exciton, frame 4224 ran in:  13.913679838180542
Exciton, frame 4225 ran in:  13.448197603225708
Exciton, frame 4226 ran in:  13.736937046051025
Exciton, frame 4227 ran in:  13.962183952331543
Exciton, frame 4228 ran in:  13.994943141937256
Exciton, frame 4229 ran in:  13.560923337936401
Exciton, frame 4230 ran in:  13.717588186264038
Exciton, frame 4231 ran in:  14.046072006225586
Exciton, frame 4232 ran in:  13.647684097290039
Exciton, frame 4233 ran in:  14.055180311203003
Exciton, frame 4234 ran in:  13.872743129730225
Exciton, frame 4235 ran in:  13.571903705596924
Exciton, frame 4236 ran in:  13.751893997192383
Exciton, frame 4237 ran in:  13.71310567855835
Exciton, frame 4238 ran in:  13.711202144622803
Exciton, frame 4239 ran in:  13.606072187423706
Exciton, frame 4240 ran in:  14.07892894744873
Exciton, frame 4241 ran in:  14.069550037384033
Exciton, frame 4242 ran in:  13.425006628036499
Exciton, frame 4243 ran in:  13.561490535736084
Exciton, frame 4244 ran in:  13.831255912780762
Exciton, frame 4245 ran in:  13.9300217628479
Exciton, frame 4246 ran in:  14.03196120262146
Exciton, frame 4247 ran in:  14.036855220794678
Exciton, frame 4248 ran in:  13.863194704055786
Exciton, frame 4249 ran in:  13.964748620986938
Exciton, frame 4250 ran in:  13.946348428726196
Exciton, frame 4251 ran in:  14.081503629684448
Exciton, frame 4252 ran in:  14.001033306121826
Exciton, frame 4253 ran in:  14.033383131027222
Exciton, frame 4254 ran in:  14.139163732528687
Exciton, frame 4255 ran in:  14.170074462890625
Exciton, frame 4256 ran in:  13.926265716552734
Exciton, frame 4257 ran in:  14.01177430152893
Exciton, frame 4258 ran in:  13.42705774307251
Exciton, frame 4259 ran in:  13.904036045074463
Exciton, frame 4260 ran in:  13.942329406738281
Exciton, frame 4261 ran in:  13.902629613876343
Exciton, frame 4262 ran in:  13.853994846343994
Exciton, frame 4263 ran in:  13.516530275344849
Exciton, frame 4264 ran in:  13.980726957321167
Exciton, frame 4265 ran in:  13.978174209594727
Exciton, frame 4266 ran in:  13.93540358543396
Exciton, frame 4267 ran in:  14.028294801712036
Exciton, frame 4268 ran in:  13.599031925201416
Exciton, frame 4269 ran in:  13.888262510299683
Exciton, frame 4270 ran in:  13.999619722366333
Exciton, frame 4271 ran in:  13.785321474075317
Exciton, frame 4272 ran in:  13.553144454956055
Exciton, frame 4273 ran in:  13.97193694114685
Exciton, frame 4274 ran in:  14.112059354782104
Exciton, frame 4275 ran in:  14.22668194770813
Exciton, frame 4276 ran in:  13.717219829559326
Exciton, frame 4277 ran in:  14.120400667190552
Exciton, frame 4278 ran in:  14.068382263183594
Exciton, frame 4279 ran in:  14.093841552734375
Exciton, frame 4280 ran in:  13.787786960601807
Exciton, frame 4281 ran in:  13.473886728286743
Exciton, frame 4282 ran in:  13.430645942687988
Exciton, frame 4283 ran in:  13.849173307418823
Exciton, frame 4284 ran in:  13.943481922149658
Exciton, frame 4285 ran in:  14.17215895652771
Exciton, frame 4286 ran in:  13.642637729644775
Exciton, frame 4287 ran in:  13.743809461593628
Exciton, frame 4288 ran in:  13.884798765182495
Exciton, frame 4289 ran in:  13.943115949630737
Exciton, frame 4290 ran in:  13.47171926498413
Exciton, frame 4291 ran in:  13.915982484817505
Exciton, frame 4292 ran in:  13.36594271659851
Exciton, frame 4293 ran in:  13.719838619232178
Exciton, frame 4294 ran in:  14.097834348678589
Exciton, frame 4295 ran in:  13.946439981460571
Exciton, frame 4296 ran in:  13.968573570251465
Exciton, frame 4297 ran in:  13.76099705696106
Exciton, frame 4298 ran in:  13.977417469024658
Exciton, frame 4299 ran in:  13.950918436050415
Exciton, frame 4300 ran in:  13.844534635543823
Exciton, frame 4301 ran in:  13.763632535934448
Exciton, frame 4302 ran in:  14.024336338043213
Exciton, frame 4303 ran in:  13.99408769607544
Exciton, frame 4304 ran in:  14.22000789642334
Exciton, frame 4305 ran in:  13.936886310577393
Exciton, frame 4306 ran in:  13.429563760757446
Exciton, frame 4307 ran in:  13.874799251556396
Exciton, frame 4308 ran in:  14.06584882736206
Exciton, frame 4309 ran in:  13.851517915725708
Exciton, frame 4310 ran in:  13.846748352050781
Exciton, frame 4311 ran in:  13.716083765029907
Exciton, frame 4312 ran in:  14.070941925048828
Exciton, frame 4313 ran in:  13.99648141860962
Exciton, frame 4314 ran in:  14.150550127029419
Exciton, frame 4315 ran in:  13.704334497451782
Exciton, frame 4316 ran in:  13.8624427318573
Exciton, frame 4317 ran in:  14.023809432983398
Exciton, frame 4318 ran in:  13.839744567871094
Exciton, frame 4319 ran in:  13.995976209640503
Exciton, frame 4320 ran in:  14.181110620498657
Exciton, frame 4321 ran in:  13.926973342895508
Exciton, frame 4322 ran in:  13.985274076461792
Exciton, frame 4323 ran in:  14.010398387908936
Exciton, frame 4324 ran in:  13.965103387832642
Exciton, frame 4325 ran in:  14.063652276992798
Exciton, frame 4326 ran in:  13.868152379989624
Exciton, frame 4327 ran in:  14.079519033432007
Exciton, frame 4328 ran in:  13.94935393333435
Exciton, frame 4329 ran in:  13.937621355056763
Exciton, frame 4330 ran in:  13.27841830253601
Exciton, frame 4331 ran in:  14.115768671035767
Exciton, frame 4332 ran in:  13.780714511871338
Exciton, frame 4333 ran in:  14.114316463470459
Exciton, frame 4334 ran in:  13.971392154693604
Exciton, frame 4335 ran in:  13.95836067199707
Exciton, frame 4336 ran in:  14.216994285583496
Exciton, frame 4337 ran in:  13.848193883895874
Exciton, frame 4338 ran in:  13.749499559402466
Exciton, frame 4339 ran in:  13.96890115737915
Exciton, frame 4340 ran in:  13.84367847442627
Exciton, frame 4341 ran in:  13.528321743011475
Exciton, frame 4342 ran in:  14.06106972694397
Exciton, frame 4343 ran in:  13.84110164642334
Exciton, frame 4344 ran in:  14.000904083251953
Exciton, frame 4345 ran in:  13.687405109405518
Exciton, frame 4346 ran in:  13.898978233337402
Exciton, frame 4347 ran in:  14.140708684921265
Exciton, frame 4348 ran in:  13.660539865493774
Exciton, frame 4349 ran in:  14.02047061920166
Exciton, frame 4350 ran in:  14.076278924942017
Exciton, frame 4351 ran in:  14.040529251098633
Exciton, frame 4352 ran in:  13.569307088851929
Exciton, frame 4353 ran in:  13.901331424713135
Exciton, frame 4354 ran in:  14.08782696723938
Exciton, frame 4355 ran in:  14.161498546600342
Exciton, frame 4356 ran in:  14.022298574447632
Exciton, frame 4357 ran in:  13.77979302406311
Exciton, frame 4358 ran in:  13.811242818832397
Exciton, frame 4359 ran in:  13.9904146194458
Exciton, frame 4360 ran in:  13.547098159790039
Exciton, frame 4361 ran in:  13.78842544555664
Exciton, frame 4362 ran in:  13.742785692214966
Exciton, frame 4363 ran in:  14.167401313781738
Exciton, frame 4364 ran in:  14.0354585647583
Exciton, frame 4365 ran in:  13.652723550796509
Exciton, frame 4366 ran in:  14.05185604095459
Exciton, frame 4367 ran in:  13.411848068237305
Exciton, frame 4368 ran in:  14.10097360610962
Exciton, frame 4369 ran in:  13.889705181121826
Exciton, frame 4370 ran in:  13.93669843673706
Exciton, frame 4371 ran in:  14.074110746383667
Exciton, frame 4372 ran in:  13.92671012878418
Exciton, frame 4373 ran in:  14.08120584487915
Exciton, frame 4374 ran in:  13.932880401611328
Exciton, frame 4375 ran in:  13.814579963684082
Exciton, frame 4376 ran in:  14.136785507202148
Exciton, frame 4377 ran in:  13.955263376235962
Exciton, frame 4378 ran in:  13.68848705291748
Exciton, frame 4379 ran in:  14.038045406341553
Exciton, frame 4380 ran in:  13.58873462677002
Exciton, frame 4381 ran in:  14.008833646774292
Exciton, frame 4382 ran in:  13.658508062362671
Exciton, frame 4383 ran in:  13.776250123977661
Exciton, frame 4384 ran in:  13.612967014312744
Exciton, frame 4385 ran in:  13.891627073287964
Exciton, frame 4386 ran in:  13.547796964645386
Exciton, frame 4387 ran in:  13.559120655059814
Exciton, frame 4388 ran in:  13.95948600769043
Exciton, frame 4389 ran in:  13.662016153335571
Exciton, frame 4390 ran in:  13.83151650428772
Exciton, frame 4391 ran in:  13.929243564605713
Exciton, frame 4392 ran in:  13.915761470794678
Exciton, frame 4393 ran in:  13.816457271575928
Exciton, frame 4394 ran in:  13.886848449707031
Exciton, frame 4395 ran in:  13.748531341552734
Exciton, frame 4396 ran in:  13.67702579498291
Exciton, frame 4397 ran in:  13.94088077545166
Exciton, frame 4398 ran in:  13.673367977142334
Exciton, frame 4399 ran in:  13.717867612838745
Exciton, frame 4400 ran in:  13.99405312538147
Exciton, frame 4401 ran in:  13.954509019851685
Exciton, frame 4402 ran in:  13.91015625
Exciton, frame 4403 ran in:  13.40515422821045
Exciton, frame 4404 ran in:  14.045859813690186
Exciton, frame 4405 ran in:  14.01820158958435
Exciton, frame 4406 ran in:  14.008011817932129
Exciton, frame 4407 ran in:  13.859561204910278
Exciton, frame 4408 ran in:  13.834932804107666
Exciton, frame 4409 ran in:  13.69989013671875
Exciton, frame 4410 ran in:  13.772690773010254
Exciton, frame 4411 ran in:  13.753762245178223
Exciton, frame 4412 ran in:  13.976045608520508
Exciton, frame 4413 ran in:  14.1216721534729
Exciton, frame 4414 ran in:  13.915113687515259
Exciton, frame 4415 ran in:  13.972208261489868
Exciton, frame 4416 ran in:  13.797556638717651
Exciton, frame 4417 ran in:  13.816749095916748
Exciton, frame 4418 ran in:  13.823016166687012
Exciton, frame 4419 ran in:  13.618287324905396
Exciton, frame 4420 ran in:  13.976913690567017
Exciton, frame 4421 ran in:  13.960318803787231
Exciton, frame 4422 ran in:  13.817843198776245
Exciton, frame 4423 ran in:  14.006791591644287
Exciton, frame 4424 ran in:  14.072103500366211
Exciton, frame 4425 ran in:  13.954275131225586
Exciton, frame 4426 ran in:  14.058444738388062
Exciton, frame 4427 ran in:  13.960132122039795
Exciton, frame 4428 ran in:  13.809853315353394
Exciton, frame 4429 ran in:  13.739392518997192
Exciton, frame 4430 ran in:  13.894073724746704
Exciton, frame 4431 ran in:  13.86007571220398
Exciton, frame 4432 ran in:  13.782846212387085
Exciton, frame 4433 ran in:  14.043848752975464
Exciton, frame 4434 ran in:  13.52144169807434
Exciton, frame 4435 ran in:  13.912912607192993
Exciton, frame 4436 ran in:  13.69343638420105
Exciton, frame 4437 ran in:  13.883759021759033
Exciton, frame 4438 ran in:  13.96673583984375
Exciton, frame 4439 ran in:  14.168239116668701
Exciton, frame 4440 ran in:  13.686726331710815
Exciton, frame 4441 ran in:  13.475071907043457
Exciton, frame 4442 ran in:  14.063137769699097
Exciton, frame 4443 ran in:  13.918533325195312
Exciton, frame 4444 ran in:  13.634305477142334
Exciton, frame 4445 ran in:  14.093693256378174
Exciton, frame 4446 ran in:  14.030466556549072
Exciton, frame 4447 ran in:  13.92039179801941
Exciton, frame 4448 ran in:  13.987545251846313
Exciton, frame 4449 ran in:  14.02163028717041
Exciton, frame 4450 ran in:  14.049051761627197
Exciton, frame 4451 ran in:  13.61732816696167
Exciton, frame 4452 ran in:  14.05003547668457
Exciton, frame 4453 ran in:  13.764616966247559
Exciton, frame 4454 ran in:  13.774429559707642
Exciton, frame 4455 ran in:  13.709213733673096
Exciton, frame 4456 ran in:  14.02669644355774
Exciton, frame 4457 ran in:  14.08759069442749
Exciton, frame 4458 ran in:  14.09630274772644
Exciton, frame 4459 ran in:  13.902636289596558
Exciton, frame 4460 ran in:  14.221132040023804
Exciton, frame 4461 ran in:  14.124906539916992
Exciton, frame 4462 ran in:  13.79064416885376
Exciton, frame 4463 ran in:  13.948958396911621
Exciton, frame 4464 ran in:  13.88083553314209
Exciton, frame 4465 ran in:  13.85052490234375
Exciton, frame 4466 ran in:  14.187350273132324
Exciton, frame 4467 ran in:  13.794989824295044
Exciton, frame 4468 ran in:  14.050616264343262
Exciton, frame 4469 ran in:  13.662469387054443
Exciton, frame 4470 ran in:  13.656718969345093
Exciton, frame 4471 ran in:  13.922377824783325
Exciton, frame 4472 ran in:  13.449380874633789
Exciton, frame 4473 ran in:  13.488155603408813
Exciton, frame 4474 ran in:  13.940378427505493
Exciton, frame 4475 ran in:  14.056442260742188
Exciton, frame 4476 ran in:  13.900349378585815
Exciton, frame 4477 ran in:  13.786597490310669
Exciton, frame 4478 ran in:  13.800429582595825
Exciton, frame 4479 ran in:  14.022135257720947
