cpu-bind=MASK - bp1-compute129, task 4294967295 4294967295 [0]: mask 0x7ffbbb007ffbbb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 75.113663 secs
Exciton, frame 3312 ran in:  14.147658586502075
Exciton, frame 3313 ran in:  13.463465452194214
Exciton, frame 3314 ran in:  13.51108455657959
Exciton, frame 3315 ran in:  13.788700819015503
Exciton, frame 3316 ran in:  13.476719617843628
Exciton, frame 3317 ran in:  13.591415405273438
Exciton, frame 3318 ran in:  13.551180124282837
Exciton, frame 3319 ran in:  13.288792610168457
Exciton, frame 3320 ran in:  13.364750862121582
Exciton, frame 3321 ran in:  13.604057550430298
Exciton, frame 3322 ran in:  13.457010269165039
Exciton, frame 3323 ran in:  13.4820237159729
Exciton, frame 3324 ran in:  13.030888080596924
Exciton, frame 3325 ran in:  13.76835584640503
Exciton, frame 3326 ran in:  13.757439374923706
Exciton, frame 3327 ran in:  13.171350717544556
Exciton, frame 3328 ran in:  13.436792612075806
Exciton, frame 3329 ran in:  13.791861295700073
Exciton, frame 3330 ran in:  13.817633867263794
Exciton, frame 3331 ran in:  13.44733476638794
Exciton, frame 3332 ran in:  13.470582962036133
Exciton, frame 3333 ran in:  13.960315227508545
Exciton, frame 3334 ran in:  13.892658948898315
Exciton, frame 3335 ran in:  13.806226968765259
Exciton, frame 3336 ran in:  13.069381475448608
Exciton, frame 3337 ran in:  13.37837839126587
Exciton, frame 3338 ran in:  13.636415004730225
Exciton, frame 3339 ran in:  13.784886121749878
Exciton, frame 3340 ran in:  14.062158584594727
Exciton, frame 3341 ran in:  13.388880252838135
Exciton, frame 3342 ran in:  13.732797861099243
Exciton, frame 3343 ran in:  14.249654769897461
Exciton, frame 3344 ran in:  13.867851495742798
Exciton, frame 3345 ran in:  13.406953573226929
Exciton, frame 3346 ran in:  13.309961080551147
Exciton, frame 3347 ran in:  13.840171813964844
Exciton, frame 3348 ran in:  13.415177345275879
Exciton, frame 3349 ran in:  13.821004152297974
Exciton, frame 3350 ran in:  13.694369792938232
Exciton, frame 3351 ran in:  14.075248718261719
Exciton, frame 3352 ran in:  13.645573616027832
Exciton, frame 3353 ran in:  13.793192386627197
Exciton, frame 3354 ran in:  13.912190675735474
Exciton, frame 3355 ran in:  13.491973400115967
Exciton, frame 3356 ran in:  13.264932632446289
Exciton, frame 3357 ran in:  13.691988945007324
Exciton, frame 3358 ran in:  13.715668201446533
Exciton, frame 3359 ran in:  13.569193363189697
Exciton, frame 3360 ran in:  13.482312202453613
Exciton, frame 3361 ran in:  13.444904088973999
Exciton, frame 3362 ran in:  13.652886390686035
Exciton, frame 3363 ran in:  13.49142837524414
Exciton, frame 3364 ran in:  13.584310293197632
Exciton, frame 3365 ran in:  13.90367317199707
Exciton, frame 3366 ran in:  13.621471643447876
Exciton, frame 3367 ran in:  13.78079605102539
Exciton, frame 3368 ran in:  13.723224401473999
Exciton, frame 3369 ran in:  13.823941469192505
Exciton, frame 3370 ran in:  13.786592721939087
Exciton, frame 3371 ran in:  14.074955463409424
Exciton, frame 3372 ran in:  13.621692895889282
Exciton, frame 3373 ran in:  14.093286514282227
Exciton, frame 3374 ran in:  13.871232986450195
Exciton, frame 3375 ran in:  13.57411003112793
Exciton, frame 3376 ran in:  13.357546091079712
Exciton, frame 3377 ran in:  13.663170099258423
Exciton, frame 3378 ran in:  13.434429168701172
Exciton, frame 3379 ran in:  13.941121339797974
Exciton, frame 3380 ran in:  13.528356075286865
Exciton, frame 3381 ran in:  13.567700862884521
Exciton, frame 3382 ran in:  13.628816366195679
Exciton, frame 3383 ran in:  13.013422012329102
Exciton, frame 3384 ran in:  13.74906873703003
Exciton, frame 3385 ran in:  13.912273645401001
Exciton, frame 3386 ran in:  13.545085430145264
Exciton, frame 3387 ran in:  13.197141647338867
Exciton, frame 3388 ran in:  13.392717361450195
Exciton, frame 3389 ran in:  13.134024620056152
Exciton, frame 3390 ran in:  13.548102855682373
Exciton, frame 3391 ran in:  13.697678327560425
Exciton, frame 3392 ran in:  13.729254722595215
Exciton, frame 3393 ran in:  13.139050245285034
Exciton, frame 3394 ran in:  13.423623323440552
Exciton, frame 3395 ran in:  13.54674243927002
Exciton, frame 3396 ran in:  13.507197856903076
Exciton, frame 3397 ran in:  13.499404191970825
Exciton, frame 3398 ran in:  14.209793090820312
Exciton, frame 3399 ran in:  13.41069483757019
Exciton, frame 3400 ran in:  13.525451898574829
Exciton, frame 3401 ran in:  13.395568609237671
Exciton, frame 3402 ran in:  13.623994588851929
Exciton, frame 3403 ran in:  14.041995525360107
Exciton, frame 3404 ran in:  13.672343015670776
Exciton, frame 3405 ran in:  13.59388017654419
Exciton, frame 3406 ran in:  13.784662961959839
Exciton, frame 3407 ran in:  13.857630252838135
Exciton, frame 3408 ran in:  13.507916450500488
Exciton, frame 3409 ran in:  13.932698965072632
Exciton, frame 3410 ran in:  13.824694156646729
Exciton, frame 3411 ran in:  13.839454174041748
Exciton, frame 3412 ran in:  12.988545179367065
Exciton, frame 3413 ran in:  13.85674238204956
Exciton, frame 3414 ran in:  13.489556074142456
Exciton, frame 3415 ran in:  13.32446002960205
Exciton, frame 3416 ran in:  13.497061967849731
Exciton, frame 3417 ran in:  13.501084566116333
Exciton, frame 3418 ran in:  14.042293548583984
Exciton, frame 3419 ran in:  13.738490104675293
Exciton, frame 3420 ran in:  13.977865934371948
Exciton, frame 3421 ran in:  13.278516054153442
Exciton, frame 3422 ran in:  13.452138185501099
Exciton, frame 3423 ran in:  14.059361934661865
Exciton, frame 3424 ran in:  13.560890913009644
Exciton, frame 3425 ran in:  13.488829612731934
Exciton, frame 3426 ran in:  13.818131685256958
Exciton, frame 3427 ran in:  13.383282899856567
Exciton, frame 3428 ran in:  13.42074179649353
Exciton, frame 3429 ran in:  13.45380425453186
Exciton, frame 3430 ran in:  13.262794494628906
Exciton, frame 3431 ran in:  13.455463647842407
Exciton, frame 3432 ran in:  13.482078552246094
Exciton, frame 3433 ran in:  13.683834314346313
Exciton, frame 3434 ran in:  13.392526865005493
Exciton, frame 3435 ran in:  13.276740550994873
Exciton, frame 3436 ran in:  13.684834241867065
Exciton, frame 3437 ran in:  13.629565238952637
Exciton, frame 3438 ran in:  13.657311201095581
Exciton, frame 3439 ran in:  13.878551959991455
Exciton, frame 3440 ran in:  13.435226678848267
Exciton, frame 3441 ran in:  13.748037338256836
Exciton, frame 3442 ran in:  13.554664134979248
Exciton, frame 3443 ran in:  13.588806867599487
Exciton, frame 3444 ran in:  13.638518810272217
Exciton, frame 3445 ran in:  13.661247730255127
Exciton, frame 3446 ran in:  13.429829359054565
Exciton, frame 3447 ran in:  13.907065391540527
Exciton, frame 3448 ran in:  13.40869665145874
Exciton, frame 3449 ran in:  13.84670615196228
Exciton, frame 3450 ran in:  13.626681327819824
Exciton, frame 3451 ran in:  13.478721618652344
Exciton, frame 3452 ran in:  13.642827272415161
Exciton, frame 3453 ran in:  13.612733602523804
