cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xfffff000000000000000000000000000fffff000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 46.143145 secs
Exciton, frame 6166 ran in:  22.336320400238037
Exciton, frame 6167 ran in:  21.991005897521973
Exciton, frame 6168 ran in:  23.415520429611206
Exciton, frame 6169 ran in:  18.858867645263672
Exciton, frame 6170 ran in:  22.250791788101196
Exciton, frame 6171 ran in:  22.80638813972473
Exciton, frame 6172 ran in:  22.825902223587036
Exciton, frame 6173 ran in:  23.130179166793823
Exciton, frame 6174 ran in:  23.5559298992157
Exciton, frame 6175 ran in:  17.212643146514893
Exciton, frame 6176 ran in:  22.822288990020752
Exciton, frame 6177 ran in:  22.265804052352905
Exciton, frame 6178 ran in:  18.22967505455017
Exciton, frame 6179 ran in:  22.059860706329346
Exciton, frame 6180 ran in:  20.511629819869995
Exciton, frame 6181 ran in:  22.563185691833496
Exciton, frame 6182 ran in:  20.021528959274292
Exciton, frame 6183 ran in:  19.584678173065186
Exciton, frame 6184 ran in:  22.169227361679077
Exciton, frame 6185 ran in:  21.71317982673645
Exciton, frame 6186 ran in:  22.42166519165039
Exciton, frame 6187 ran in:  21.891375064849854
Exciton, frame 6188 ran in:  22.85723876953125
Exciton, frame 6189 ran in:  22.798993587493896
Exciton, frame 6190 ran in:  23.040771961212158
Exciton, frame 6191 ran in:  17.574028253555298
Exciton, frame 6192 ran in:  23.038439512252808
Exciton, frame 6193 ran in:  20.4951491355896
Exciton, frame 6194 ran in:  22.15979290008545
Exciton, frame 6195 ran in:  21.822964906692505
Exciton, frame 6196 ran in:  22.78619909286499
Exciton, frame 6197 ran in:  18.682556867599487
Exciton, frame 6198 ran in:  22.52976632118225
Exciton, frame 6199 ran in:  22.470691442489624
Exciton, frame 6200 ran in:  21.548944234848022
Exciton, frame 6201 ran in:  21.461588382720947
Exciton, frame 6202 ran in:  21.961012601852417
Exciton, frame 6203 ran in:  17.470598697662354
Exciton, frame 6204 ran in:  18.642110347747803
Exciton, frame 6205 ran in:  21.912495613098145
Exciton, frame 6206 ran in:  22.04842972755432
Exciton, frame 6207 ran in:  23.423948287963867
Exciton, frame 6208 ran in:  20.10118317604065
Exciton, frame 6209 ran in:  17.20220422744751
Exciton, frame 6210 ran in:  22.17554998397827
Exciton, frame 6211 ran in:  22.90018892288208
Exciton, frame 6212 ran in:  19.311245679855347
Exciton, frame 6213 ran in:  20.777089595794678
Exciton, frame 6214 ran in:  22.139886379241943
Exciton, frame 6215 ran in:  22.04217290878296
Exciton, frame 6216 ran in:  22.92568874359131
Exciton, frame 6217 ran in:  20.154090404510498
Exciton, frame 6218 ran in:  22.63300061225891
Exciton, frame 6219 ran in:  18.088234424591064
Exciton, frame 6220 ran in:  22.00179886817932
Exciton, frame 6221 ran in:  21.0849027633667
Exciton, frame 6222 ran in:  22.207386016845703
Exciton, frame 6223 ran in:  20.608741521835327
Exciton, frame 6224 ran in:  17.055063247680664
Exciton, frame 6225 ran in:  22.419198036193848
Exciton, frame 6226 ran in:  21.174349308013916
Exciton, frame 6227 ran in:  22.374881982803345
Exciton, frame 6228 ran in:  19.865152835845947
Exciton, frame 6229 ran in:  19.43484926223755
Exciton, frame 6230 ran in:  21.661884307861328
Exciton, frame 6231 ran in:  17.18949055671692
Exciton, frame 6232 ran in:  21.62071943283081
Exciton, frame 6233 ran in:  21.966063976287842
Exciton, frame 6234 ran in:  21.71972370147705
Exciton, frame 6235 ran in:  18.530263423919678
Exciton, frame 6236 ran in:  22.59086537361145
Exciton, frame 6237 ran in:  17.03196406364441
Exciton, frame 6238 ran in:  21.987334728240967
Exciton, frame 6239 ran in:  21.381715536117554
Exciton, frame 6240 ran in:  18.593107223510742
Exciton, frame 6241 ran in:  21.601521730422974
Exciton, frame 6242 ran in:  19.76356077194214
Exciton, frame 6243 ran in:  18.722522497177124
Exciton, frame 6244 ran in:  21.302764892578125
Exciton, frame 6245 ran in:  22.396183729171753
Exciton, frame 6246 ran in:  21.321780681610107
Exciton, frame 6247 ran in:  19.55135440826416
Exciton, frame 6248 ran in:  22.15567684173584
Exciton, frame 6249 ran in:  17.061163663864136
Exciton, frame 6250 ran in:  21.973323583602905
Exciton, frame 6251 ran in:  20.20940327644348
Exciton, frame 6252 ran in:  19.75890040397644
Exciton, frame 6253 ran in:  21.869513750076294
Exciton, frame 6254 ran in:  20.972009658813477
Exciton, frame 6255 ran in:  21.678380250930786
Exciton, frame 6256 ran in:  22.04228925704956
Exciton, frame 6257 ran in:  20.79889416694641
Exciton, frame 6258 ran in:  21.291380167007446
Exciton, frame 6259 ran in:  17.10198450088501
Exciton, frame 6260 ran in:  22.680339574813843
Exciton, frame 6261 ran in:  22.084448099136353
Exciton, frame 6262 ran in:  22.12815523147583
Exciton, frame 6263 ran in:  22.402467489242554
Exciton, frame 6264 ran in:  22.091793537139893
Exciton, frame 6265 ran in:  18.829131841659546
Exciton, frame 6266 ran in:  22.139729261398315
Exciton, frame 6267 ran in:  21.773313999176025
Exciton, frame 6268 ran in:  21.69403862953186
Exciton, frame 6269 ran in:  23.084147214889526
Exciton, frame 6270 ran in:  20.765787363052368
Exciton, frame 6271 ran in:  21.934755325317383
Exciton, frame 6272 ran in:  18.61366868019104
Exciton, frame 6273 ran in:  20.02028799057007
Exciton, frame 6274 ran in:  16.901726007461548
Exciton, frame 6275 ran in:  20.34290075302124
Exciton, frame 6276 ran in:  19.50318479537964
Exciton, frame 6277 ran in:  16.921216011047363
Exciton, frame 6278 ran in:  20.719115018844604
Exciton, frame 6279 ran in:  22.214232683181763
Exciton, frame 6280 ran in:  19.446571350097656
Exciton, frame 6281 ran in:  21.992196798324585
Exciton, frame 6282 ran in:  17.37540030479431
Exciton, frame 6283 ran in:  18.20305609703064
Exciton, frame 6284 ran in:  21.994389533996582
Exciton, frame 6285 ran in:  20.915072917938232
Exciton, frame 6286 ran in:  17.048601865768433
Exciton, frame 6287 ran in:  22.990330457687378
Exciton, frame 6288 ran in:  20.431235790252686
Exciton, frame 6289 ran in:  21.200811862945557
Exciton, frame 6290 ran in:  22.30597996711731
Exciton, frame 6291 ran in:  21.776228427886963
Exciton, frame 6292 ran in:  21.759833574295044
Exciton, frame 6293 ran in:  20.595574855804443
Exciton, frame 6294 ran in:  17.2067654132843
Exciton, frame 6295 ran in:  23.3090181350708
Exciton, frame 6296 ran in:  21.83706498146057
Exciton, frame 6297 ran in:  18.721279621124268
Exciton, frame 6298 ran in:  22.609513759613037
Exciton, frame 6299 ran in:  19.706037282943726
Exciton, frame 6300 ran in:  21.345025062561035
Exciton, frame 6301 ran in:  21.71770191192627
Exciton, frame 6302 ran in:  18.388368129730225
Exciton, frame 6303 ran in:  17.14448046684265
Exciton, frame 6304 ran in:  21.786820888519287
Exciton, frame 6305 ran in:  18.42356252670288
Exciton, frame 6306 ran in:  22.321495532989502
Exciton, frame 6307 ran in:  21.450222730636597
Exciton, frame 6308 ran in:  22.753554582595825
Exciton, frame 6309 ran in:  22.56593370437622
Exciton, frame 6310 ran in:  22.96358060836792
Exciton, frame 6311 ran in:  19.05162477493286
Exciton, frame 6312 ran in:  22.905333757400513
Exciton, frame 6313 ran in:  21.526140213012695
Exciton, frame 6314 ran in:  22.688478231430054
Exciton, frame 6315 ran in:  22.631925106048584
Exciton, frame 6316 ran in:  21.156264305114746
Exciton, frame 6317 ran in:  21.242077350616455
Exciton, frame 6318 ran in:  18.66010880470276
Exciton, frame 6319 ran in:  18.27526354789734
Exciton, frame 6320 ran in:  23.3470675945282
Exciton, frame 6321 ran in:  21.693718671798706
Exciton, frame 6322 ran in:  21.757183074951172
Exciton, frame 6323 ran in:  20.972634077072144
Exciton, frame 6324 ran in:  16.998903512954712
Exciton, frame 6325 ran in:  22.53091263771057
Exciton, frame 6326 ran in:  17.039565086364746
Exciton, frame 6327 ran in:  22.73073410987854
Exciton, frame 6328 ran in:  19.54298424720764
Exciton, frame 6329 ran in:  21.089759588241577
Exciton, frame 6330 ran in:  22.316983699798584
Exciton, frame 6331 ran in:  22.073556661605835
Exciton, frame 6332 ran in:  21.557724237442017
Exciton, frame 6333 ran in:  20.3150372505188
Exciton, frame 6334 ran in:  18.27729344367981
Exciton, frame 6335 ran in:  21.459418773651123
Exciton, frame 6336 ran in:  22.129163026809692
Exciton, frame 6337 ran in:  17.01587700843811
Exciton, frame 6338 ran in:  19.073485136032104
Exciton, frame 6339 ran in:  19.290266513824463
Exciton, frame 6340 ran in:  19.69594407081604
Exciton, frame 6341 ran in:  21.733035802841187
Exciton, frame 6342 ran in:  21.18575429916382
Exciton, frame 6343 ran in:  21.970372915267944
Exciton, frame 6344 ran in:  19.32663059234619
Exciton, frame 6345 ran in:  22.25375485420227
Exciton, frame 6346 ran in:  22.36972165107727
Exciton, frame 6347 ran in:  20.8577823638916
Exciton, frame 6348 ran in:  20.336650848388672
Exciton, frame 6349 ran in:  18.956733226776123
Exciton, frame 6350 ran in:  22.4625141620636
Exciton, frame 6351 ran in:  21.80088496208191
Exciton, frame 6352 ran in:  22.660411834716797
Exciton, frame 6353 ran in:  19.5210063457489
Exciton, frame 6354 ran in:  22.719820737838745
Exciton, frame 6355 ran in:  21.43034839630127
Exciton, frame 6356 ran in:  22.115774631500244
Exciton, frame 6357 ran in:  22.09758448600769
Exciton, frame 6358 ran in:  21.074684619903564
Exciton, frame 6359 ran in:  23.085646390914917
Exciton, frame 6360 ran in:  22.57198190689087
Exciton, frame 6361 ran in:  22.917311191558838
Exciton, frame 6362 ran in:  22.318060874938965
Exciton, frame 6363 ran in:  22.488151788711548
Exciton, frame 6364 ran in:  23.89352297782898
Exciton, frame 6365 ran in:  23.036815643310547
Exciton, frame 6366 ran in:  21.457884788513184
Exciton, frame 6367 ran in:  22.419304609298706
Exciton, frame 6368 ran in:  16.955625534057617
Exciton, frame 6369 ran in:  21.205086708068848
Exciton, frame 6370 ran in:  17.056180477142334
Exciton, frame 6371 ran in:  22.155457019805908
Exciton, frame 6372 ran in:  22.15442967414856
Exciton, frame 6373 ran in:  22.86147713661194
Exciton, frame 6374 ran in:  18.813788652420044
Exciton, frame 6375 ran in:  23.850972652435303
Exciton, frame 6376 ran in:  21.145223140716553
Exciton, frame 6377 ran in:  23.051036834716797
Exciton, frame 6378 ran in:  19.23914361000061
Exciton, frame 6379 ran in:  21.875420808792114
Exciton, frame 6380 ran in:  21.233213424682617
Exciton, frame 6381 ran in:  22.942478895187378
Exciton, frame 6382 ran in:  20.867912530899048
Exciton, frame 6383 ran in:  16.8985915184021
Exciton, frame 6384 ran in:  22.339491844177246
Exciton, frame 6385 ran in:  22.071019172668457
Exciton, frame 6386 ran in:  17.219711303710938
Exciton, frame 6387 ran in:  21.921417474746704
Exciton, frame 6388 ran in:  21.63146209716797
Exciton, frame 6389 ran in:  19.48228621482849
Exciton, frame 6390 ran in:  17.81870436668396
Exciton, frame 6391 ran in:  22.905830144882202
Exciton, frame 6392 ran in:  22.340927839279175
Exciton, frame 6393 ran in:  22.681087970733643
Exciton, frame 6394 ran in:  21.7500581741333
Exciton, frame 6395 ran in:  22.127431869506836
Exciton, frame 6396 ran in:  18.63156771659851
Exciton, frame 6397 ran in:  20.75610375404358
Exciton, frame 6398 ran in:  17.694201469421387
Exciton, frame 6399 ran in:  21.5126690864563
Exciton, frame 6400 ran in:  21.506900787353516
Exciton, frame 6401 ran in:  22.516433000564575
Exciton, frame 6402 ran in:  17.049099922180176
Exciton, frame 6403 ran in:  22.38999342918396
Exciton, frame 6404 ran in:  22.666234731674194
Exciton, frame 6405 ran in:  22.3179931640625
Exciton, frame 6406 ran in:  23.191609859466553
Exciton, frame 6407 ran in:  22.421748876571655
Exciton, frame 6408 ran in:  23.17297625541687
Exciton, frame 6409 ran in:  18.443383932113647
Exciton, frame 6410 ran in:  22.304905891418457
Exciton, frame 6411 ran in:  22.995544910430908
Exciton, frame 6412 ran in:  21.351028203964233
Exciton, frame 6413 ran in:  20.375635862350464
Exciton, frame 6414 ran in:  22.443946361541748
Exciton, frame 6415 ran in:  18.141854524612427
Exciton, frame 6416 ran in:  20.998361110687256
Exciton, frame 6417 ran in:  20.800721883773804
Exciton, frame 6418 ran in:  20.612627267837524
Exciton, frame 6419 ran in:  22.124835968017578
Exciton, frame 6420 ran in:  22.187409162521362
Exciton, frame 6421 ran in:  22.82905650138855
Exciton, frame 6422 ran in:  21.936225652694702
Exciton, frame 6423 ran in:  17.860514402389526
Exciton, frame 6424 ran in:  21.941063165664673
Exciton, frame 6425 ran in:  21.05018901824951
Exciton, frame 6426 ran in:  21.878085136413574
Exciton, frame 6427 ran in:  23.194966077804565
Exciton, frame 6428 ran in:  17.529890775680542
Exciton, frame 6429 ran in:  20.282606840133667
Exciton, frame 6430 ran in:  21.360084533691406
Exciton, frame 6431 ran in:  21.361828565597534
Exciton, frame 6432 ran in:  21.211500883102417
Exciton, frame 6433 ran in:  18.1339910030365
Exciton, frame 6434 ran in:  21.303961277008057
Exciton, frame 6435 ran in:  18.74683427810669
Exciton, frame 6436 ran in:  22.786401987075806
Exciton, frame 6437 ran in:  17.129014015197754
Exciton, frame 6438 ran in:  21.994439363479614
Exciton, frame 6439 ran in:  18.47280979156494
Exciton, frame 6440 ran in:  19.752710103988647
Exciton, frame 6441 ran in:  19.578278303146362
Exciton, frame 6442 ran in:  23.137016534805298
