cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18199 ran in:  14.347002983093262
Exciton, frame 18200 ran in:  14.186998128890991
Exciton, frame 18201 ran in:  14.364251613616943
Exciton, frame 18202 ran in:  14.209976196289062
Exciton, frame 18203 ran in:  14.339580059051514
Exciton, frame 18204 ran in:  14.250487565994263
Exciton, frame 18205 ran in:  13.891822814941406
Exciton, frame 18206 ran in:  14.192485332489014
Exciton, frame 18207 ran in:  14.39830994606018
Exciton, frame 18208 ran in:  14.196030378341675
Exciton, frame 18209 ran in:  14.292251110076904
Exciton, frame 18210 ran in:  14.281575679779053
Exciton, frame 18211 ran in:  14.457056522369385
Exciton, frame 18212 ran in:  14.437147378921509
Exciton, frame 18213 ran in:  14.11919355392456
Exciton, frame 18214 ran in:  14.231583833694458
Exciton, frame 18215 ran in:  13.983548164367676
Exciton, frame 18216 ran in:  14.26479458808899
Exciton, frame 18217 ran in:  14.295933485031128
Exciton, frame 18218 ran in:  14.497719287872314
Exciton, frame 18219 ran in:  14.342252016067505
Exciton, frame 18220 ran in:  14.166408777236938
Exciton, frame 18221 ran in:  14.15816617012024
Exciton, frame 18222 ran in:  14.19040822982788
Exciton, frame 18223 ran in:  14.13804841041565
Exciton, frame 18224 ran in:  14.243771076202393
Exciton, frame 18225 ran in:  14.148056030273438
Exciton, frame 18226 ran in:  14.025630474090576
Exciton, frame 18227 ran in:  14.242700576782227
Exciton, frame 18228 ran in:  14.328792333602905
Exciton, frame 18229 ran in:  14.290445327758789
Exciton, frame 18230 ran in:  14.290506839752197
Exciton, frame 18231 ran in:  14.128998756408691
Exciton, frame 18232 ran in:  14.499841928482056
Exciton, frame 18233 ran in:  14.380330085754395
Exciton, frame 18234 ran in:  14.467885494232178
Exciton, frame 18235 ran in:  14.467524766921997
Exciton, frame 18236 ran in:  14.240411758422852
Exciton, frame 18237 ran in:  14.102590084075928
Exciton, frame 18238 ran in:  14.158194780349731
Exciton, frame 18239 ran in:  14.259323835372925
Exciton, frame 18240 ran in:  14.053322792053223
Exciton, frame 18241 ran in:  14.420527696609497
Exciton, frame 18242 ran in:  14.19057321548462
Exciton, frame 18243 ran in:  14.213757276535034
Exciton, frame 18244 ran in:  14.17470121383667
