cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.747597 secs
Exciton, frame 33293 ran in:  11.659150123596191
Exciton, frame 33294 ran in:  11.718870162963867
Exciton, frame 33295 ran in:  11.719288110733032
Exciton, frame 33296 ran in:  12.142096996307373
Exciton, frame 33297 ran in:  11.945924758911133
Exciton, frame 33298 ran in:  11.719332218170166
Exciton, frame 33299 ran in:  12.039292573928833
Exciton, frame 33300 ran in:  11.770036697387695
Exciton, frame 33301 ran in:  11.568031549453735
Exciton, frame 33302 ran in:  11.860288381576538
Exciton, frame 33303 ran in:  11.976820468902588
Exciton, frame 33304 ran in:  12.101358652114868
Exciton, frame 33305 ran in:  12.226312637329102
Exciton, frame 33306 ran in:  13.350449800491333
Exciton, frame 33307 ran in:  11.899760961532593
Exciton, frame 33308 ran in:  12.311368465423584
Exciton, frame 33309 ran in:  11.872015237808228
Exciton, frame 33310 ran in:  11.734536409378052
Exciton, frame 33311 ran in:  11.760585308074951
Exciton, frame 33312 ran in:  12.346122026443481
Exciton, frame 33313 ran in:  12.354283571243286
Exciton, frame 33314 ran in:  12.055182695388794
Exciton, frame 33315 ran in:  11.775532007217407
Exciton, frame 33316 ran in:  12.122962236404419
Exciton, frame 33317 ran in:  11.89368724822998
Exciton, frame 33318 ran in:  11.892278909683228
Exciton, frame 33319 ran in:  11.89952039718628
Exciton, frame 33320 ran in:  11.980681657791138
Exciton, frame 33321 ran in:  11.89145565032959
Exciton, frame 33322 ran in:  11.85136103630066
Exciton, frame 33323 ran in:  12.022578001022339
Exciton, frame 33324 ran in:  11.896764993667603
Exciton, frame 33325 ran in:  11.824476480484009
Exciton, frame 33326 ran in:  11.953862190246582
Exciton, frame 33327 ran in:  12.14622163772583
Exciton, frame 33328 ran in:  13.050822973251343
Exciton, frame 33329 ran in:  11.827216148376465
Exciton, frame 33330 ran in:  11.727346897125244
Exciton, frame 33331 ran in:  11.836798906326294
Exciton, frame 33332 ran in:  11.637158393859863
Exciton, frame 33333 ran in:  12.075043201446533
Exciton, frame 33334 ran in:  12.028271436691284
Exciton, frame 33335 ran in:  11.978037357330322
Exciton, frame 33336 ran in:  11.711632251739502
Exciton, frame 33337 ran in:  11.808749437332153
Exciton, frame 33338 ran in:  12.068859577178955
Exciton, frame 33339 ran in:  11.824504137039185
Exciton, frame 33340 ran in:  12.086690187454224
Exciton, frame 33341 ran in:  11.813755512237549
Exciton, frame 33342 ran in:  11.987579822540283
Exciton, frame 33343 ran in:  11.791833400726318
Exciton, frame 33344 ran in:  12.275703191757202
Exciton, frame 33345 ran in:  12.363221645355225
Exciton, frame 33346 ran in:  11.796673059463501
Exciton, frame 33347 ran in:  11.659026622772217
Exciton, frame 33348 ran in:  12.096247673034668
Exciton, frame 33349 ran in:  11.749533653259277
Exciton, frame 33350 ran in:  11.981842756271362
Exciton, frame 33351 ran in:  11.751136779785156
Exciton, frame 33352 ran in:  12.134074449539185
Exciton, frame 33353 ran in:  11.873173952102661
Exciton, frame 33354 ran in:  12.163090705871582
Exciton, frame 33355 ran in:  12.016353368759155
Exciton, frame 33356 ran in:  11.865972995758057
Exciton, frame 33357 ran in:  12.249662637710571
Exciton, frame 33358 ran in:  12.0513596534729
Exciton, frame 33359 ran in:  12.222305059432983
Exciton, frame 33360 ran in:  11.963485479354858
Exciton, frame 33361 ran in:  11.89996886253357
Exciton, frame 33362 ran in:  12.10754680633545
Exciton, frame 33363 ran in:  11.984330892562866
Exciton, frame 33364 ran in:  11.793548107147217
Exciton, frame 33365 ran in:  11.960822343826294
Exciton, frame 33366 ran in:  11.939851522445679
Exciton, frame 33367 ran in:  11.816391468048096
Exciton, frame 33368 ran in:  11.597110986709595
Exciton, frame 33369 ran in:  11.67286992073059
Exciton, frame 33370 ran in:  11.723214149475098
Exciton, frame 33371 ran in:  11.946833372116089
Exciton, frame 33372 ran in:  11.7804536819458
Exciton, frame 33373 ran in:  11.837413787841797
Exciton, frame 33374 ran in:  12.011591911315918
Exciton, frame 33375 ran in:  12.060050249099731
Exciton, frame 33376 ran in:  11.81651782989502
Exciton, frame 33377 ran in:  12.040424585342407
Exciton, frame 33378 ran in:  11.750959157943726
Exciton, frame 33379 ran in:  11.820452451705933
Exciton, frame 33380 ran in:  11.744104623794556
Exciton, frame 33381 ran in:  12.008790493011475
Exciton, frame 33382 ran in:  11.584011316299438
Exciton, frame 33383 ran in:  11.876267194747925
Exciton, frame 33384 ran in:  12.048700094223022
Exciton, frame 33385 ran in:  12.26553726196289
Exciton, frame 33386 ran in:  11.688196182250977
Exciton, frame 33387 ran in:  12.065089702606201
Exciton, frame 33388 ran in:  12.257933139801025
Exciton, frame 33389 ran in:  11.851163148880005
Exciton, frame 33390 ran in:  11.928619861602783
Exciton, frame 33391 ran in:  12.049921035766602
Exciton, frame 33392 ran in:  12.067832946777344
Exciton, frame 33393 ran in:  12.140553712844849
Exciton, frame 33394 ran in:  11.831722736358643
Exciton, frame 33395 ran in:  12.084525108337402
Exciton, frame 33396 ran in:  11.843262195587158
Exciton, frame 33397 ran in:  11.837772846221924
Exciton, frame 33398 ran in:  12.159867286682129
Exciton, frame 33399 ran in:  11.900280952453613
Exciton, frame 33400 ran in:  12.139195442199707
Exciton, frame 33401 ran in:  12.591623067855835
Exciton, frame 33402 ran in:  12.259193658828735
Exciton, frame 33403 ran in:  11.631395101547241
Exciton, frame 33404 ran in:  11.895904779434204
Exciton, frame 33405 ran in:  11.842219591140747
Exciton, frame 33406 ran in:  11.960080862045288
Exciton, frame 33407 ran in:  11.936894178390503
Exciton, frame 33408 ran in:  12.103135108947754
Exciton, frame 33409 ran in:  11.90165901184082
Exciton, frame 33410 ran in:  12.22245717048645
Exciton, frame 33411 ran in:  12.218997716903687
Exciton, frame 33412 ran in:  11.88897442817688
Exciton, frame 33413 ran in:  11.889404296875
Exciton, frame 33414 ran in:  12.080983877182007
Exciton, frame 33415 ran in:  12.000291109085083
Exciton, frame 33416 ran in:  11.924446821212769
Exciton, frame 33417 ran in:  12.170331001281738
Exciton, frame 33418 ran in:  12.066404342651367
Exciton, frame 33419 ran in:  11.981250762939453
Exciton, frame 33420 ran in:  11.996125936508179
Exciton, frame 33421 ran in:  12.279297828674316
Exciton, frame 33422 ran in:  11.771190404891968
Exciton, frame 33423 ran in:  11.845528602600098
Exciton, frame 33424 ran in:  12.22734546661377
Exciton, frame 33425 ran in:  11.973792791366577
Exciton, frame 33426 ran in:  11.904559135437012
Exciton, frame 33427 ran in:  11.822213888168335
Exciton, frame 33428 ran in:  12.13926076889038
Exciton, frame 33429 ran in:  12.00650429725647
Exciton, frame 33430 ran in:  11.782534122467041
Exciton, frame 33431 ran in:  12.203180313110352
Exciton, frame 33432 ran in:  11.708997249603271
