cpu-bind=MASK - bp1-compute095, task 4294967295 4294967295 [0]: mask 0x3fcfff3fcfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.683531 secs
Exciton, frame 39209 ran in:  12.874070167541504
Exciton, frame 39210 ran in:  12.195327997207642
Exciton, frame 39211 ran in:  11.91603970527649
Exciton, frame 39212 ran in:  11.86423921585083
Exciton, frame 39213 ran in:  12.23634672164917
Exciton, frame 39214 ran in:  11.55241060256958
Exciton, frame 39215 ran in:  11.718083620071411
Exciton, frame 39216 ran in:  12.173893690109253
Exciton, frame 39217 ran in:  11.64432406425476
Exciton, frame 39218 ran in:  11.715803146362305
Exciton, frame 39219 ran in:  11.74178147315979
Exciton, frame 39220 ran in:  12.203381299972534
Exciton, frame 39221 ran in:  11.888546705245972
Exciton, frame 39222 ran in:  12.161448955535889
Exciton, frame 39223 ran in:  11.785708665847778
Exciton, frame 39224 ran in:  11.708970546722412
Exciton, frame 39225 ran in:  11.816964149475098
Exciton, frame 39226 ran in:  11.923426866531372
Exciton, frame 39227 ran in:  11.545783042907715
Exciton, frame 39228 ran in:  11.629886627197266
Exciton, frame 39229 ran in:  12.079320430755615
Exciton, frame 39230 ran in:  11.758737802505493
Exciton, frame 39231 ran in:  12.30886960029602
Exciton, frame 39232 ran in:  11.676601648330688
Exciton, frame 39233 ran in:  11.803479671478271
Exciton, frame 39234 ran in:  11.638960599899292
Exciton, frame 39235 ran in:  11.96641755104065
Exciton, frame 39236 ran in:  11.85613203048706
Exciton, frame 39237 ran in:  11.966166019439697
Exciton, frame 39238 ran in:  12.23610258102417
Exciton, frame 39239 ran in:  11.921130418777466
Exciton, frame 39240 ran in:  12.289526462554932
Exciton, frame 39241 ran in:  12.08345079421997
Exciton, frame 39242 ran in:  12.306518077850342
Exciton, frame 39243 ran in:  11.64402151107788
Exciton, frame 39244 ran in:  12.011775970458984
Exciton, frame 39245 ran in:  11.795484781265259
Exciton, frame 39246 ran in:  12.22030782699585
Exciton, frame 39247 ran in:  12.011771202087402
Exciton, frame 39248 ran in:  12.022265195846558
Exciton, frame 39249 ran in:  11.398568630218506
Exciton, frame 39250 ran in:  11.735052347183228
Exciton, frame 39251 ran in:  11.965599775314331
Exciton, frame 39252 ran in:  11.883476972579956
Exciton, frame 39253 ran in:  11.997714281082153
Exciton, frame 39254 ran in:  11.947747945785522
Exciton, frame 39255 ran in:  11.415731191635132
Exciton, frame 39256 ran in:  11.683348655700684
Exciton, frame 39257 ran in:  11.58474850654602
Exciton, frame 39258 ran in:  12.344189167022705
Exciton, frame 39259 ran in:  12.082383632659912
Exciton, frame 39260 ran in:  11.811177492141724
Exciton, frame 39261 ran in:  11.79114580154419
Exciton, frame 39262 ran in:  12.467304468154907
Exciton, frame 39263 ran in:  12.146517515182495
Exciton, frame 39264 ran in:  11.675252914428711
Exciton, frame 39265 ran in:  11.796661376953125
Exciton, frame 39266 ran in:  12.074430465698242
Exciton, frame 39267 ran in:  11.967323541641235
Exciton, frame 39268 ran in:  11.655254602432251
Exciton, frame 39269 ran in:  12.052179098129272
Exciton, frame 39270 ran in:  11.699026584625244
Exciton, frame 39271 ran in:  12.322564363479614
Exciton, frame 39272 ran in:  12.125261306762695
Exciton, frame 39273 ran in:  12.265453577041626
Exciton, frame 39274 ran in:  12.040440320968628
Exciton, frame 39275 ran in:  11.805574417114258
Exciton, frame 39276 ran in:  11.850374460220337
Exciton, frame 39277 ran in:  11.861719131469727
Exciton, frame 39278 ran in:  12.267154932022095
Exciton, frame 39279 ran in:  11.909727811813354
Exciton, frame 39280 ran in:  11.773225545883179
Exciton, frame 39281 ran in:  11.830620527267456
Exciton, frame 39282 ran in:  11.76786994934082
Exciton, frame 39283 ran in:  12.166587352752686
Exciton, frame 39284 ran in:  11.779075860977173
Exciton, frame 39285 ran in:  12.356968879699707
Exciton, frame 39286 ran in:  11.982182264328003
Exciton, frame 39287 ran in:  11.664323568344116
Exciton, frame 39288 ran in:  11.9603111743927
Exciton, frame 39289 ran in:  12.082237005233765
Exciton, frame 39290 ran in:  11.855130672454834
Exciton, frame 39291 ran in:  11.841474533081055
Exciton, frame 39292 ran in:  11.660196542739868
Exciton, frame 39293 ran in:  11.939093589782715
Exciton, frame 39294 ran in:  11.859403610229492
Exciton, frame 39295 ran in:  12.044840574264526
Exciton, frame 39296 ran in:  12.144731283187866
Exciton, frame 39297 ran in:  12.699891567230225
Exciton, frame 39298 ran in:  11.987481355667114
Exciton, frame 39299 ran in:  11.896713733673096
Exciton, frame 39300 ran in:  11.84453821182251
Exciton, frame 39301 ran in:  12.264567375183105
Exciton, frame 39302 ran in:  11.887385129928589
Exciton, frame 39303 ran in:  12.074540853500366
Exciton, frame 39304 ran in:  11.530491828918457
Exciton, frame 39305 ran in:  11.885885000228882
Exciton, frame 39306 ran in:  12.21371054649353
Exciton, frame 39307 ran in:  11.926826477050781
Exciton, frame 39308 ran in:  11.99683690071106
Exciton, frame 39309 ran in:  12.093785047531128
Exciton, frame 39310 ran in:  12.124862909317017
Exciton, frame 39311 ran in:  12.252365589141846
Exciton, frame 39312 ran in:  11.62776255607605
Exciton, frame 39313 ran in:  12.220959663391113
Exciton, frame 39314 ran in:  12.019448518753052
Exciton, frame 39315 ran in:  12.49091911315918
Exciton, frame 39316 ran in:  11.875569343566895
Exciton, frame 39317 ran in:  12.102628469467163
Exciton, frame 39318 ran in:  12.18258786201477
Exciton, frame 39319 ran in:  12.197001218795776
Exciton, frame 39320 ran in:  12.246671438217163
Exciton, frame 39321 ran in:  11.882439136505127
Exciton, frame 39322 ran in:  11.612587213516235
Exciton, frame 39323 ran in:  12.117409229278564
Exciton, frame 39324 ran in:  11.828352928161621
Exciton, frame 39325 ran in:  12.201227903366089
Exciton, frame 39326 ran in:  12.187233686447144
Exciton, frame 39327 ran in:  11.775818586349487
Exciton, frame 39328 ran in:  11.691517114639282
Exciton, frame 39329 ran in:  11.755516290664673
Exciton, frame 39330 ran in:  12.264585733413696
Exciton, frame 39331 ran in:  11.987945318222046
Exciton, frame 39332 ran in:  12.314603328704834
Exciton, frame 39333 ran in:  11.98762845993042
Exciton, frame 39334 ran in:  12.348697185516357
Exciton, frame 39335 ran in:  11.854333400726318
Exciton, frame 39336 ran in:  12.146405458450317
Exciton, frame 39337 ran in:  11.659037828445435
Exciton, frame 39338 ran in:  11.813282012939453
Exciton, frame 39339 ran in:  12.040645360946655
Exciton, frame 39340 ran in:  11.591287612915039
Exciton, frame 39341 ran in:  12.056962251663208
Exciton, frame 39342 ran in:  11.851146697998047
Exciton, frame 39343 ran in:  11.855117082595825
Exciton, frame 39344 ran in:  12.774742603302002
Exciton, frame 39345 ran in:  11.874002695083618
Exciton, frame 39346 ran in:  11.95195198059082
Exciton, frame 39347 ran in:  11.832591533660889
Exciton, frame 39348 ran in:  11.852678775787354
Exciton, frame 39349 ran in:  11.868524551391602
Exciton, frame 39350 ran in:  11.963121175765991
Exciton, frame 39351 ran in:  12.04692530632019
Exciton, frame 39352 ran in:  11.977303981781006
Exciton, frame 39353 ran in:  12.166617393493652
Exciton, frame 39354 ran in:  12.020236730575562
Exciton, frame 39355 ran in:  11.96897268295288
Exciton, frame 39356 ran in:  12.115057468414307
Exciton, frame 39357 ran in:  12.081407070159912
Exciton, frame 39358 ran in:  12.165970802307129
Exciton, frame 39359 ran in:  11.898471593856812
Exciton, frame 39360 ran in:  11.955455780029297
Exciton, frame 39361 ran in:  11.62185001373291
Exciton, frame 39362 ran in:  11.987095594406128
Exciton, frame 39363 ran in:  12.092042207717896
Exciton, frame 39364 ran in:  12.029610872268677
Exciton, frame 39365 ran in:  12.016239881515503
Exciton, frame 39366 ran in:  11.827986478805542
Exciton, frame 39367 ran in:  12.054266214370728
Exciton, frame 39368 ran in:  12.17918848991394
Exciton, frame 39369 ran in:  12.027914762496948
Exciton, frame 39370 ran in:  12.080082654953003
Exciton, frame 39371 ran in:  11.786075115203857
Exciton, frame 39372 ran in:  11.544604063034058
Exciton, frame 39373 ran in:  11.766527891159058
Exciton, frame 39374 ran in:  11.940407991409302
Exciton, frame 39375 ran in:  12.229788064956665
Exciton, frame 39376 ran in:  11.999140739440918
Exciton, frame 39377 ran in:  11.95931363105774
Exciton, frame 39378 ran in:  11.808784008026123
Exciton, frame 39379 ran in:  12.140376091003418
Exciton, frame 39380 ran in:  11.800721645355225
Exciton, frame 39381 ran in:  11.892102718353271
Exciton, frame 39382 ran in:  12.413468837738037
Exciton, frame 39383 ran in:  12.01390266418457
Exciton, frame 39384 ran in:  11.550555229187012
Exciton, frame 39385 ran in:  12.034144878387451
Exciton, frame 39386 ran in:  11.968910217285156
Exciton, frame 39387 ran in:  12.09496521949768
Exciton, frame 39388 ran in:  12.46774435043335
Exciton, frame 39389 ran in:  12.146963834762573
Exciton, frame 39390 ran in:  12.244961738586426
Exciton, frame 39391 ran in:  12.243462085723877
Exciton, frame 39392 ran in:  12.002822875976562
Exciton, frame 39393 ran in:  12.26147985458374
Exciton, frame 39394 ran in:  11.879452466964722
Exciton, frame 39395 ran in:  11.992589712142944
Exciton, frame 39396 ran in:  12.055426836013794
Exciton, frame 39397 ran in:  12.101019620895386
Exciton, frame 39398 ran in:  11.862539768218994
Exciton, frame 39399 ran in:  11.908767700195312
Exciton, frame 39400 ran in:  11.882127285003662
Exciton, frame 39401 ran in:  12.242635726928711
Exciton, frame 39402 ran in:  11.677427291870117
Exciton, frame 39403 ran in:  11.69492244720459
Exciton, frame 39404 ran in:  12.074563026428223
Exciton, frame 39405 ran in:  11.87456750869751
Exciton, frame 39406 ran in:  11.664676427841187
Exciton, frame 39407 ran in:  11.981427192687988
Exciton, frame 39408 ran in:  12.020562410354614
Exciton, frame 39409 ran in:  11.936192512512207
Exciton, frame 39410 ran in:  12.103111982345581
Exciton, frame 39411 ran in:  12.189123392105103
Exciton, frame 39412 ran in:  11.872559547424316
Exciton, frame 39413 ran in:  11.77823257446289
Exciton, frame 39414 ran in:  11.956759214401245
Exciton, frame 39415 ran in:  12.368064880371094
Exciton, frame 39416 ran in:  12.019848108291626
Exciton, frame 39417 ran in:  12.226951360702515
Exciton, frame 39418 ran in:  12.28279423713684
Exciton, frame 39419 ran in:  11.894173622131348
Exciton, frame 39420 ran in:  11.932565212249756
Exciton, frame 39421 ran in:  11.59211540222168
Exciton, frame 39422 ran in:  11.541038274765015
Exciton, frame 39423 ran in:  12.10693883895874
Exciton, frame 39424 ran in:  11.817866086959839
Exciton, frame 39425 ran in:  11.76048231124878
Exciton, frame 39426 ran in:  11.685832738876343
Exciton, frame 39427 ran in:  12.001398086547852
Exciton, frame 39428 ran in:  11.785809516906738
Exciton, frame 39429 ran in:  11.993741750717163
Exciton, frame 39430 ran in:  11.880820035934448
Exciton, frame 39431 ran in:  11.783405065536499
Exciton, frame 39432 ran in:  11.995976686477661
Exciton, frame 39433 ran in:  11.677019119262695
Exciton, frame 39434 ran in:  11.878881454467773
Exciton, frame 39435 ran in:  12.389710187911987
Exciton, frame 39436 ran in:  12.055095911026001
Exciton, frame 39437 ran in:  12.034586906433105
Exciton, frame 39438 ran in:  11.718026638031006
Exciton, frame 39439 ran in:  11.684046268463135
Exciton, frame 39440 ran in:  12.057521343231201
Exciton, frame 39441 ran in:  11.76187777519226
Exciton, frame 39442 ran in:  12.332302808761597
Exciton, frame 39443 ran in:  12.06493878364563
Exciton, frame 39444 ran in:  12.003764152526855
Exciton, frame 39445 ran in:  11.888000011444092
Exciton, frame 39446 ran in:  11.579720258712769
Exciton, frame 39447 ran in:  11.9339759349823
Exciton, frame 39448 ran in:  11.843488693237305
Exciton, frame 39449 ran in:  12.461677312850952
Exciton, frame 39450 ran in:  11.917207479476929
Exciton, frame 39451 ran in:  12.004908561706543
Exciton, frame 39452 ran in:  11.88810420036316
Exciton, frame 39453 ran in:  11.6772940158844
Exciton, frame 39454 ran in:  12.369227647781372
Exciton, frame 39455 ran in:  11.87191128730774
Exciton, frame 39456 ran in:  12.473236799240112
Exciton, frame 39457 ran in:  12.465176343917847
Exciton, frame 39458 ran in:  11.482848405838013
Exciton, frame 39459 ran in:  11.920758724212646
Exciton, frame 39460 ran in:  11.711886167526245
Exciton, frame 39461 ran in:  11.961586236953735
Exciton, frame 39462 ran in:  11.687602996826172
Exciton, frame 39463 ran in:  12.073047876358032
Exciton, frame 39464 ran in:  11.67679476737976
Exciton, frame 39465 ran in:  12.034327983856201
Exciton, frame 39466 ran in:  11.723127841949463
Exciton, frame 39467 ran in:  11.969252586364746
Exciton, frame 39468 ran in:  11.702257633209229
Exciton, frame 39469 ran in:  11.474466800689697
Exciton, frame 39470 ran in:  11.803965330123901
Exciton, frame 39471 ran in:  12.400017499923706
Exciton, frame 39472 ran in:  11.894131183624268
Exciton, frame 39473 ran in:  11.917694330215454
Exciton, frame 39474 ran in:  11.998950719833374
Exciton, frame 39475 ran in:  11.74059009552002
Exciton, frame 39476 ran in:  11.632622718811035
Exciton, frame 39477 ran in:  11.975198745727539
Exciton, frame 39478 ran in:  12.198564291000366
Exciton, frame 39479 ran in:  12.18737506866455
Exciton, frame 39480 ran in:  11.854433298110962
Exciton, frame 39481 ran in:  11.923850059509277
Exciton, frame 39482 ran in:  12.062535762786865
Exciton, frame 39483 ran in:  12.855139017105103
Exciton, frame 39484 ran in:  12.142365217208862
Exciton, frame 39485 ran in:  11.699367761611938
Exciton, frame 39486 ran in:  11.774561166763306
Exciton, frame 39487 ran in:  11.749274730682373
Exciton, frame 39488 ran in:  12.223366260528564
Exciton, frame 39489 ran in:  12.123863458633423
Exciton, frame 39490 ran in:  12.42355227470398
Exciton, frame 39491 ran in:  11.905011415481567
Exciton, frame 39492 ran in:  12.418011903762817
Exciton, frame 39493 ran in:  11.659218788146973
Exciton, frame 39494 ran in:  12.029162645339966
Exciton, frame 39495 ran in:  11.790383338928223
Exciton, frame 39496 ran in:  12.204635381698608
Exciton, frame 39497 ran in:  11.492759227752686
Exciton, frame 39498 ran in:  12.218832969665527
Exciton, frame 39499 ran in:  11.922010898590088
Exciton, frame 39500 ran in:  12.144053936004639
Exciton, frame 39501 ran in:  12.16782283782959
Exciton, frame 39502 ran in:  11.825061082839966
Exciton, frame 39503 ran in:  11.674304008483887
