cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0x3f3fff003f3fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.103444 secs
Exciton, frame 87225 ran in:  13.181748628616333
Exciton, frame 87226 ran in:  13.524367332458496
Exciton, frame 87227 ran in:  13.043936252593994
Exciton, frame 87228 ran in:  13.190687656402588
Exciton, frame 87229 ran in:  13.136645555496216
Exciton, frame 87230 ran in:  13.109178066253662
Exciton, frame 87231 ran in:  12.970136165618896
Exciton, frame 87232 ran in:  13.146671295166016
Exciton, frame 87233 ran in:  12.984062910079956
Exciton, frame 87234 ran in:  13.120508670806885
Exciton, frame 87235 ran in:  13.210576057434082
Exciton, frame 87236 ran in:  13.29195499420166
Exciton, frame 87237 ran in:  12.882242918014526
Exciton, frame 87238 ran in:  13.37322449684143
Exciton, frame 87239 ran in:  13.053951263427734
Exciton, frame 87240 ran in:  13.119068622589111
Exciton, frame 87241 ran in:  13.062611818313599
Exciton, frame 87242 ran in:  12.903679132461548
Exciton, frame 87243 ran in:  12.938581705093384
Exciton, frame 87244 ran in:  13.321278810501099
Exciton, frame 87245 ran in:  13.252461194992065
Exciton, frame 87246 ran in:  13.048672676086426
Exciton, frame 87247 ran in:  12.857766151428223
Exciton, frame 87248 ran in:  13.164788722991943
Exciton, frame 87249 ran in:  13.252052307128906
Exciton, frame 87250 ran in:  13.388861656188965
Exciton, frame 87251 ran in:  13.167968988418579
Exciton, frame 87252 ran in:  13.083809614181519
Exciton, frame 87253 ran in:  13.649432182312012
Exciton, frame 87254 ran in:  13.188098907470703
Exciton, frame 87255 ran in:  13.04930853843689
Exciton, frame 87256 ran in:  13.091591119766235
Exciton, frame 87257 ran in:  13.146469116210938
Exciton, frame 87258 ran in:  13.182789325714111
Exciton, frame 87259 ran in:  12.978832483291626
Exciton, frame 87260 ran in:  13.086737871170044
Exciton, frame 87261 ran in:  12.799837350845337
Exciton, frame 87262 ran in:  12.743326187133789
Exciton, frame 87263 ran in:  13.040140628814697
Exciton, frame 87264 ran in:  12.99814248085022
Exciton, frame 87265 ran in:  13.056179761886597
Exciton, frame 87266 ran in:  13.361661195755005
Exciton, frame 87267 ran in:  13.06164836883545
Exciton, frame 87268 ran in:  13.268993139266968
Exciton, frame 87269 ran in:  13.158258438110352
Exciton, frame 87270 ran in:  12.992268562316895
Exciton, frame 87271 ran in:  12.894488334655762
Exciton, frame 87272 ran in:  13.10598874092102
Exciton, frame 87273 ran in:  13.069803237915039
Exciton, frame 87274 ran in:  12.79948878288269
Exciton, frame 87275 ran in:  13.288607597351074
Exciton, frame 87276 ran in:  13.12874174118042
Exciton, frame 87277 ran in:  12.999886989593506
Exciton, frame 87278 ran in:  13.561441898345947
Exciton, frame 87279 ran in:  13.276902198791504
Exciton, frame 87280 ran in:  13.30256462097168
Exciton, frame 87281 ran in:  13.081962823867798
Exciton, frame 87282 ran in:  13.192495822906494
Exciton, frame 87283 ran in:  13.309289693832397
Exciton, frame 87284 ran in:  13.34620189666748
Exciton, frame 87285 ran in:  13.229995727539062
Exciton, frame 87286 ran in:  13.681947708129883
Exciton, frame 87287 ran in:  13.224414825439453
Exciton, frame 87288 ran in:  13.39939832687378
Exciton, frame 87289 ran in:  12.790958881378174
Exciton, frame 87290 ran in:  12.99172854423523
Exciton, frame 87291 ran in:  13.069870710372925
Exciton, frame 87292 ran in:  13.238909721374512
Exciton, frame 87293 ran in:  13.1909818649292
Exciton, frame 87294 ran in:  13.423527240753174
Exciton, frame 87295 ran in:  13.124652862548828
Exciton, frame 87296 ran in:  13.099903583526611
Exciton, frame 87297 ran in:  13.255152702331543
Exciton, frame 87298 ran in:  13.087350130081177
Exciton, frame 87299 ran in:  13.207926750183105
Exciton, frame 87300 ran in:  13.150852680206299
Exciton, frame 87301 ran in:  12.670247316360474
Exciton, frame 87302 ran in:  13.270631074905396
Exciton, frame 87303 ran in:  12.845841884613037
Exciton, frame 87304 ran in:  13.209281206130981
Exciton, frame 87305 ran in:  13.408447265625
Exciton, frame 87306 ran in:  13.166726350784302
Exciton, frame 87307 ran in:  13.25755786895752
Exciton, frame 87308 ran in:  13.055477142333984
Exciton, frame 87309 ran in:  13.467558145523071
Exciton, frame 87310 ran in:  13.229584693908691
Exciton, frame 87311 ran in:  13.23403811454773
Exciton, frame 87312 ran in:  13.192426204681396
Exciton, frame 87313 ran in:  13.030057907104492
Exciton, frame 87314 ran in:  12.943230628967285
Exciton, frame 87315 ran in:  13.005898237228394
Exciton, frame 87316 ran in:  13.158143520355225
Exciton, frame 87317 ran in:  13.35217833518982
Exciton, frame 87318 ran in:  13.237552642822266
Exciton, frame 87319 ran in:  13.2536301612854
Exciton, frame 87320 ran in:  13.109914302825928
Exciton, frame 87321 ran in:  13.00460410118103
Exciton, frame 87322 ran in:  13.199344396591187
Exciton, frame 87323 ran in:  13.619957447052002
Exciton, frame 87324 ran in:  13.169760942459106
Exciton, frame 87325 ran in:  13.121047973632812
Exciton, frame 87326 ran in:  13.24237585067749
Exciton, frame 87327 ran in:  12.972365379333496
Exciton, frame 87328 ran in:  12.946877479553223
Exciton, frame 87329 ran in:  12.892431497573853
Exciton, frame 87330 ran in:  13.074816703796387
Exciton, frame 87331 ran in:  12.935363292694092
Exciton, frame 87332 ran in:  13.011678457260132
Exciton, frame 87333 ran in:  13.212766647338867
Exciton, frame 87334 ran in:  12.892363786697388
Exciton, frame 87335 ran in:  13.32729697227478
Exciton, frame 87336 ran in:  13.418747186660767
Exciton, frame 87337 ran in:  13.226069211959839
Exciton, frame 87338 ran in:  13.029947280883789
Exciton, frame 87339 ran in:  12.91508436203003
Exciton, frame 87340 ran in:  13.247302532196045
Exciton, frame 87341 ran in:  13.854738712310791
Exciton, frame 87342 ran in:  13.597573518753052
Exciton, frame 87343 ran in:  12.957721948623657
Exciton, frame 87344 ran in:  13.127732992172241
Exciton, frame 87345 ran in:  12.719943523406982
Exciton, frame 87346 ran in:  12.906208992004395
Exciton, frame 87347 ran in:  13.410654544830322
Exciton, frame 87348 ran in:  13.650398015975952
Exciton, frame 87349 ran in:  13.146216630935669
Exciton, frame 87350 ran in:  13.217694520950317
Exciton, frame 87351 ran in:  13.478760957717896
Exciton, frame 87352 ran in:  13.181304454803467
Exciton, frame 87353 ran in:  13.16853666305542
Exciton, frame 87354 ran in:  13.387275457382202
Exciton, frame 87355 ran in:  13.378238201141357
Exciton, frame 87356 ran in:  13.168630599975586
Exciton, frame 87357 ran in:  13.081591606140137
Exciton, frame 87358 ran in:  13.289878845214844
Exciton, frame 87359 ran in:  13.291422605514526
Exciton, frame 87360 ran in:  13.057515144348145
Exciton, frame 87361 ran in:  12.943257093429565
Exciton, frame 87362 ran in:  13.240694522857666
Exciton, frame 87363 ran in:  13.121548652648926
Exciton, frame 87364 ran in:  12.670158624649048
Exciton, frame 87365 ran in:  13.460391759872437
Exciton, frame 87366 ran in:  13.057978391647339
Exciton, frame 87367 ran in:  13.208884716033936
Exciton, frame 87368 ran in:  13.272599458694458
Exciton, frame 87369 ran in:  13.480039358139038
Exciton, frame 87370 ran in:  13.169591665267944
Exciton, frame 87371 ran in:  12.975381135940552
Exciton, frame 87372 ran in:  13.198110103607178
Exciton, frame 87373 ran in:  12.942350149154663
Exciton, frame 87374 ran in:  13.295743703842163
Exciton, frame 87375 ran in:  13.007200241088867
Exciton, frame 87376 ran in:  12.825423240661621
Exciton, frame 87377 ran in:  13.22635817527771
Exciton, frame 87378 ran in:  13.211153984069824
Exciton, frame 87379 ran in:  13.278151035308838
Exciton, frame 87380 ran in:  13.28758716583252
Exciton, frame 87381 ran in:  13.406888723373413
Exciton, frame 87382 ran in:  13.27637529373169
Exciton, frame 87383 ran in:  13.12507700920105
Exciton, frame 87384 ran in:  13.200424432754517
Exciton, frame 87385 ran in:  13.249887466430664
Exciton, frame 87386 ran in:  13.38356065750122
Exciton, frame 87387 ran in:  13.079738140106201
Exciton, frame 87388 ran in:  13.182716369628906
Exciton, frame 87389 ran in:  12.988815546035767
Exciton, frame 87390 ran in:  12.902343988418579
Exciton, frame 87391 ran in:  13.083059549331665
Exciton, frame 87392 ran in:  12.992859363555908
Exciton, frame 87393 ran in:  12.926704406738281
Exciton, frame 87394 ran in:  13.521231889724731
Exciton, frame 87395 ran in:  13.053832054138184
Exciton, frame 87396 ran in:  13.435429334640503
Exciton, frame 87397 ran in:  13.005867958068848
Exciton, frame 87398 ran in:  12.90890645980835
