cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9186 ran in:  12.782553672790527
Exciton, frame 9187 ran in:  12.334148168563843
Exciton, frame 9188 ran in:  12.393926858901978
Exciton, frame 9189 ran in:  12.092546224594116
Exciton, frame 9190 ran in:  12.340669870376587
Exciton, frame 9191 ran in:  12.19819164276123
Exciton, frame 9192 ran in:  12.922801971435547
Exciton, frame 9193 ran in:  12.418377161026001
Exciton, frame 9194 ran in:  12.915022850036621
Exciton, frame 9195 ran in:  11.982263565063477
Exciton, frame 9196 ran in:  12.672842025756836
Exciton, frame 9197 ran in:  12.30094051361084
Exciton, frame 9198 ran in:  12.840125560760498
Exciton, frame 9199 ran in:  12.318110942840576
Exciton, frame 9200 ran in:  12.71406888961792
Exciton, frame 9201 ran in:  12.301072120666504
Exciton, frame 9202 ran in:  12.693480968475342
Exciton, frame 9203 ran in:  12.010363578796387
Exciton, frame 9204 ran in:  12.90135645866394
Exciton, frame 9205 ran in:  12.631053447723389
Exciton, frame 9206 ran in:  12.908374786376953
Exciton, frame 9207 ran in:  12.396423578262329
Exciton, frame 9208 ran in:  12.465747594833374
Exciton, frame 9209 ran in:  12.7170090675354
Exciton, frame 9210 ran in:  12.173665046691895
Exciton, frame 9211 ran in:  12.333848714828491
Exciton, frame 9212 ran in:  12.029877662658691
Exciton, frame 9213 ran in:  12.24889874458313
Exciton, frame 9214 ran in:  12.60528016090393
Exciton, frame 9215 ran in:  12.11014175415039
Exciton, frame 9216 ran in:  12.052354574203491
Exciton, frame 9217 ran in:  12.844550609588623
Exciton, frame 9218 ran in:  12.644092321395874
Exciton, frame 9219 ran in:  12.785330772399902
Exciton, frame 9220 ran in:  12.194439172744751
Exciton, frame 9221 ran in:  12.226401329040527
Exciton, frame 9222 ran in:  12.718958854675293
Exciton, frame 9223 ran in:  12.021913766860962
Exciton, frame 9224 ran in:  12.195526838302612
Exciton, frame 9225 ran in:  12.095576763153076
Exciton, frame 9226 ran in:  11.962681293487549
Exciton, frame 9227 ran in:  12.459590435028076
Exciton, frame 9228 ran in:  12.37072205543518
Exciton, frame 9229 ran in:  12.277894020080566
Exciton, frame 9230 ran in:  12.255590200424194
Exciton, frame 9231 ran in:  12.064415216445923
Exciton, frame 9232 ran in:  12.334293603897095
Exciton, frame 9233 ran in:  12.973435640335083
Exciton, frame 9234 ran in:  12.30453872680664
Exciton, frame 9235 ran in:  12.665149211883545
Exciton, frame 9236 ran in:  12.266442775726318
Exciton, frame 9237 ran in:  12.450003862380981
Exciton, frame 9238 ran in:  12.39277982711792
Exciton, frame 9239 ran in:  12.160674095153809
Exciton, frame 9240 ran in:  12.245163917541504
Exciton, frame 9241 ran in:  12.614713430404663
Exciton, frame 9242 ran in:  12.229109764099121
Exciton, frame 9243 ran in:  12.362786293029785
Exciton, frame 9244 ran in:  12.093550443649292
Exciton, frame 9245 ran in:  12.417566061019897
Exciton, frame 9246 ran in:  12.105571269989014
Exciton, frame 9247 ran in:  11.977128028869629
Exciton, frame 9248 ran in:  12.171505451202393
Exciton, frame 9249 ran in:  12.667740821838379
Exciton, frame 9250 ran in:  12.389215469360352
Exciton, frame 9251 ran in:  12.481945276260376
Exciton, frame 9252 ran in:  12.536159753799438
Exciton, frame 9253 ran in:  12.438339233398438
Exciton, frame 9254 ran in:  12.890827655792236
Exciton, frame 9255 ran in:  12.85019063949585
Exciton, frame 9256 ran in:  12.4228994846344
Exciton, frame 9257 ran in:  12.6303391456604
Exciton, frame 9258 ran in:  12.244961738586426
Exciton, frame 9259 ran in:  12.181929588317871
Exciton, frame 9260 ran in:  12.33934473991394
Exciton, frame 9261 ran in:  12.57880187034607
Exciton, frame 9262 ran in:  12.336177825927734
Exciton, frame 9263 ran in:  12.125797986984253
Exciton, frame 9264 ran in:  12.850255727767944
Exciton, frame 9265 ran in:  12.212915897369385
Exciton, frame 9266 ran in:  12.033758401870728
Exciton, frame 9267 ran in:  12.150131464004517
Exciton, frame 9268 ran in:  12.402532815933228
Exciton, frame 9269 ran in:  12.227948904037476
Exciton, frame 9270 ran in:  12.594225645065308
Exciton, frame 9271 ran in:  12.18527865409851
Exciton, frame 9272 ran in:  12.076990604400635
Exciton, frame 9273 ran in:  12.90832257270813
Exciton, frame 9274 ran in:  12.742242097854614
Exciton, frame 9275 ran in:  11.968379735946655
Exciton, frame 9276 ran in:  12.417819738388062
Exciton, frame 9277 ran in:  12.474727153778076
Exciton, frame 9278 ran in:  12.84350323677063
Exciton, frame 9279 ran in:  12.551294803619385
Exciton, frame 9280 ran in:  12.265502214431763
Exciton, frame 9281 ran in:  12.176722526550293
Exciton, frame 9282 ran in:  11.906578540802002
Exciton, frame 9283 ran in:  12.477293491363525
Exciton, frame 9284 ran in:  12.286950588226318
Exciton, frame 9285 ran in:  11.951481580734253
Exciton, frame 9286 ran in:  12.300062417984009
Exciton, frame 9287 ran in:  12.460123300552368
Exciton, frame 9288 ran in:  12.474546670913696
Exciton, frame 9289 ran in:  11.973619222640991
Exciton, frame 9290 ran in:  11.948999166488647
Exciton, frame 9291 ran in:  12.967246294021606
Exciton, frame 9292 ran in:  11.97391676902771
Exciton, frame 9293 ran in:  12.547138452529907
Exciton, frame 9294 ran in:  12.476252794265747
Exciton, frame 9295 ran in:  12.89570665359497
Exciton, frame 9296 ran in:  12.836462020874023
Exciton, frame 9297 ran in:  12.333884716033936
Exciton, frame 9298 ran in:  12.172567129135132
Exciton, frame 9299 ran in:  12.214167594909668
Exciton, frame 9300 ran in:  12.665576219558716
Exciton, frame 9301 ran in:  12.737699508666992
Exciton, frame 9302 ran in:  12.245586633682251
Exciton, frame 9303 ran in:  12.397294282913208
Exciton, frame 9304 ran in:  12.563795566558838
Exciton, frame 9305 ran in:  12.455679178237915
Exciton, frame 9306 ran in:  12.285422801971436
Exciton, frame 9307 ran in:  12.325312376022339
Exciton, frame 9308 ran in:  12.743656158447266
Exciton, frame 9309 ran in:  12.262481927871704
Exciton, frame 9310 ran in:  12.297133922576904
Exciton, frame 9311 ran in:  12.592972993850708
Exciton, frame 9312 ran in:  12.032441854476929
Exciton, frame 9313 ran in:  12.227257013320923
Exciton, frame 9314 ran in:  13.005190134048462
Exciton, frame 9315 ran in:  12.366320848464966
Exciton, frame 9316 ran in:  11.981584787368774
Exciton, frame 9317 ran in:  12.096860647201538
Exciton, frame 9318 ran in:  12.42145037651062
Exciton, frame 9319 ran in:  12.214660882949829
Exciton, frame 9320 ran in:  12.153965473175049
Exciton, frame 9321 ran in:  12.78891372680664
Exciton, frame 9322 ran in:  12.127241849899292
Exciton, frame 9323 ran in:  12.750864028930664
Exciton, frame 9324 ran in:  13.013035535812378
Exciton, frame 9325 ran in:  12.131615400314331
Exciton, frame 9326 ran in:  12.472907543182373
