cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xf000000007f9fe000000000000000000f000000007f9fe000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.798286 secs
Exciton, frame 114445 ran in:  16.583916902542114
Exciton, frame 114446 ran in:  16.965043306350708
Exciton, frame 114447 ran in:  16.617373943328857
Exciton, frame 114448 ran in:  16.558024644851685
Exciton, frame 114449 ran in:  16.573400497436523
Exciton, frame 114450 ran in:  16.625566720962524
Exciton, frame 114451 ran in:  16.48743772506714
Exciton, frame 114452 ran in:  16.09773874282837
Exciton, frame 114453 ran in:  16.665004014968872
Exciton, frame 114454 ran in:  16.658872604370117
Exciton, frame 114455 ran in:  16.539938926696777
Exciton, frame 114456 ran in:  16.883365869522095
Exciton, frame 114457 ran in:  16.812984466552734
Exciton, frame 114458 ran in:  16.666082859039307
Exciton, frame 114459 ran in:  16.68002724647522
Exciton, frame 114460 ran in:  16.658419132232666
Exciton, frame 114461 ran in:  16.745821952819824
Exciton, frame 114462 ran in:  16.643084049224854
Exciton, frame 114463 ran in:  16.593732833862305
Exciton, frame 114464 ran in:  16.499738454818726
Exciton, frame 114465 ran in:  16.559213161468506
Exciton, frame 114466 ran in:  16.86646819114685
Exciton, frame 114467 ran in:  16.655524492263794
Exciton, frame 114468 ran in:  16.31934142112732
Exciton, frame 114469 ran in:  16.49142360687256
Exciton, frame 114470 ran in:  16.631197452545166
Exciton, frame 114471 ran in:  16.668511390686035
Exciton, frame 114472 ran in:  16.4622163772583
Exciton, frame 114473 ran in:  16.31206727027893
Exciton, frame 114474 ran in:  16.59424901008606
Exciton, frame 114475 ran in:  16.763490915298462
Exciton, frame 114476 ran in:  16.82222318649292
Exciton, frame 114477 ran in:  16.77609395980835
Exciton, frame 114478 ran in:  16.7912917137146
Exciton, frame 114479 ran in:  16.84170365333557
Exciton, frame 114480 ran in:  16.612855195999146
Exciton, frame 114481 ran in:  16.252901315689087
Exciton, frame 114482 ran in:  16.77656054496765
Exciton, frame 114483 ran in:  16.581279277801514
Exciton, frame 114484 ran in:  17.108269691467285
