cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129185 ran in:  13.332205057144165
Exciton, frame 129186 ran in:  13.306960821151733
Exciton, frame 129187 ran in:  13.151292562484741
Exciton, frame 129188 ran in:  13.527379035949707
Exciton, frame 129189 ran in:  13.176573038101196
Exciton, frame 129190 ran in:  13.535765647888184
Exciton, frame 129191 ran in:  13.041539192199707
Exciton, frame 129192 ran in:  13.275158166885376
Exciton, frame 129193 ran in:  13.195688009262085
Exciton, frame 129194 ran in:  13.201907634735107
Exciton, frame 129195 ran in:  12.995965957641602
Exciton, frame 129196 ran in:  12.936769485473633
Exciton, frame 129197 ran in:  13.28488564491272
Exciton, frame 129198 ran in:  13.291280508041382
Exciton, frame 129199 ran in:  13.148307800292969
Exciton, frame 129200 ran in:  13.287357330322266
Exciton, frame 129201 ran in:  13.301048040390015
Exciton, frame 129202 ran in:  13.084354400634766
Exciton, frame 129203 ran in:  12.942324876785278
Exciton, frame 129204 ran in:  12.941823959350586
Exciton, frame 129205 ran in:  13.000421524047852
Exciton, frame 129206 ran in:  13.382111549377441
Exciton, frame 129207 ran in:  13.393080472946167
Exciton, frame 129208 ran in:  13.018841028213501
Exciton, frame 129209 ran in:  13.838957786560059
Exciton, frame 129210 ran in:  13.408440113067627
Exciton, frame 129211 ran in:  13.814126253128052
Exciton, frame 129212 ran in:  13.343258142471313
Exciton, frame 129213 ran in:  12.876426219940186
Exciton, frame 129214 ran in:  13.471494674682617
Exciton, frame 129215 ran in:  13.512722730636597
Exciton, frame 129216 ran in:  13.445369243621826
Exciton, frame 129217 ran in:  13.046538829803467
Exciton, frame 129218 ran in:  13.704937219619751
Exciton, frame 129219 ran in:  13.492835998535156
Exciton, frame 129220 ran in:  12.987197160720825
Exciton, frame 129221 ran in:  13.027021646499634
Exciton, frame 129222 ran in:  13.240227937698364
Exciton, frame 129223 ran in:  13.076822280883789
Exciton, frame 129224 ran in:  13.201189994812012
Exciton, frame 129225 ran in:  13.448264837265015
Exciton, frame 129226 ran in:  13.769797325134277
Exciton, frame 129227 ran in:  13.35107946395874
Exciton, frame 129228 ran in:  13.018893003463745
Exciton, frame 129229 ran in:  13.147512435913086
Exciton, frame 129230 ran in:  13.046138763427734
Exciton, frame 129231 ran in:  13.051762580871582
Exciton, frame 129232 ran in:  13.382988214492798
Exciton, frame 129233 ran in:  13.847660779953003
Exciton, frame 129234 ran in:  13.069113492965698
Exciton, frame 129235 ran in:  13.249046325683594
Exciton, frame 129236 ran in:  12.797879219055176
Exciton, frame 129237 ran in:  12.85067367553711
Exciton, frame 129238 ran in:  13.261224269866943
Exciton, frame 129239 ran in:  13.569512367248535
Exciton, frame 129240 ran in:  13.011001586914062
Exciton, frame 129241 ran in:  13.04697036743164
Exciton, frame 129242 ran in:  12.843152284622192
