cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30248 ran in:  12.710746765136719
Exciton, frame 30249 ran in:  12.793376445770264
Exciton, frame 30250 ran in:  12.78295373916626
Exciton, frame 30251 ran in:  12.62606692314148
Exciton, frame 30252 ran in:  12.660949945449829
Exciton, frame 30253 ran in:  12.980169296264648
Exciton, frame 30254 ran in:  12.771536827087402
Exciton, frame 30255 ran in:  12.72284460067749
Exciton, frame 30256 ran in:  12.802696704864502
Exciton, frame 30257 ran in:  12.89851427078247
Exciton, frame 30258 ran in:  12.983016967773438
Exciton, frame 30259 ran in:  12.707028150558472
Exciton, frame 30260 ran in:  13.018121004104614
Exciton, frame 30261 ran in:  13.01666259765625
Exciton, frame 30262 ran in:  13.066719055175781
Exciton, frame 30263 ran in:  13.027811288833618
Exciton, frame 30264 ran in:  12.739846467971802
Exciton, frame 30265 ran in:  12.914920330047607
Exciton, frame 30266 ran in:  12.653461933135986
Exciton, frame 30267 ran in:  12.879729270935059
Exciton, frame 30268 ran in:  12.696428298950195
Exciton, frame 30269 ran in:  12.708235025405884
Exciton, frame 30270 ran in:  12.914180517196655
Exciton, frame 30271 ran in:  12.766148567199707
Exciton, frame 30272 ran in:  12.682166814804077
Exciton, frame 30273 ran in:  12.852518320083618
Exciton, frame 30274 ran in:  12.700334072113037
Exciton, frame 30275 ran in:  12.911041259765625
Exciton, frame 30276 ran in:  12.947580814361572
Exciton, frame 30277 ran in:  12.822838068008423
Exciton, frame 30278 ran in:  13.008265256881714
Exciton, frame 30279 ran in:  13.003516674041748
Exciton, frame 30280 ran in:  12.919164657592773
Exciton, frame 30281 ran in:  12.836891889572144
Exciton, frame 30282 ran in:  12.887253046035767
Exciton, frame 30283 ran in:  12.724234342575073
Exciton, frame 30284 ran in:  12.975159883499146
Exciton, frame 30285 ran in:  12.925400257110596
Exciton, frame 30286 ran in:  12.984622716903687
