cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x1ffffe000000000000000000000000001ffffe00000000000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.122433 secs
Exciton, frame 54178 ran in:  16.319034576416016
Exciton, frame 54179 ran in:  15.89673924446106
Exciton, frame 54180 ran in:  16.13778591156006
Exciton, frame 54181 ran in:  15.378796339035034
Exciton, frame 54182 ran in:  15.115934371948242
Exciton, frame 54183 ran in:  15.416405200958252
Exciton, frame 54184 ran in:  16.02499270439148
Exciton, frame 54185 ran in:  15.7699613571167
Exciton, frame 54186 ran in:  15.657968044281006
Exciton, frame 54187 ran in:  15.85870099067688
Exciton, frame 54188 ran in:  16.312836408615112
Exciton, frame 54189 ran in:  16.522269010543823
Exciton, frame 54190 ran in:  15.477282524108887
Exciton, frame 54191 ran in:  14.703003168106079
Exciton, frame 54192 ran in:  16.529978036880493
Exciton, frame 54193 ran in:  15.936198234558105
Exciton, frame 54194 ran in:  15.585403203964233
Exciton, frame 54195 ran in:  15.652301788330078
Exciton, frame 54196 ran in:  15.82598614692688
Exciton, frame 54197 ran in:  15.286529779434204
Exciton, frame 54198 ran in:  14.703593015670776
Exciton, frame 54199 ran in:  15.095339059829712
Exciton, frame 54200 ran in:  14.97105073928833
Exciton, frame 54201 ran in:  15.479172945022583
Exciton, frame 54202 ran in:  15.281939506530762
Exciton, frame 54203 ran in:  15.707524538040161
Exciton, frame 54204 ran in:  16.185101985931396
Exciton, frame 54205 ran in:  15.726107597351074
Exciton, frame 54206 ran in:  16.40597128868103
Exciton, frame 54207 ran in:  15.6585054397583
Exciton, frame 54208 ran in:  15.524672508239746
Exciton, frame 54209 ran in:  14.45885968208313
Exciton, frame 54210 ran in:  14.727461099624634
Exciton, frame 54211 ran in:  15.863112688064575
Exciton, frame 54212 ran in:  15.663217306137085
Exciton, frame 54213 ran in:  15.806058168411255
Exciton, frame 54214 ran in:  14.974843740463257
Exciton, frame 54215 ran in:  15.880152702331543
Exciton, frame 54216 ran in:  15.689195156097412
Exciton, frame 54217 ran in:  14.850291728973389
Exciton, frame 54218 ran in:  16.27986717224121
Exciton, frame 54219 ran in:  14.98032832145691
Exciton, frame 54220 ran in:  15.818921327590942
Exciton, frame 54221 ran in:  15.284478425979614
Exciton, frame 54222 ran in:  15.359518051147461
Exciton, frame 54223 ran in:  15.302030086517334
Exciton, frame 54224 ran in:  15.792003393173218
Exciton, frame 54225 ran in:  16.34612226486206
Exciton, frame 54226 ran in:  15.320205450057983
Exciton, frame 54227 ran in:  15.249764442443848
Exciton, frame 54228 ran in:  15.563356637954712
Exciton, frame 54229 ran in:  16.0487859249115
Exciton, frame 54230 ran in:  15.439831495285034
Exciton, frame 54231 ran in:  15.214904546737671
Exciton, frame 54232 ran in:  15.88560700416565
Exciton, frame 54233 ran in:  14.984411239624023
Exciton, frame 54234 ran in:  15.540417909622192
Exciton, frame 54235 ran in:  16.496161460876465
Exciton, frame 54236 ran in:  15.569989204406738
Exciton, frame 54237 ran in:  15.761027336120605
Exciton, frame 54238 ran in:  15.401150941848755
Exciton, frame 54239 ran in:  14.917831182479858
Exciton, frame 54240 ran in:  15.444514513015747
Exciton, frame 54241 ran in:  15.10585904121399
Exciton, frame 54242 ran in:  15.82986044883728
Exciton, frame 54243 ran in:  16.625513076782227
Exciton, frame 54244 ran in:  16.066333770751953
Exciton, frame 54245 ran in:  15.744771003723145
Exciton, frame 54246 ran in:  16.02367901802063
Exciton, frame 54247 ran in:  15.957556009292603
Exciton, frame 54248 ran in:  14.439416646957397
Exciton, frame 54249 ran in:  14.722116470336914
Exciton, frame 54250 ran in:  15.7696852684021
Exciton, frame 54251 ran in:  14.575490713119507
Exciton, frame 54252 ran in:  14.619343757629395
Exciton, frame 54253 ran in:  16.115005493164062
Exciton, frame 54254 ran in:  15.413165807723999
Exciton, frame 54255 ran in:  15.203540086746216
Exciton, frame 54256 ran in:  14.898717164993286
