cpu-bind=MASK - bp1-compute063, task 4294967295 4294967295 [0]: mask 0xffffb1fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.648379 secs
Exciton, frame 51468 ran in:  11.881362915039062
Exciton, frame 51469 ran in:  11.910510063171387
Exciton, frame 51470 ran in:  12.02488112449646
Exciton, frame 51471 ran in:  12.09921908378601
Exciton, frame 51472 ran in:  12.279268741607666
Exciton, frame 51473 ran in:  12.547123432159424
Exciton, frame 51474 ran in:  13.112774848937988
Exciton, frame 51475 ran in:  12.967080354690552
Exciton, frame 51476 ran in:  12.927890539169312
Exciton, frame 51477 ran in:  12.748676061630249
Exciton, frame 51478 ran in:  13.35485291481018
Exciton, frame 51479 ran in:  11.960915088653564
Exciton, frame 51480 ran in:  13.336459875106812
Exciton, frame 51481 ran in:  13.389192342758179
Exciton, frame 51482 ran in:  12.928227663040161
Exciton, frame 51483 ran in:  12.476328134536743
Exciton, frame 51484 ran in:  12.09322190284729
Exciton, frame 51485 ran in:  13.12571406364441
Exciton, frame 51486 ran in:  12.763304233551025
Exciton, frame 51487 ran in:  11.873229265213013
Exciton, frame 51488 ran in:  12.572234153747559
Exciton, frame 51489 ran in:  12.715127944946289
Exciton, frame 51490 ran in:  12.547809362411499
Exciton, frame 51491 ran in:  12.200987100601196
Exciton, frame 51492 ran in:  12.796395540237427
Exciton, frame 51493 ran in:  12.327178955078125
Exciton, frame 51494 ran in:  11.890537738800049
Exciton, frame 51495 ran in:  13.06015133857727
Exciton, frame 51496 ran in:  13.105619430541992
Exciton, frame 51497 ran in:  12.354459047317505
Exciton, frame 51498 ran in:  12.956118822097778
Exciton, frame 51499 ran in:  12.945284843444824
Exciton, frame 51500 ran in:  12.26997184753418
Exciton, frame 51501 ran in:  12.340598583221436
Exciton, frame 51502 ran in:  13.031452655792236
Exciton, frame 51503 ran in:  12.444929599761963
Exciton, frame 51504 ran in:  13.172664165496826
Exciton, frame 51505 ran in:  13.348205804824829
Exciton, frame 51506 ran in:  13.25195837020874
Exciton, frame 51507 ran in:  13.291810750961304
Exciton, frame 51508 ran in:  13.152033805847168
Exciton, frame 51509 ran in:  11.838970422744751
Exciton, frame 51510 ran in:  12.480602979660034
Exciton, frame 51511 ran in:  13.298435926437378
Exciton, frame 51512 ran in:  13.156388282775879
Exciton, frame 51513 ran in:  12.727590084075928
Exciton, frame 51514 ran in:  12.346364259719849
Exciton, frame 51515 ran in:  13.360533237457275
Exciton, frame 51516 ran in:  12.22936224937439
Exciton, frame 51517 ran in:  12.906283617019653
Exciton, frame 51518 ran in:  12.846901178359985
Exciton, frame 51519 ran in:  12.068099737167358
Exciton, frame 51520 ran in:  12.16869306564331
Exciton, frame 51521 ran in:  12.200615882873535
Exciton, frame 51522 ran in:  12.030044317245483
Exciton, frame 51523 ran in:  11.881316184997559
Exciton, frame 51524 ran in:  11.801172733306885
Exciton, frame 51525 ran in:  13.279017686843872
Exciton, frame 51526 ran in:  13.197402477264404
Exciton, frame 51527 ran in:  12.226937055587769
Exciton, frame 51528 ran in:  12.215992450714111
Exciton, frame 51529 ran in:  11.822319984436035
Exciton, frame 51530 ran in:  13.471215963363647
Exciton, frame 51531 ran in:  12.864417552947998
Exciton, frame 51532 ran in:  13.42105770111084
Exciton, frame 51533 ran in:  13.250003337860107
Exciton, frame 51534 ran in:  11.49466848373413
Exciton, frame 51535 ran in:  12.7825026512146
Exciton, frame 51536 ran in:  12.967602014541626
Exciton, frame 51537 ran in:  12.369500875473022
Exciton, frame 51538 ran in:  13.434833288192749
Exciton, frame 51539 ran in:  12.954529762268066
Exciton, frame 51540 ran in:  12.992271661758423
Exciton, frame 51541 ran in:  12.632598876953125
Exciton, frame 51542 ran in:  12.120612144470215
Exciton, frame 51543 ran in:  12.592215299606323
Exciton, frame 51544 ran in:  12.988834142684937
Exciton, frame 51545 ran in:  12.940728425979614
Exciton, frame 51546 ran in:  12.968861818313599
Exciton, frame 51547 ran in:  12.669032096862793
Exciton, frame 51548 ran in:  12.351814031600952
Exciton, frame 51549 ran in:  12.818917274475098
Exciton, frame 51550 ran in:  11.707586526870728
Exciton, frame 51551 ran in:  11.935352563858032
Exciton, frame 51552 ran in:  12.382109880447388
Exciton, frame 51553 ran in:  13.181636095046997
Exciton, frame 51554 ran in:  11.911921262741089
Exciton, frame 51555 ran in:  12.443352937698364
Exciton, frame 51556 ran in:  13.110992908477783
Exciton, frame 51557 ran in:  12.987326622009277
Exciton, frame 51558 ran in:  12.004637956619263
Exciton, frame 51559 ran in:  13.175718784332275
Exciton, frame 51560 ran in:  12.743473291397095
Exciton, frame 51561 ran in:  12.548255920410156
Exciton, frame 51562 ran in:  12.141406536102295
Exciton, frame 51563 ran in:  12.364473342895508
Exciton, frame 51564 ran in:  12.225154399871826
Exciton, frame 51565 ran in:  13.272272825241089
Exciton, frame 51566 ran in:  13.205609560012817
Exciton, frame 51567 ran in:  12.206884860992432
Exciton, frame 51568 ran in:  12.175703525543213
Exciton, frame 51569 ran in:  13.133805990219116
