cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3193 ran in:  11.645687580108643
Exciton, frame 3194 ran in:  12.018517017364502
Exciton, frame 3195 ran in:  11.860617876052856
Exciton, frame 3196 ran in:  11.831433773040771
Exciton, frame 3197 ran in:  12.255232095718384
Exciton, frame 3198 ran in:  11.732922554016113
Exciton, frame 3199 ran in:  12.116766452789307
Exciton, frame 3200 ran in:  11.917667150497437
Exciton, frame 3201 ran in:  11.707207918167114
Exciton, frame 3202 ran in:  11.64160966873169
Exciton, frame 3203 ran in:  11.872313022613525
Exciton, frame 3204 ran in:  11.730210065841675
Exciton, frame 3205 ran in:  11.879219055175781
Exciton, frame 3206 ran in:  11.933583974838257
Exciton, frame 3207 ran in:  11.890737533569336
Exciton, frame 3208 ran in:  12.020605325698853
Exciton, frame 3209 ran in:  12.260293245315552
Exciton, frame 3210 ran in:  11.965835094451904
Exciton, frame 3211 ran in:  12.153196096420288
Exciton, frame 3212 ran in:  11.916567325592041
Exciton, frame 3213 ran in:  12.029868125915527
Exciton, frame 3214 ran in:  11.933300733566284
Exciton, frame 3215 ran in:  12.151839971542358
Exciton, frame 3216 ran in:  11.89642333984375
Exciton, frame 3217 ran in:  11.92746901512146
Exciton, frame 3218 ran in:  11.864964723587036
Exciton, frame 3219 ran in:  11.854867458343506
Exciton, frame 3220 ran in:  11.901517391204834
Exciton, frame 3221 ran in:  12.025442600250244
Exciton, frame 3222 ran in:  12.119723081588745
Exciton, frame 3223 ran in:  11.744314908981323
Exciton, frame 3224 ran in:  11.689728021621704
Exciton, frame 3225 ran in:  12.147175073623657
Exciton, frame 3226 ran in:  11.892155647277832
Exciton, frame 3227 ran in:  11.86702013015747
Exciton, frame 3228 ran in:  12.042367935180664
Exciton, frame 3229 ran in:  11.974779605865479
Exciton, frame 3230 ran in:  12.016562223434448
Exciton, frame 3231 ran in:  11.969971895217896
Exciton, frame 3232 ran in:  12.064496278762817
Exciton, frame 3233 ran in:  11.809879779815674
Exciton, frame 3234 ran in:  11.707495927810669
Exciton, frame 3235 ran in:  12.43069314956665
Exciton, frame 3236 ran in:  12.292705297470093
Exciton, frame 3237 ran in:  12.288171291351318
Exciton, frame 3238 ran in:  12.214138507843018
Exciton, frame 3239 ran in:  11.829843282699585
