cpu-bind=MASK - bp1-compute038, task 4294967295 4294967295 [0]: mask 0xff0fffff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.268157 secs
Exciton, frame 147194 ran in:  11.042439937591553
Exciton, frame 147195 ran in:  11.241054058074951
Exciton, frame 147196 ran in:  11.363064765930176
Exciton, frame 147197 ran in:  11.313696146011353
Exciton, frame 147198 ran in:  11.171565294265747
Exciton, frame 147199 ran in:  11.00150990486145
Exciton, frame 147200 ran in:  11.696900844573975
Exciton, frame 147201 ran in:  10.531530857086182
Exciton, frame 147202 ran in:  10.83510422706604
Exciton, frame 147203 ran in:  10.984710454940796
Exciton, frame 147204 ran in:  11.162588834762573
Exciton, frame 147205 ran in:  11.13559103012085
Exciton, frame 147206 ran in:  11.146798610687256
Exciton, frame 147207 ran in:  10.956776857376099
Exciton, frame 147208 ran in:  11.2186758518219
Exciton, frame 147209 ran in:  11.155594110488892
Exciton, frame 147210 ran in:  11.172027826309204
Exciton, frame 147211 ran in:  10.837687969207764
Exciton, frame 147212 ran in:  11.490166902542114
Exciton, frame 147213 ran in:  11.024861097335815
Exciton, frame 147214 ran in:  10.968894958496094
Exciton, frame 147215 ran in:  10.708464860916138
Exciton, frame 147216 ran in:  10.734975814819336
Exciton, frame 147217 ran in:  11.111852645874023
Exciton, frame 147218 ran in:  10.95385456085205
Exciton, frame 147219 ran in:  11.485775709152222
Exciton, frame 147220 ran in:  10.89878797531128
Exciton, frame 147221 ran in:  11.227559566497803
Exciton, frame 147222 ran in:  11.042137145996094
Exciton, frame 147223 ran in:  10.812690734863281
Exciton, frame 147224 ran in:  11.02907133102417
Exciton, frame 147225 ran in:  11.110159397125244
Exciton, frame 147226 ran in:  11.092585325241089
Exciton, frame 147227 ran in:  11.11284875869751
Exciton, frame 147228 ran in:  11.037061929702759
Exciton, frame 147229 ran in:  11.471142053604126
Exciton, frame 147230 ran in:  10.688201665878296
Exciton, frame 147231 ran in:  11.056823253631592
Exciton, frame 147232 ran in:  11.100345134735107
Exciton, frame 147233 ran in:  11.14810037612915
Exciton, frame 147234 ran in:  11.176522493362427
Exciton, frame 147235 ran in:  10.868371486663818
Exciton, frame 147236 ran in:  10.518996000289917
Exciton, frame 147237 ran in:  10.927611589431763
Exciton, frame 147238 ran in:  11.128475666046143
Exciton, frame 147239 ran in:  11.023605108261108
Exciton, frame 147240 ran in:  11.224400043487549
Exciton, frame 147241 ran in:  10.867124080657959
Exciton, frame 147242 ran in:  10.91416072845459
Exciton, frame 147243 ran in:  11.250093936920166
Exciton, frame 147244 ran in:  11.143728256225586
Exciton, frame 147245 ran in:  10.515403747558594
Exciton, frame 147246 ran in:  10.792864799499512
Exciton, frame 147247 ran in:  10.598072052001953
Exciton, frame 147248 ran in:  11.063058137893677
Exciton, frame 147249 ran in:  10.75518536567688
Exciton, frame 147250 ran in:  10.731376886367798
Exciton, frame 147251 ran in:  11.295998334884644
Exciton, frame 147252 ran in:  11.173175573348999
Exciton, frame 147253 ran in:  11.78765320777893
Exciton, frame 147254 ran in:  11.174898862838745
Exciton, frame 147255 ran in:  10.619352340698242
Exciton, frame 147256 ran in:  11.164575576782227
Exciton, frame 147257 ran in:  11.015456199645996
Exciton, frame 147258 ran in:  10.832014799118042
Exciton, frame 147259 ran in:  11.047414302825928
Exciton, frame 147260 ran in:  11.09748911857605
Exciton, frame 147261 ran in:  11.107611179351807
Exciton, frame 147262 ran in:  10.975900888442993
Exciton, frame 147263 ran in:  10.903541326522827
Exciton, frame 147264 ran in:  11.31831979751587
Exciton, frame 147265 ran in:  10.94227910041809
Exciton, frame 147266 ran in:  10.861647367477417
Exciton, frame 147267 ran in:  10.749086141586304
Exciton, frame 147268 ran in:  11.04171085357666
Exciton, frame 147269 ran in:  11.057901620864868
Exciton, frame 147270 ran in:  11.108778476715088
Exciton, frame 147271 ran in:  11.261419773101807
Exciton, frame 147272 ran in:  11.306231021881104
Exciton, frame 147273 ran in:  11.66831088066101
Exciton, frame 147274 ran in:  10.883924961090088
Exciton, frame 147275 ran in:  11.398905038833618
Exciton, frame 147276 ran in:  11.195768356323242
Exciton, frame 147277 ran in:  10.815104484558105
Exciton, frame 147278 ran in:  11.002782106399536
Exciton, frame 147279 ran in:  11.256448030471802
Exciton, frame 147280 ran in:  11.105003833770752
Exciton, frame 147281 ran in:  11.125033855438232
Exciton, frame 147282 ran in:  11.016893148422241
Exciton, frame 147283 ran in:  11.182523488998413
Exciton, frame 147284 ran in:  11.044527530670166
Exciton, frame 147285 ran in:  11.064145803451538
Exciton, frame 147286 ran in:  11.45392632484436
Exciton, frame 147287 ran in:  11.408177852630615
Exciton, frame 147288 ran in:  11.41387391090393
Exciton, frame 147289 ran in:  10.918291330337524
Exciton, frame 147290 ran in:  11.214848041534424
Exciton, frame 147291 ran in:  10.902715921401978
Exciton, frame 147292 ran in:  10.672202348709106
Exciton, frame 147293 ran in:  11.080052614212036
Exciton, frame 147294 ran in:  11.071616888046265
Exciton, frame 147295 ran in:  10.944777488708496
Exciton, frame 147296 ran in:  11.193731546401978
Exciton, frame 147297 ran in:  10.757691860198975
Exciton, frame 147298 ran in:  10.684614896774292
Exciton, frame 147299 ran in:  10.96372652053833
Exciton, frame 147300 ran in:  11.129220724105835
Exciton, frame 147301 ran in:  11.420801401138306
Exciton, frame 147302 ran in:  11.041481971740723
Exciton, frame 147303 ran in:  10.945523023605347
Exciton, frame 147304 ran in:  11.41140365600586
Exciton, frame 147305 ran in:  11.118231773376465
Exciton, frame 147306 ran in:  11.01820707321167
Exciton, frame 147307 ran in:  11.436342239379883
Exciton, frame 147308 ran in:  10.947345972061157
Exciton, frame 147309 ran in:  10.960042238235474
Exciton, frame 147310 ran in:  10.792956113815308
Exciton, frame 147311 ran in:  11.057440280914307
Exciton, frame 147312 ran in:  11.46170687675476
Exciton, frame 147313 ran in:  11.141746520996094
Exciton, frame 147314 ran in:  10.967745304107666
Exciton, frame 147315 ran in:  11.347549200057983
Exciton, frame 147316 ran in:  12.046130180358887
Exciton, frame 147317 ran in:  10.88196873664856
Exciton, frame 147318 ran in:  11.251271724700928
Exciton, frame 147319 ran in:  10.77853274345398
Exciton, frame 147320 ran in:  11.197524785995483
Exciton, frame 147321 ran in:  10.796626567840576
Exciton, frame 147322 ran in:  11.423752546310425
Exciton, frame 147323 ran in:  10.809803009033203
Exciton, frame 147324 ran in:  11.28309154510498
Exciton, frame 147325 ran in:  11.965189218521118
Exciton, frame 147326 ran in:  10.747798919677734
Exciton, frame 147327 ran in:  10.865492343902588
Exciton, frame 147328 ran in:  10.67975640296936
Exciton, frame 147329 ran in:  10.810515403747559
Exciton, frame 147330 ran in:  11.143035888671875
Exciton, frame 147331 ran in:  11.077910900115967
Exciton, frame 147332 ran in:  10.819474935531616
Exciton, frame 147333 ran in:  11.149503469467163
Exciton, frame 147334 ran in:  11.150085210800171
Exciton, frame 147335 ran in:  10.661367177963257
Exciton, frame 147336 ran in:  11.583637952804565
Exciton, frame 147337 ran in:  10.862242937088013
Exciton, frame 147338 ran in:  10.571458578109741
Exciton, frame 147339 ran in:  10.67824411392212
Exciton, frame 147340 ran in:  11.683753252029419
Exciton, frame 147341 ran in:  10.94725251197815
Exciton, frame 147342 ran in:  11.177896499633789
Exciton, frame 147343 ran in:  10.912536144256592
Exciton, frame 147344 ran in:  11.316267967224121
Exciton, frame 147345 ran in:  11.08624529838562
Exciton, frame 147346 ran in:  10.593061923980713
Exciton, frame 147347 ran in:  11.1738440990448
Exciton, frame 147348 ran in:  10.52316427230835
Exciton, frame 147349 ran in:  11.500046968460083
Exciton, frame 147350 ran in:  10.636486291885376
Exciton, frame 147351 ran in:  11.027173519134521
Exciton, frame 147352 ran in:  11.08988904953003
Exciton, frame 147353 ran in:  10.892268896102905
Exciton, frame 147354 ran in:  11.33150339126587
Exciton, frame 147355 ran in:  11.048753023147583
Exciton, frame 147356 ran in:  11.652927875518799
Exciton, frame 147357 ran in:  11.2680184841156
Exciton, frame 147358 ran in:  10.889425992965698
Exciton, frame 147359 ran in:  11.061734437942505
Exciton, frame 147360 ran in:  11.758033037185669
Exciton, frame 147361 ran in:  10.839802265167236
Exciton, frame 147362 ran in:  11.637260913848877
Exciton, frame 147363 ran in:  11.513061285018921
Exciton, frame 147364 ran in:  11.107625246047974
Exciton, frame 147365 ran in:  10.903172254562378
Exciton, frame 147366 ran in:  10.862566471099854
Exciton, frame 147367 ran in:  11.366108417510986
Exciton, frame 147368 ran in:  11.209694862365723
Exciton, frame 147369 ran in:  10.895836353302002
Exciton, frame 147370 ran in:  10.663974285125732
Exciton, frame 147371 ran in:  10.997830867767334
Exciton, frame 147372 ran in:  11.11294174194336
Exciton, frame 147373 ran in:  10.888114929199219
Exciton, frame 147374 ran in:  10.897717952728271
Exciton, frame 147375 ran in:  11.020146131515503
Exciton, frame 147376 ran in:  11.257312059402466
Exciton, frame 147377 ran in:  11.08036732673645
Exciton, frame 147378 ran in:  11.184772968292236
Exciton, frame 147379 ran in:  11.251582145690918
Exciton, frame 147380 ran in:  11.588082790374756
Exciton, frame 147381 ran in:  10.921477317810059
Exciton, frame 147382 ran in:  11.16940951347351
Exciton, frame 147383 ran in:  11.250833988189697
Exciton, frame 147384 ran in:  11.022749662399292
Exciton, frame 147385 ran in:  11.17083477973938
Exciton, frame 147386 ran in:  11.40331244468689
Exciton, frame 147387 ran in:  10.88612174987793
Exciton, frame 147388 ran in:  11.052241563796997
Exciton, frame 147389 ran in:  11.095558404922485
Exciton, frame 147390 ran in:  11.292166709899902
Exciton, frame 147391 ran in:  10.767265796661377
Exciton, frame 147392 ran in:  10.688081741333008
Exciton, frame 147393 ran in:  11.33926773071289
Exciton, frame 147394 ran in:  10.916702032089233
Exciton, frame 147395 ran in:  10.768142700195312
Exciton, frame 147396 ran in:  11.146131753921509
Exciton, frame 147397 ran in:  11.023551225662231
Exciton, frame 147398 ran in:  10.92142653465271
Exciton, frame 147399 ran in:  10.755144119262695
Exciton, frame 147400 ran in:  10.84807801246643
Exciton, frame 147401 ran in:  10.92682671546936
Exciton, frame 147402 ran in:  11.280646800994873
Exciton, frame 147403 ran in:  11.073856592178345
Exciton, frame 147404 ran in:  11.325915575027466
Exciton, frame 147405 ran in:  11.16239309310913
Exciton, frame 147406 ran in:  10.906589269638062
