cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48187 ran in:  12.835250616073608
Exciton, frame 48188 ran in:  13.046514511108398
Exciton, frame 48189 ran in:  12.961000204086304
Exciton, frame 48190 ran in:  12.781015634536743
Exciton, frame 48191 ran in:  12.689732074737549
Exciton, frame 48192 ran in:  12.275445699691772
Exciton, frame 48193 ran in:  12.631155729293823
Exciton, frame 48194 ran in:  13.053687572479248
Exciton, frame 48195 ran in:  12.168539047241211
Exciton, frame 48196 ran in:  12.310843706130981
Exciton, frame 48197 ran in:  12.212194204330444
Exciton, frame 48198 ran in:  12.211333274841309
Exciton, frame 48199 ran in:  12.924057960510254
Exciton, frame 48200 ran in:  12.760313987731934
Exciton, frame 48201 ran in:  12.699148178100586
Exciton, frame 48202 ran in:  12.252917528152466
Exciton, frame 48203 ran in:  12.34972357749939
Exciton, frame 48204 ran in:  12.823154211044312
Exciton, frame 48205 ran in:  12.289026260375977
Exciton, frame 48206 ran in:  12.496491193771362
Exciton, frame 48207 ran in:  12.375901460647583
Exciton, frame 48208 ran in:  12.204890966415405
Exciton, frame 48209 ran in:  12.158271551132202
Exciton, frame 48210 ran in:  13.213660478591919
Exciton, frame 48211 ran in:  12.79872465133667
Exciton, frame 48212 ran in:  12.94805383682251
Exciton, frame 48213 ran in:  13.091753244400024
Exciton, frame 48214 ran in:  12.978775262832642
Exciton, frame 48215 ran in:  13.087281942367554
Exciton, frame 48216 ran in:  13.076442956924438
Exciton, frame 48217 ran in:  13.185502290725708
Exciton, frame 48218 ran in:  13.026249885559082
Exciton, frame 48219 ran in:  12.991184711456299
Exciton, frame 48220 ran in:  12.583461999893188
Exciton, frame 48221 ran in:  12.776862382888794
Exciton, frame 48222 ran in:  12.977477073669434
Exciton, frame 48223 ran in:  13.027710437774658
Exciton, frame 48224 ran in:  13.228949069976807
Exciton, frame 48225 ran in:  12.89123821258545
Exciton, frame 48226 ran in:  13.101691246032715
Exciton, frame 48227 ran in:  12.47525429725647
Exciton, frame 48228 ran in:  13.039372205734253
