cpu-bind=MASK - bp1-compute126, task 4294967295 4294967295 [0]: mask 0xff9edfff9edf set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.997831 secs
Exciton, frame 99293 ran in:  12.9502854347229
Exciton, frame 99294 ran in:  13.058815717697144
Exciton, frame 99295 ran in:  12.992066621780396
Exciton, frame 99296 ran in:  12.80356240272522
Exciton, frame 99297 ran in:  13.07972502708435
Exciton, frame 99298 ran in:  13.086271047592163
Exciton, frame 99299 ran in:  12.71629810333252
Exciton, frame 99300 ran in:  12.977925300598145
Exciton, frame 99301 ran in:  13.171356678009033
Exciton, frame 99302 ran in:  13.174304246902466
Exciton, frame 99303 ran in:  12.940389394760132
Exciton, frame 99304 ran in:  12.918904066085815
Exciton, frame 99305 ran in:  12.965281963348389
Exciton, frame 99306 ran in:  12.937937498092651
Exciton, frame 99307 ran in:  13.012120485305786
Exciton, frame 99308 ran in:  12.915042877197266
Exciton, frame 99309 ran in:  12.929277420043945
Exciton, frame 99310 ran in:  12.94967269897461
Exciton, frame 99311 ran in:  13.168885946273804
Exciton, frame 99312 ran in:  13.11785626411438
Exciton, frame 99313 ran in:  13.079350471496582
Exciton, frame 99314 ran in:  13.10138201713562
Exciton, frame 99315 ran in:  13.033710956573486
Exciton, frame 99316 ran in:  13.040822267532349
Exciton, frame 99317 ran in:  12.944929599761963
Exciton, frame 99318 ran in:  13.128596782684326
Exciton, frame 99319 ran in:  12.978936672210693
Exciton, frame 99320 ran in:  13.15833330154419
Exciton, frame 99321 ran in:  13.16732120513916
Exciton, frame 99322 ran in:  13.155480146408081
Exciton, frame 99323 ran in:  12.851767301559448
Exciton, frame 99324 ran in:  12.914786577224731
Exciton, frame 99325 ran in:  13.083319664001465
Exciton, frame 99326 ran in:  13.103679418563843
Exciton, frame 99327 ran in:  13.005198240280151
Exciton, frame 99328 ran in:  13.15009880065918
Exciton, frame 99329 ran in:  13.006577968597412
Exciton, frame 99330 ran in:  13.08147120475769
Exciton, frame 99331 ran in:  13.17815351486206
Exciton, frame 99332 ran in:  12.918338537216187
Exciton, frame 99333 ran in:  12.944945573806763
Exciton, frame 99334 ran in:  12.982783794403076
Exciton, frame 99335 ran in:  12.93520188331604
Exciton, frame 99336 ran in:  12.977606058120728
Exciton, frame 99337 ran in:  12.875300884246826
Exciton, frame 99338 ran in:  12.942058086395264
Exciton, frame 99339 ran in:  13.071873664855957
Exciton, frame 99340 ran in:  13.107638359069824
Exciton, frame 99341 ran in:  13.114132642745972
Exciton, frame 99342 ran in:  12.743242979049683
Exciton, frame 99343 ran in:  13.014680624008179
Exciton, frame 99344 ran in:  13.22506833076477
Exciton, frame 99345 ran in:  12.936469793319702
Exciton, frame 99346 ran in:  12.810746669769287
Exciton, frame 99347 ran in:  12.845827579498291
Exciton, frame 99348 ran in:  12.940632104873657
Exciton, frame 99349 ran in:  13.176509618759155
Exciton, frame 99350 ran in:  13.042428731918335
Exciton, frame 99351 ran in:  12.936518669128418
Exciton, frame 99352 ran in:  12.899245023727417
Exciton, frame 99353 ran in:  13.219398975372314
Exciton, frame 99354 ran in:  12.941794395446777
Exciton, frame 99355 ran in:  12.98413872718811
Exciton, frame 99356 ran in:  13.013177633285522
Exciton, frame 99357 ran in:  12.765007972717285
Exciton, frame 99358 ran in:  12.915439128875732
Exciton, frame 99359 ran in:  13.186563968658447
Exciton, frame 99360 ran in:  13.047642707824707
Exciton, frame 99361 ran in:  13.019129514694214
Exciton, frame 99362 ran in:  13.212671041488647
Exciton, frame 99363 ran in:  13.05145263671875
Exciton, frame 99364 ran in:  12.71933627128601
Exciton, frame 99365 ran in:  12.982534885406494
Exciton, frame 99366 ran in:  13.024002075195312
Exciton, frame 99367 ran in:  13.09585189819336
Exciton, frame 99368 ran in:  12.940250635147095
Exciton, frame 99369 ran in:  12.867329359054565
Exciton, frame 99370 ran in:  12.751118898391724
Exciton, frame 99371 ran in:  13.015115737915039
Exciton, frame 99372 ran in:  13.033150672912598
Exciton, frame 99373 ran in:  12.858662605285645
Exciton, frame 99374 ran in:  12.977250099182129
Exciton, frame 99375 ran in:  13.017683982849121
Exciton, frame 99376 ran in:  13.12033200263977
Exciton, frame 99377 ran in:  13.309467315673828
Exciton, frame 99378 ran in:  12.932126760482788
Exciton, frame 99379 ran in:  13.117716073989868
Exciton, frame 99380 ran in:  12.888042211532593
Exciton, frame 99381 ran in:  13.018635272979736
Exciton, frame 99382 ran in:  12.849144458770752
Exciton, frame 99383 ran in:  13.093871831893921
Exciton, frame 99384 ran in:  12.893546104431152
Exciton, frame 99385 ran in:  12.977488279342651
Exciton, frame 99386 ran in:  12.886722803115845
Exciton, frame 99387 ran in:  12.744375228881836
Exciton, frame 99388 ran in:  12.747415781021118
Exciton, frame 99389 ran in:  12.858146905899048
Exciton, frame 99390 ran in:  12.90797758102417
Exciton, frame 99391 ran in:  12.840573787689209
Exciton, frame 99392 ran in:  13.012501239776611
Exciton, frame 99393 ran in:  12.905653476715088
Exciton, frame 99394 ran in:  12.950833559036255
Exciton, frame 99395 ran in:  12.933395862579346
Exciton, frame 99396 ran in:  12.803779125213623
Exciton, frame 99397 ran in:  13.392450332641602
Exciton, frame 99398 ran in:  13.14871883392334
Exciton, frame 99399 ran in:  12.972151517868042
Exciton, frame 99400 ran in:  12.990046262741089
Exciton, frame 99401 ran in:  12.751177787780762
Exciton, frame 99402 ran in:  13.29163646697998
Exciton, frame 99403 ran in:  13.001584768295288
Exciton, frame 99404 ran in:  13.182303190231323
Exciton, frame 99405 ran in:  12.989387035369873
Exciton, frame 99406 ran in:  12.753844022750854
Exciton, frame 99407 ran in:  13.056076765060425
Exciton, frame 99408 ran in:  13.24718451499939
Exciton, frame 99409 ran in:  12.969619512557983
Exciton, frame 99410 ran in:  13.12002420425415
Exciton, frame 99411 ran in:  13.143633604049683
Exciton, frame 99412 ran in:  13.264944314956665
Exciton, frame 99413 ran in:  13.048269510269165
Exciton, frame 99414 ran in:  13.018650770187378
Exciton, frame 99415 ran in:  12.981008052825928
Exciton, frame 99416 ran in:  13.006725549697876
Exciton, frame 99417 ran in:  13.08621859550476
Exciton, frame 99418 ran in:  13.19851279258728
Exciton, frame 99419 ran in:  13.072980403900146
Exciton, frame 99420 ran in:  13.190068006515503
Exciton, frame 99421 ran in:  13.095176696777344
Exciton, frame 99422 ran in:  12.913166999816895
Exciton, frame 99423 ran in:  12.700891256332397
Exciton, frame 99424 ran in:  13.065505027770996
Exciton, frame 99425 ran in:  12.912841320037842
Exciton, frame 99426 ran in:  12.831972360610962
Exciton, frame 99427 ran in:  12.811298847198486
Exciton, frame 99428 ran in:  12.871534824371338
Exciton, frame 99429 ran in:  13.006183624267578
Exciton, frame 99430 ran in:  12.857609748840332
Exciton, frame 99431 ran in:  12.733007907867432
Exciton, frame 99432 ran in:  12.930044412612915
Exciton, frame 99433 ran in:  12.913552284240723
Exciton, frame 99434 ran in:  12.998237609863281
Exciton, frame 99435 ran in:  13.061395645141602
Exciton, frame 99436 ran in:  12.969081401824951
Exciton, frame 99437 ran in:  12.794986248016357
Exciton, frame 99438 ran in:  12.85666537284851
Exciton, frame 99439 ran in:  12.83059048652649
Exciton, frame 99440 ran in:  12.60284948348999
Exciton, frame 99441 ran in:  13.037142515182495
Exciton, frame 99442 ran in:  12.845378875732422
Exciton, frame 99443 ran in:  12.852612733840942
Exciton, frame 99444 ran in:  13.149373531341553
Exciton, frame 99445 ran in:  13.249647617340088
Exciton, frame 99446 ran in:  13.03484058380127
Exciton, frame 99447 ran in:  12.969004392623901
Exciton, frame 99448 ran in:  12.910150051116943
Exciton, frame 99449 ran in:  12.854451656341553
Exciton, frame 99450 ran in:  13.029057025909424
Exciton, frame 99451 ran in:  13.05496597290039
Exciton, frame 99452 ran in:  12.986403942108154
Exciton, frame 99453 ran in:  13.083518266677856
Exciton, frame 99454 ran in:  13.038081169128418
Exciton, frame 99455 ran in:  13.09745478630066
Exciton, frame 99456 ran in:  12.953652620315552
Exciton, frame 99457 ran in:  12.89358401298523
Exciton, frame 99458 ran in:  12.93000054359436
Exciton, frame 99459 ran in:  13.008177042007446
Exciton, frame 99460 ran in:  13.122291326522827
Exciton, frame 99461 ran in:  12.813697099685669
Exciton, frame 99462 ran in:  12.988698482513428
Exciton, frame 99463 ran in:  12.96069860458374
Exciton, frame 99464 ran in:  12.971267223358154
Exciton, frame 99465 ran in:  12.942399501800537
Exciton, frame 99466 ran in:  12.934150457382202
Exciton, frame 99467 ran in:  12.954139709472656
Exciton, frame 99468 ran in:  12.916013956069946
Exciton, frame 99469 ran in:  13.08398985862732
Exciton, frame 99470 ran in:  13.19426941871643
Exciton, frame 99471 ran in:  12.994594812393188
Exciton, frame 99472 ran in:  12.856214761734009
Exciton, frame 99473 ran in:  12.911686658859253
Exciton, frame 99474 ran in:  12.868983268737793
Exciton, frame 99475 ran in:  13.046506881713867
Exciton, frame 99476 ran in:  12.9458749294281
Exciton, frame 99477 ran in:  12.953006982803345
Exciton, frame 99478 ran in:  12.985321044921875
Exciton, frame 99479 ran in:  13.425606727600098
Exciton, frame 99480 ran in:  13.40278148651123
Exciton, frame 99481 ran in:  12.841613531112671
Exciton, frame 99482 ran in:  13.144622087478638
Exciton, frame 99483 ran in:  12.986618757247925
Exciton, frame 99484 ran in:  12.990266561508179
Exciton, frame 99485 ran in:  13.293680667877197
Exciton, frame 99486 ran in:  12.810358047485352
Exciton, frame 99487 ran in:  12.895763158798218
Exciton, frame 99488 ran in:  13.046574115753174
Exciton, frame 99489 ran in:  12.954310417175293
Exciton, frame 99490 ran in:  12.693076372146606
Exciton, frame 99491 ran in:  12.929100275039673
Exciton, frame 99492 ran in:  12.990937232971191
Exciton, frame 99493 ran in:  13.25133490562439
Exciton, frame 99494 ran in:  12.952620506286621
Exciton, frame 99495 ran in:  12.890642881393433
Exciton, frame 99496 ran in:  13.156511783599854
Exciton, frame 99497 ran in:  12.892397403717041
Exciton, frame 99498 ran in:  13.04413390159607
Exciton, frame 99499 ran in:  13.17244005203247
Exciton, frame 99500 ran in:  13.076591730117798
Exciton, frame 99501 ran in:  13.023645877838135
Exciton, frame 99502 ran in:  12.978699445724487
Exciton, frame 99503 ran in:  13.04008436203003
Exciton, frame 99504 ran in:  13.248335361480713
Exciton, frame 99505 ran in:  13.234241962432861
Exciton, frame 99506 ran in:  13.199964046478271
Exciton, frame 99507 ran in:  13.043365240097046
Exciton, frame 99508 ran in:  13.099048852920532
Exciton, frame 99509 ran in:  13.11738395690918
Exciton, frame 99510 ran in:  13.196916818618774
Exciton, frame 99511 ran in:  13.102215051651001
Exciton, frame 99512 ran in:  12.78631591796875
Exciton, frame 99513 ran in:  13.118280172348022
Exciton, frame 99514 ran in:  13.01715087890625
Exciton, frame 99515 ran in:  12.963140964508057
Exciton, frame 99516 ran in:  13.130749225616455
Exciton, frame 99517 ran in:  12.954277992248535
Exciton, frame 99518 ran in:  12.92222809791565
Exciton, frame 99519 ran in:  13.12789511680603
Exciton, frame 99520 ran in:  13.01665449142456
Exciton, frame 99521 ran in:  13.091007947921753
Exciton, frame 99522 ran in:  12.855276823043823
Exciton, frame 99523 ran in:  13.170802116394043
Exciton, frame 99524 ran in:  12.644633531570435
Exciton, frame 99525 ran in:  13.125245809555054
Exciton, frame 99526 ran in:  12.936554670333862
Exciton, frame 99527 ran in:  12.776093244552612
Exciton, frame 99528 ran in:  13.124752759933472
Exciton, frame 99529 ran in:  13.120273351669312
Exciton, frame 99530 ran in:  13.15262770652771
Exciton, frame 99531 ran in:  12.775437593460083
