cpu-bind=MASK - bp1-compute093, task 4294967295 4294967295 [0]: mask 0xf78ffff78fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.090245 secs
Exciton, frame 36248 ran in:  11.968527555465698
Exciton, frame 36249 ran in:  11.935584306716919
Exciton, frame 36250 ran in:  12.011362314224243
Exciton, frame 36251 ran in:  11.97170615196228
Exciton, frame 36252 ran in:  11.872776746749878
Exciton, frame 36253 ran in:  11.967686176300049
Exciton, frame 36254 ran in:  12.270844221115112
Exciton, frame 36255 ran in:  11.876967906951904
Exciton, frame 36256 ran in:  12.059523820877075
Exciton, frame 36257 ran in:  12.045304536819458
Exciton, frame 36258 ran in:  11.931878805160522
Exciton, frame 36259 ran in:  12.093661785125732
Exciton, frame 36260 ran in:  12.108280181884766
Exciton, frame 36261 ran in:  12.279838800430298
Exciton, frame 36262 ran in:  12.098128080368042
Exciton, frame 36263 ran in:  11.91416072845459
Exciton, frame 36264 ran in:  12.28623914718628
Exciton, frame 36265 ran in:  11.843437910079956
Exciton, frame 36266 ran in:  12.134905576705933
Exciton, frame 36267 ran in:  12.169703483581543
Exciton, frame 36268 ran in:  12.052508115768433
Exciton, frame 36269 ran in:  11.621232986450195
Exciton, frame 36270 ran in:  12.463027954101562
Exciton, frame 36271 ran in:  11.820716619491577
Exciton, frame 36272 ran in:  12.17488718032837
Exciton, frame 36273 ran in:  11.953629493713379
Exciton, frame 36274 ran in:  12.322444677352905
Exciton, frame 36275 ran in:  11.815361261367798
Exciton, frame 36276 ran in:  11.63312816619873
Exciton, frame 36277 ran in:  11.486883640289307
Exciton, frame 36278 ran in:  11.678548336029053
Exciton, frame 36279 ran in:  11.795316696166992
Exciton, frame 36280 ran in:  12.77064561843872
Exciton, frame 36281 ran in:  12.04201054573059
Exciton, frame 36282 ran in:  11.880743741989136
Exciton, frame 36283 ran in:  12.282352685928345
Exciton, frame 36284 ran in:  12.225510120391846
Exciton, frame 36285 ran in:  11.981676816940308
Exciton, frame 36286 ran in:  11.830806732177734
Exciton, frame 36287 ran in:  12.311711549758911
Exciton, frame 36288 ran in:  12.058571577072144
Exciton, frame 36289 ran in:  11.894351720809937
Exciton, frame 36290 ran in:  11.937812566757202
Exciton, frame 36291 ran in:  11.821807384490967
Exciton, frame 36292 ran in:  12.063146352767944
Exciton, frame 36293 ran in:  11.839486837387085
Exciton, frame 36294 ran in:  11.857985973358154
Exciton, frame 36295 ran in:  12.139920711517334
Exciton, frame 36296 ran in:  11.91039490699768
Exciton, frame 36297 ran in:  11.796222448348999
Exciton, frame 36298 ran in:  11.796264171600342
Exciton, frame 36299 ran in:  11.79352855682373
Exciton, frame 36300 ran in:  12.231537818908691
Exciton, frame 36301 ran in:  11.877767324447632
Exciton, frame 36302 ran in:  12.045506477355957
Exciton, frame 36303 ran in:  12.291034698486328
Exciton, frame 36304 ran in:  11.909399271011353
Exciton, frame 36305 ran in:  11.751047372817993
Exciton, frame 36306 ran in:  12.198862075805664
Exciton, frame 36307 ran in:  11.879260063171387
Exciton, frame 36308 ran in:  11.923208475112915
Exciton, frame 36309 ran in:  11.825780153274536
Exciton, frame 36310 ran in:  11.967827081680298
Exciton, frame 36311 ran in:  12.097767353057861
Exciton, frame 36312 ran in:  11.792178630828857
Exciton, frame 36313 ran in:  12.052695035934448
Exciton, frame 36314 ran in:  11.886122226715088
Exciton, frame 36315 ran in:  12.24181079864502
Exciton, frame 36316 ran in:  12.254836797714233
Exciton, frame 36317 ran in:  12.4510977268219
Exciton, frame 36318 ran in:  11.800108194351196
Exciton, frame 36319 ran in:  11.921830415725708
Exciton, frame 36320 ran in:  11.863079309463501
Exciton, frame 36321 ran in:  11.877614974975586
Exciton, frame 36322 ran in:  12.595654726028442
Exciton, frame 36323 ran in:  12.105072498321533
Exciton, frame 36324 ran in:  12.209057092666626
Exciton, frame 36325 ran in:  11.859477996826172
Exciton, frame 36326 ran in:  11.824673652648926
Exciton, frame 36327 ran in:  12.060619831085205
Exciton, frame 36328 ran in:  12.198240756988525
Exciton, frame 36329 ran in:  12.066960096359253
Exciton, frame 36330 ran in:  11.837008476257324
Exciton, frame 36331 ran in:  11.779907464981079
Exciton, frame 36332 ran in:  12.116776943206787
Exciton, frame 36333 ran in:  11.976051807403564
Exciton, frame 36334 ran in:  11.94854998588562
Exciton, frame 36335 ran in:  12.129084825515747
Exciton, frame 36336 ran in:  12.03103756904602
Exciton, frame 36337 ran in:  11.88013505935669
Exciton, frame 36338 ran in:  11.91662859916687
Exciton, frame 36339 ran in:  12.531280994415283
Exciton, frame 36340 ran in:  11.81955337524414
Exciton, frame 36341 ran in:  12.484975099563599
Exciton, frame 36342 ran in:  12.056182861328125
Exciton, frame 36343 ran in:  11.867294073104858
Exciton, frame 36344 ran in:  11.460133790969849
Exciton, frame 36345 ran in:  12.012752294540405
Exciton, frame 36346 ran in:  12.258589029312134
Exciton, frame 36347 ran in:  11.643941402435303
Exciton, frame 36348 ran in:  12.199871063232422
Exciton, frame 36349 ran in:  12.033347129821777
Exciton, frame 36350 ran in:  12.39035964012146
Exciton, frame 36351 ran in:  11.803627490997314
Exciton, frame 36352 ran in:  11.787409782409668
Exciton, frame 36353 ran in:  11.527696132659912
Exciton, frame 36354 ran in:  11.941123247146606
Exciton, frame 36355 ran in:  12.445374011993408
Exciton, frame 36356 ran in:  11.91464376449585
Exciton, frame 36357 ran in:  11.949564933776855
Exciton, frame 36358 ran in:  11.975126028060913
Exciton, frame 36359 ran in:  11.887022733688354
Exciton, frame 36360 ran in:  11.973179817199707
Exciton, frame 36361 ran in:  11.935934066772461
Exciton, frame 36362 ran in:  11.810456991195679
Exciton, frame 36363 ran in:  11.869356155395508
Exciton, frame 36364 ran in:  12.567846775054932
Exciton, frame 36365 ran in:  12.047186136245728
Exciton, frame 36366 ran in:  11.941253662109375
Exciton, frame 36367 ran in:  12.409683465957642
Exciton, frame 36368 ran in:  12.06385087966919
Exciton, frame 36369 ran in:  12.080844402313232
Exciton, frame 36370 ran in:  11.732342004776001
Exciton, frame 36371 ran in:  11.829003810882568
Exciton, frame 36372 ran in:  11.564794778823853
