cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x107f9fe0000000013000000000000000107f9fe000000001300000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 13.874515 secs
Exciton, frame 60222 ran in:  17.732408046722412
Exciton, frame 60223 ran in:  17.663600206375122
Exciton, frame 60224 ran in:  16.511643648147583
Exciton, frame 60225 ran in:  18.05414843559265
Exciton, frame 60226 ran in:  17.891754865646362
Exciton, frame 60227 ran in:  17.32848572731018
Exciton, frame 60228 ran in:  16.565686464309692
Exciton, frame 60229 ran in:  17.921162843704224
Exciton, frame 60230 ran in:  18.454671144485474
Exciton, frame 60231 ran in:  17.541321516036987
Exciton, frame 60232 ran in:  18.148701906204224
Exciton, frame 60233 ran in:  16.13843297958374
Exciton, frame 60234 ran in:  15.685354471206665
Exciton, frame 60235 ran in:  21.771950483322144
Exciton, frame 60236 ran in:  17.237524271011353
Exciton, frame 60237 ran in:  17.380651235580444
Exciton, frame 60238 ran in:  17.430781841278076
Exciton, frame 60239 ran in:  18.163453578948975
Exciton, frame 60240 ran in:  18.46324348449707
Exciton, frame 60241 ran in:  17.11784052848816
Exciton, frame 60242 ran in:  16.71777367591858
Exciton, frame 60243 ran in:  18.913439989089966
Exciton, frame 60244 ran in:  15.958151817321777
Exciton, frame 60245 ran in:  16.196380853652954
Exciton, frame 60246 ran in:  18.050703763961792
Exciton, frame 60247 ran in:  17.761942386627197
Exciton, frame 60248 ran in:  20.683516263961792
Exciton, frame 60249 ran in:  19.21248197555542
Exciton, frame 60250 ran in:  16.59766387939453
Exciton, frame 60251 ran in:  16.700579166412354
Exciton, frame 60252 ran in:  18.747661352157593
Exciton, frame 60253 ran in:  16.283449411392212
Exciton, frame 60254 ran in:  18.367058753967285
Exciton, frame 60255 ran in:  16.312782526016235
Exciton, frame 60256 ran in:  18.348374366760254
Exciton, frame 60257 ran in:  18.02698564529419
Exciton, frame 60258 ran in:  18.442526817321777
Exciton, frame 60259 ran in:  18.58842396736145
Exciton, frame 60260 ran in:  15.978212356567383
Exciton, frame 60261 ran in:  18.482796907424927
Exciton, frame 60262 ran in:  17.55031180381775
Exciton, frame 60263 ran in:  18.16787815093994
Exciton, frame 60264 ran in:  17.613072156906128
Exciton, frame 60265 ran in:  15.781188726425171
Exciton, frame 60266 ran in:  17.355331659317017
Exciton, frame 60267 ran in:  17.639146089553833
Exciton, frame 60268 ran in:  18.2970073223114
Exciton, frame 60269 ran in:  18.78881597518921
Exciton, frame 60270 ran in:  17.777066707611084
Exciton, frame 60271 ran in:  16.079262256622314
Exciton, frame 60272 ran in:  18.88572120666504
Exciton, frame 60273 ran in:  17.443968534469604
Exciton, frame 60274 ran in:  17.294658184051514
Exciton, frame 60275 ran in:  17.955494165420532
Exciton, frame 60276 ran in:  16.243484020233154
Exciton, frame 60277 ran in:  17.308356523513794
Exciton, frame 60278 ran in:  18.8952374458313
Exciton, frame 60279 ran in:  16.679840326309204
Exciton, frame 60280 ran in:  17.234631538391113
Exciton, frame 60281 ran in:  16.981736183166504
Exciton, frame 60282 ran in:  17.421499490737915
Exciton, frame 60283 ran in:  16.83172106742859
Exciton, frame 60284 ran in:  17.080759525299072
Exciton, frame 60285 ran in:  17.557014226913452
Exciton, frame 60286 ran in:  18.48646831512451
Exciton, frame 60287 ran in:  18.313258409500122
Exciton, frame 60288 ran in:  18.41766357421875
Exciton, frame 60289 ran in:  15.93244218826294
Exciton, frame 60290 ran in:  16.99208927154541
Exciton, frame 60291 ran in:  16.21543836593628
Exciton, frame 60292 ran in:  18.051318645477295
Exciton, frame 60293 ran in:  17.75921392440796
Exciton, frame 60294 ran in:  15.700613737106323
Exciton, frame 60295 ran in:  17.11320924758911
Exciton, frame 60296 ran in:  16.26308822631836
Exciton, frame 60297 ran in:  18.805930852890015
Exciton, frame 60298 ran in:  17.974905014038086
Exciton, frame 60299 ran in:  18.11157202720642
Exciton, frame 60300 ran in:  17.97161555290222
Exciton, frame 60301 ran in:  17.645695447921753
Exciton, frame 60302 ran in:  18.00849962234497
Exciton, frame 60303 ran in:  17.714685916900635
Exciton, frame 60304 ran in:  16.57082176208496
Exciton, frame 60305 ran in:  16.666925191879272
Exciton, frame 60306 ran in:  17.740773916244507
Exciton, frame 60307 ran in:  17.592697620391846
Exciton, frame 60308 ran in:  17.666295051574707
Exciton, frame 60309 ran in:  19.120635509490967
Exciton, frame 60310 ran in:  18.300665140151978
Exciton, frame 60311 ran in:  16.49626851081848
Exciton, frame 60312 ran in:  18.13532280921936
Exciton, frame 60313 ran in:  18.713534116744995
Exciton, frame 60314 ran in:  16.56044101715088
Exciton, frame 60315 ran in:  18.231593132019043
Exciton, frame 60316 ran in:  18.347947597503662
Exciton, frame 60317 ran in:  18.666202068328857
Exciton, frame 60318 ran in:  18.527901649475098
Exciton, frame 60319 ran in:  20.682798624038696
Exciton, frame 60320 ran in:  17.45408797264099
Exciton, frame 60321 ran in:  17.356406450271606
Exciton, frame 60322 ran in:  17.524946212768555
Exciton, frame 60323 ran in:  16.805747747421265
Exciton, frame 60324 ran in:  17.282262086868286
Exciton, frame 60325 ran in:  18.760929822921753
Exciton, frame 60326 ran in:  15.829375267028809
Exciton, frame 60327 ran in:  17.364229679107666
Exciton, frame 60328 ran in:  18.723993062973022
Exciton, frame 60329 ran in:  17.856985092163086
Exciton, frame 60330 ran in:  17.07556939125061
Exciton, frame 60331 ran in:  16.95182490348816
Exciton, frame 60332 ran in:  18.982852935791016
Exciton, frame 60333 ran in:  17.20222234725952
Exciton, frame 60334 ran in:  17.51026964187622
Exciton, frame 60335 ran in:  18.766733169555664
Exciton, frame 60336 ran in:  16.86215853691101
Exciton, frame 60337 ran in:  17.91201376914978
Exciton, frame 60338 ran in:  18.148227214813232
Exciton, frame 60339 ran in:  17.361438035964966
Exciton, frame 60340 ran in:  18.444886207580566
Exciton, frame 60341 ran in:  19.078206300735474
Exciton, frame 60342 ran in:  18.064926862716675
Exciton, frame 60343 ran in:  18.904193878173828
Exciton, frame 60344 ran in:  17.282493829727173
Exciton, frame 60345 ran in:  17.30925750732422
Exciton, frame 60346 ran in:  18.277770042419434
Exciton, frame 60347 ran in:  17.831954956054688
Exciton, frame 60348 ran in:  18.860871076583862
Exciton, frame 60349 ran in:  16.282214403152466
Exciton, frame 60350 ran in:  15.925196170806885
Exciton, frame 60351 ran in:  18.217178344726562
Exciton, frame 60352 ran in:  17.847543716430664
