cpu-bind=MASK - bp1-compute184, task 4294967295 4294967295 [0]: mask 0x1ffffe001ffffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.885451 secs
Exciton, frame 204 ran in:  12.042604446411133
Exciton, frame 205 ran in:  12.005497217178345
Exciton, frame 206 ran in:  12.109087944030762
Exciton, frame 207 ran in:  11.923818111419678
Exciton, frame 208 ran in:  11.868256330490112
Exciton, frame 209 ran in:  11.082980871200562
Exciton, frame 210 ran in:  11.954460859298706
Exciton, frame 211 ran in:  10.564751863479614
Exciton, frame 212 ran in:  12.20151686668396
Exciton, frame 213 ran in:  10.472058773040771
Exciton, frame 214 ran in:  11.27256464958191
Exciton, frame 215 ran in:  12.111773014068604
Exciton, frame 216 ran in:  12.043464660644531
Exciton, frame 217 ran in:  11.586739540100098
Exciton, frame 218 ran in:  12.102933883666992
Exciton, frame 219 ran in:  11.97207260131836
Exciton, frame 220 ran in:  12.147422790527344
Exciton, frame 221 ran in:  11.871889591217041
Exciton, frame 222 ran in:  11.769107103347778
Exciton, frame 223 ran in:  11.784838438034058
Exciton, frame 224 ran in:  12.388669967651367
Exciton, frame 225 ran in:  10.951276063919067
Exciton, frame 226 ran in:  11.674739599227905
Exciton, frame 227 ran in:  12.09186577796936
Exciton, frame 228 ran in:  12.022351264953613
Exciton, frame 229 ran in:  12.26469087600708
Exciton, frame 230 ran in:  12.109787464141846
Exciton, frame 231 ran in:  10.760131120681763
Exciton, frame 232 ran in:  12.015510082244873
Exciton, frame 233 ran in:  11.933770179748535
Exciton, frame 234 ran in:  10.565012454986572
Exciton, frame 235 ran in:  10.463813304901123
Exciton, frame 236 ran in:  11.944433689117432
Exciton, frame 237 ran in:  11.798243761062622
Exciton, frame 238 ran in:  11.877582550048828
Exciton, frame 239 ran in:  11.951985836029053
Exciton, frame 240 ran in:  10.565589666366577
Exciton, frame 241 ran in:  11.901924848556519
Exciton, frame 242 ran in:  12.166131496429443
Exciton, frame 243 ran in:  11.936668634414673
Exciton, frame 244 ran in:  12.10841965675354
Exciton, frame 245 ran in:  12.094720602035522
Exciton, frame 246 ran in:  11.677239418029785
Exciton, frame 247 ran in:  11.56947660446167
Exciton, frame 248 ran in:  12.07054877281189
Exciton, frame 249 ran in:  12.29067611694336
Exciton, frame 250 ran in:  12.434211015701294
Exciton, frame 251 ran in:  12.772404432296753
Exciton, frame 252 ran in:  12.67749571800232
Exciton, frame 253 ran in:  13.151516437530518
Exciton, frame 254 ran in:  12.552590608596802
Exciton, frame 255 ran in:  12.236671209335327
Exciton, frame 256 ran in:  12.794390678405762
Exciton, frame 257 ran in:  11.314130067825317
Exciton, frame 258 ran in:  15.170227527618408
Exciton, frame 259 ran in:  10.975589990615845
Exciton, frame 260 ran in:  12.808084964752197
Exciton, frame 261 ran in:  14.867254734039307
Exciton, frame 262 ran in:  13.91806960105896
Exciton, frame 263 ran in:  13.779019832611084
Exciton, frame 264 ran in:  14.169699668884277
Exciton, frame 265 ran in:  14.008800506591797
Exciton, frame 266 ran in:  10.172715663909912
Exciton, frame 267 ran in:  12.275813102722168
Exciton, frame 268 ran in:  12.701643705368042
Exciton, frame 269 ran in:  12.633816242218018
Exciton, frame 270 ran in:  12.257509469985962
Exciton, frame 271 ran in:  12.643846273422241
Exciton, frame 272 ran in:  12.258323669433594
Exciton, frame 273 ran in:  10.275845050811768
Exciton, frame 274 ran in:  10.476505756378174
Exciton, frame 275 ran in:  12.801979780197144
Exciton, frame 276 ran in:  12.558598756790161
Exciton, frame 277 ran in:  10.383005619049072
Exciton, frame 278 ran in:  12.723313808441162
Exciton, frame 279 ran in:  11.252642154693604
Exciton, frame 280 ran in:  12.545270919799805
Exciton, frame 281 ran in:  11.777795791625977
Exciton, frame 282 ran in:  12.340056419372559
Exciton, frame 283 ran in:  11.909245252609253
Exciton, frame 284 ran in:  12.333606243133545
Exciton, frame 285 ran in:  11.746444940567017
Exciton, frame 286 ran in:  13.55129098892212
Exciton, frame 287 ran in:  13.53644061088562
Exciton, frame 288 ran in:  14.341901302337646
Exciton, frame 289 ran in:  14.774667978286743
Exciton, frame 290 ran in:  15.017650604248047
Exciton, frame 291 ran in:  11.470011949539185
Exciton, frame 292 ran in:  13.953835010528564
Exciton, frame 293 ran in:  15.451204061508179
Exciton, frame 294 ran in:  11.471147775650024
Exciton, frame 295 ran in:  14.661388158798218
Exciton, frame 296 ran in:  15.270345211029053
Exciton, frame 297 ran in:  15.383460283279419
Exciton, frame 298 ran in:  11.318300247192383
Exciton, frame 299 ran in:  15.073121786117554
Exciton, frame 300 ran in:  13.555311441421509
Exciton, frame 301 ran in:  14.196130275726318
Exciton, frame 302 ran in:  15.150806665420532
Exciton, frame 303 ran in:  15.316307783126831
Exciton, frame 304 ran in:  14.928637742996216
Exciton, frame 305 ran in:  14.62475323677063
Exciton, frame 306 ran in:  11.084345579147339
Exciton, frame 307 ran in:  13.456007957458496
Exciton, frame 308 ran in:  14.988121271133423
Exciton, frame 309 ran in:  14.378505229949951
Exciton, frame 310 ran in:  11.490400314331055
Exciton, frame 311 ran in:  14.426106929779053
Exciton, frame 312 ran in:  14.43354845046997
Exciton, frame 313 ran in:  16.271013736724854
Exciton, frame 314 ran in:  11.89573049545288
Exciton, frame 315 ran in:  15.46035099029541
Exciton, frame 316 ran in:  14.363022565841675
Exciton, frame 317 ran in:  14.620868921279907
Exciton, frame 318 ran in:  15.938976049423218
Exciton, frame 319 ran in:  13.878273010253906
Exciton, frame 320 ran in:  11.998092651367188
Exciton, frame 321 ran in:  13.731000900268555
Exciton, frame 322 ran in:  16.090226888656616
Exciton, frame 323 ran in:  14.897902488708496
Exciton, frame 324 ran in:  16.969985961914062
Exciton, frame 325 ran in:  13.663780212402344
Exciton, frame 326 ran in:  15.441025733947754
Exciton, frame 327 ran in:  11.613922119140625
Exciton, frame 328 ran in:  15.951675415039062
Exciton, frame 329 ran in:  14.584264516830444
Exciton, frame 330 ran in:  14.50131344795227
Exciton, frame 331 ran in:  15.886667490005493
Exciton, frame 332 ran in:  13.542527437210083
Exciton, frame 333 ran in:  12.255100965499878
Exciton, frame 334 ran in:  11.896239042282104
Exciton, frame 335 ran in:  12.052141427993774
Exciton, frame 336 ran in:  12.030234575271606
Exciton, frame 337 ran in:  11.967221736907959
Exciton, frame 338 ran in:  11.85783052444458
Exciton, frame 339 ran in:  11.435715913772583
Exciton, frame 340 ran in:  12.14491081237793
Exciton, frame 341 ran in:  12.046639680862427
Exciton, frame 342 ran in:  12.125367164611816
